sku,input_commodity_id,quantity_per_unit,quantity_unit,yield_loss_pct
QX-TIN-045,CMD-ALU,0.6918,kg,5.58
QX-TIN-045,CMD-COC,0.0193,kg,1.18
QX-TIN-045,CMD-SUN,0.5663,kg,6.76
QX-TIN-045,CMD-PLM,0.2613,kg,0.29
QX-TIN-045,CMD-WHT,0.3326,kg,5.96
QX-DRK-200,CMD-SUN,0.2387,kg,4.20
QX-DRK-200,CMD-GAS,0.5618,kWh,4.08
QX-DRK-200,CMD-COC,0.5612,kg,1.47
QX-DRK-200,CMD-DRY,0.2524,kg,6.69
QX-DRK-200,CMD-DSL,0.0206,kWh,0.62
QX-PRO-202,CMD-DSL,1.0248,kg,2.97
QX-PRO-202,CMD-ALU,0.3032,kg,5.45
QX-PRO-202,CMD-PLM,0.4895,kg,6.78
QX-DRK-206,CMD-SUN,1.0151,kg,7.60
QX-DRK-206,CMD-DSL,0.3337,kWh,5.65
QX-DRK-206,CMD-DRY,0.0445,kg,2.59
QX-CHL-250,CMD-DRY,0.8300,kg,5.92
QX-CHL-250,CMD-ALU,0.4262,kg,6.75
QX-CHL-250,CMD-COC,0.4896,kg,2.65
QX-HBC-313,CMD-PLM,0.8618,kg,4.70
QX-HBC-313,CMD-DSL,0.3585,kWh,6.61
QX-HBC-313,CMD-GAS,0.2212,kWh,1.75
QX-HBC-313,CMD-DRY,0.1086,kg,0.61
QX-FRZ-322,CMD-DRY,1.3435,kg,6.74
QX-FRZ-322,CMD-BRD,0.5219,kg,1.86
QX-FRZ-322,CMD-WHT,0.1516,kg,6.53
QX-FRZ-322,CMD-PLM,0.0711,kg,6.32
QX-FRZ-322,CMD-DSL,0.3503,kWh,5.72
QX-DRY-332,CMD-WHT,1.0657,kg,7.52
QX-DRY-332,CMD-DRY,0.2094,kg,6.59
QX-TIN-342,CMD-ALU,0.9111,kg,3.08
QX-TIN-342,CMD-BRD,0.2734,kg,5.58
QX-TIN-342,CMD-PLM,0.3996,kg,4.66
QX-TIN-342,CMD-DSL,0.5012,kWh,0.66
QX-HBC-358,CMD-PLM,1.2724,kg,5.62
QX-HBC-358,CMD-WHT,0.2659,kg,6.32
QX-HBC-358,CMD-ALU,0.1600,kg,5.83
QX-BAK-360,CMD-WHT,0.8967,kg,7.21
QX-HBC-371,CMD-PLM,0.9111,kg,6.45
QX-HBC-371,CMD-COF,0.3514,kg,5.46
QX-HBC-371,CMD-DRY,0.1900,kg,2.03
QX-BWS-384,CMD-GAS,0.5150,kg,1.97
QX-BWS-384,CMD-DSL,0.3742,kWh,1.32
QX-BWS-384,CMD-SUN,0.0868,kg,1.81
QX-FRZ-432,CMD-DRY,1.0542,kg,6.42
QX-FRZ-432,CMD-PLM,0.2726,kg,4.93
QX-FRZ-432,CMD-BRD,0.5816,kg,2.92
QX-DRK-461,CMD-SUN,0.8445,kg,6.85
QX-DRK-461,CMD-DRY,0.3252,kg,5.48
QX-DRK-461,CMD-COC,0.0881,kg,2.54
QX-DRK-461,CMD-WHT,0.3676,kg,2.02
QX-DRY-484,CMD-WHT,0.1458,kg,1.40
QX-DRY-484,CMD-DRY,0.4621,kg,5.90
QX-HBC-494,CMD-PLM,0.1895,kg,7.15
QX-HBC-494,CMD-GAS,0.5731,kWh,2.71
QX-HBC-494,CMD-COC,0.5229,kg,4.91
QX-CHL-496,CMD-DRY,0.6917,kg,3.95
QX-CHL-496,CMD-BRD,0.4373,kg,4.85
QX-CHL-496,CMD-SUN,0.3243,kg,1.38
QX-FRZ-538,CMD-DRY,1.0331,kg,1.35
QX-FRZ-538,CMD-WHT,0.3572,kg,3.30
QX-TIN-553,CMD-ALU,0.2865,kg,6.60
QX-TIN-553,CMD-DRY,0.5961,kg,3.98
QX-TIN-558,CMD-ALU,0.4709,kg,8.86
QX-TIN-558,CMD-SUN,0.3177,kg,1.07
QX-HBC-578,CMD-PLM,1.1732,kg,8.62
QX-HBC-578,CMD-DRY,0.0488,kg,3.12
QX-HBC-578,CMD-COF,0.1545,kg,3.16
QX-HHD-600,CMD-BRD,0.2947,kg,1.12
QX-HHD-600,CMD-ALU,0.2250,kg,0.58
QX-HHD-600,CMD-SUN,0.2366,kg,3.68
QX-TIN-624,CMD-ALU,0.6375,kg,5.94
QX-TIN-624,CMD-BRD,0.0404,kg,3.02
QX-TIN-624,CMD-COF,0.4626,kg,5.67
QX-BAK-630,CMD-WHT,0.9305,kg,6.01
QX-BAK-630,CMD-ALU,0.5238,kg,6.94
QX-BAK-630,CMD-COC,0.3072,kg,6.19
QX-BAK-630,CMD-COF,0.5924,kg,5.19
QX-BAK-638,CMD-WHT,0.4457,kg,4.25
QX-BAK-638,CMD-COC,0.0759,kg,2.89
QX-BAK-638,CMD-GAS,0.2640,kWh,4.47
QX-TIN-644,CMD-ALU,0.9262,kg,2.18
QX-TIN-649,CMD-ALU,1.0056,kg,5.91
QX-TIN-649,CMD-SUN,0.1848,kg,2.99
QX-TIN-649,CMD-BRD,0.2267,kg,2.40
QX-TIN-649,CMD-DSL,0.3628,kWh,5.82
QX-HHD-663,CMD-BRD,0.4438,kg,2.83
QX-HHD-663,CMD-COC,0.0904,kg,3.03
QX-HHD-663,CMD-DRY,0.0628,kg,5.62
QX-HHD-663,CMD-GAS,0.2079,kWh,5.55
QX-BWS-669,CMD-GAS,1.1487,kg,4.95
QX-BWS-669,CMD-COC,0.4057,kg,5.86
QX-BWS-669,CMD-PLM,0.3544,kg,0.96
QX-BWS-669,CMD-BRD,0.5622,kg,3.77
QX-CHL-670,CMD-DRY,0.3821,kg,8.26
QX-CHL-670,CMD-COF,0.5277,kg,2.10
QX-CHL-670,CMD-SUN,0.1362,kg,6.47
QX-CHL-670,CMD-DSL,0.1193,kWh,2.24
