branch_id,name,format,district_id,county_id,zone_id,staff,tills,floor_sqm,car_park_spaces,catchment_population,quarterly_transactions,opened,last_refit
B-17,"Northgate",Superstore,DIS-05,CTY-EAV,PZ-CORE,84,12,8267,57,17603,60000,2011-03-14,
B-08,"Eastfield",Superstore,DIS-07,CTY-FEN,PZ-CORE,61,12,5329,102,43415,41000,2014-09-02,2020-06-03
B-09,"Millgate",Supermarket,DIS-03,CTY-CAL,PZ-URBAN,33,7,1988,68,81327,22500,2017-06-19,
B-04,"Harbour Point",Supermarket,DIS-10,CTY-ILM,PZ-REMOTE,24,7,2808,206,163757,14200,2019-04-08,
B-02,"Canalside",Express,DIS-11,CTY-LOW,PZ-METRO,12,3,453,0,27182,8600,2021-11-23,2024-07-08
B-01,"Riverside",Express,DIS-12,CTY-MER,PZ-VALUE,9,3,209,0,110326,5000,2022-02-01,
B-20,"Ashcombe",Superstore,DIS-03,CTY-CAL,PZ-CORE,59,12,7921,599,33006,43936,2016-04-12,2019-03-23
B-21,"Barrowfield",Superstore,DIS-08,CTY-GAR,PZ-URBAN,59,12,5269,570,155164,60037,2021-03-14,2021-09-14
B-22,"Calderbrook",Superstore,DIS-13,CTY-LOW,PZ-CORE,69,12,7496,265,80728,34320,2019-06-18,2019-11-18
B-23,"Denholm",Superstore,DIS-04,CTY-CAL,PZ-CORE,70,12,4333,249,14949,49368,2021-02-12,
B-24,"Elmsworth",Superstore,DIS-09,CTY-NOR,PZ-CORE,66,12,8892,426,12204,59473,2023-10-23,
B-25,"Fernhill",Superstore,DIS-14,CTY-HAL,PZ-VALUE,63,12,4793,586,41343,40744,2013-12-26,2025-01-29
B-26,"Granshaw",Supermarket,DIS-05,CTY-EAV,PZ-REMOTE,31,7,2546,224,24230,15488,2012-07-30,
B-27,"Hollowdene",Supermarket,DIS-10,CTY-KEN,PZ-REMOTE,33,7,2887,276,39385,21951,2013-05-05,
B-28,"Ilbury",Supermarket,DIS-01,CTY-ARD,PZ-URBAN,29,7,2019,305,29381,23441,2021-11-02,
B-29,"Jarrowmere",Supermarket,DIS-06,CTY-HAL,PZ-URBAN,35,7,3164,495,175370,16967,2016-07-27,
B-30,"Kelsingham",Supermarket,DIS-11,CTY-EAV,PZ-CORE,32,7,2881,143,63339,22986,2018-09-09,2020-06-20
