commodity_id,index_month,index_value,published_on
CMD-WHT,2025-02,226.17,2025-03-10
CMD-WHT,2025-03,239.59,2025-04-10
CMD-WHT,2025-04,236.12,2025-05-10
CMD-WHT,2025-05,238.02,2025-06-10
CMD-WHT,2025-06,239.94,2025-07-10
CMD-WHT,2025-07,250.33,2025-08-10
CMD-WHT,2025-08,242.23,2025-09-10
CMD-WHT,2025-09,251.15,2025-10-10
CMD-WHT,2025-10,242.78,2025-11-10
CMD-WHT,2025-11,241.73,2025-12-10
CMD-WHT,2025-12,252.95,2026-01-10
CMD-WHT,2026-01,252.12,2026-02-10
CMD-WHT,2026-02,255.27,2026-03-10
CMD-WHT,2026-03,255.59,2026-04-10
CMD-WHT,2026-04,256.24,2026-05-10
CMD-WHT,2026-05,245.33,2026-06-10
CMD-WHT,2026-06,246.99,2026-07-10
CMD-DRY,2025-02,401.69,2025-03-10
CMD-DRY,2025-03,394.24,2025-04-10
CMD-DRY,2025-04,402.82,2025-05-10
CMD-DRY,2025-05,394.64,2025-06-10
CMD-DRY,2025-06,405.96,2025-07-10
CMD-DRY,2025-07,397.37,2025-08-10
CMD-DRY,2025-08,407.30,2025-09-10
CMD-DRY,2025-09,419.12,2025-10-10
CMD-DRY,2025-10,421.96,2025-11-10
CMD-DRY,2025-11,417.21,2025-12-10
CMD-DRY,2025-12,408.20,2026-01-10
CMD-DRY,2026-01,410.67,2026-02-10
CMD-DRY,2026-02,412.44,2026-03-10
CMD-DRY,2026-03,419.21,2026-04-10
CMD-DRY,2026-04,413.58,2026-05-10
CMD-DRY,2026-05,421.73,2026-06-10
CMD-DRY,2026-06,431.52,2026-07-10
CMD-COC,2025-02,5743.48,2025-03-10
CMD-COC,2025-03,5616.75,2025-04-10
CMD-COC,2025-04,5706.97,2025-05-10
CMD-COC,2025-05,6243.79,2025-06-10
CMD-COC,2025-06,5785.85,2025-07-10
CMD-COC,2025-07,5795.75,2025-08-10
CMD-COC,2025-08,5473.64,2025-09-10
CMD-COC,2025-09,5146.28,2025-10-10
CMD-COC,2025-10,5027.90,2025-11-10
CMD-COC,2025-11,4612.37,2025-12-10
CMD-COC,2025-12,4163.18,2026-01-10
CMD-COC,2026-01,4209.50,2026-02-10
CMD-COC,2026-02,4566.34,2026-03-10
CMD-COC,2026-03,4309.11,2026-04-10
CMD-COC,2026-04,4462.43,2026-05-10
CMD-COC,2026-05,4423.62,2026-06-10
CMD-COC,2026-06,4751.18,2026-07-10
CMD-COF,2025-02,5151.67,2025-03-10
CMD-COF,2025-03,4929.50,2025-04-10
CMD-COF,2025-04,4924.54,2025-05-10
CMD-COF,2025-05,4957.66,2025-06-10
CMD-COF,2025-06,4460.36,2025-07-10
CMD-COF,2025-07,4447.76,2025-08-10
CMD-COF,2025-08,4758.37,2025-09-10
CMD-COF,2025-09,4616.05,2025-10-10
CMD-COF,2025-10,4291.32,2025-11-10
CMD-COF,2025-11,4264.17,2025-12-10
CMD-COF,2025-12,4575.70,2026-01-10
CMD-COF,2026-01,4158.49,2026-02-10
CMD-COF,2026-02,4425.69,2026-03-10
CMD-COF,2026-03,4478.65,2026-04-10
CMD-COF,2026-04,4548.49,2026-05-10
CMD-COF,2026-05,4268.15,2026-06-10
CMD-COF,2026-06,4421.47,2026-07-10
CMD-PLM,2025-02,883.77,2025-03-10
CMD-PLM,2025-03,871.56,2025-04-10
CMD-PLM,2025-04,872.15,2025-05-10
CMD-PLM,2025-05,891.63,2025-06-10
CMD-PLM,2025-06,920.41,2025-07-10
CMD-PLM,2025-07,925.97,2025-08-10
CMD-PLM,2025-08,942.35,2025-09-10
CMD-PLM,2025-09,923.81,2025-10-10
CMD-PLM,2025-10,913.00,2025-11-10
CMD-PLM,2025-11,900.92,2025-12-10
CMD-PLM,2025-12,908.25,2026-01-10
CMD-PLM,2026-01,915.28,2026-02-10
CMD-PLM,2026-02,901.92,2026-03-10
CMD-PLM,2026-03,878.38,2026-04-10
CMD-PLM,2026-04,855.95,2026-05-10
CMD-PLM,2026-05,848.87,2026-06-10
CMD-PLM,2026-06,856.35,2026-07-10
CMD-SUN,2025-02,1026.68,2025-03-10
CMD-SUN,2025-03,1021.13,2025-04-10
CMD-SUN,2025-04,1043.41,2025-05-10
CMD-SUN,2025-05,1104.84,2025-06-10
CMD-SUN,2025-06,1047.36,2025-07-10
CMD-SUN,2025-07,1088.05,2025-08-10
CMD-SUN,2025-08,1051.09,2025-09-10
CMD-SUN,2025-09,1010.59,2025-10-10
CMD-SUN,2025-10,959.26,2025-11-10
CMD-SUN,2025-11,967.33,2025-12-10
CMD-SUN,2025-12,951.80,2026-01-10
CMD-SUN,2026-01,997.17,2026-02-10
CMD-SUN,2026-02,1010.56,2026-03-10
CMD-SUN,2026-03,1003.67,2026-04-10
CMD-SUN,2026-04,1058.68,2026-05-10
CMD-SUN,2026-05,1049.51,2026-06-10
CMD-SUN,2026-06,1088.75,2026-07-10
CMD-ALU,2025-02,2193.29,2025-03-10
CMD-ALU,2025-03,2189.20,2025-04-10
CMD-ALU,2025-04,2222.73,2025-05-10
CMD-ALU,2025-05,2175.76,2025-06-10
CMD-ALU,2025-06,2166.69,2025-07-10
CMD-ALU,2025-07,2141.79,2025-08-10
CMD-ALU,2025-08,2102.89,2025-09-10
CMD-ALU,2025-09,2143.87,2025-10-10
CMD-ALU,2025-10,2175.14,2025-11-10
CMD-ALU,2025-11,2230.03,2025-12-10
CMD-ALU,2025-12,2233.93,2026-01-10
CMD-ALU,2026-01,2189.63,2026-02-10
CMD-ALU,2026-02,2203.67,2026-03-10
CMD-ALU,2026-03,2165.48,2026-04-10
CMD-ALU,2026-04,2141.37,2026-05-10
CMD-ALU,2026-05,2175.51,2026-06-10
CMD-ALU,2026-06,2216.38,2026-07-10
CMD-BRD,2025-02,511.18,2025-03-10
CMD-BRD,2025-03,512.55,2025-04-10
CMD-BRD,2025-04,514.23,2025-05-10
CMD-BRD,2025-05,509.20,2025-06-10
CMD-BRD,2025-06,504.33,2025-07-10
CMD-BRD,2025-07,508.57,2025-08-10
CMD-BRD,2025-08,508.93,2025-09-10
CMD-BRD,2025-09,506.46,2025-10-10
CMD-BRD,2025-10,509.92,2025-11-10
CMD-BRD,2025-11,506.82,2025-12-10
CMD-BRD,2025-12,505.01,2026-01-10
CMD-BRD,2026-01,508.13,2026-02-10
CMD-BRD,2026-02,510.18,2026-03-10
CMD-BRD,2026-03,510.21,2026-04-10
CMD-BRD,2026-04,508.06,2026-05-10
CMD-BRD,2026-05,508.42,2026-06-10
CMD-BRD,2026-06,512.61,2026-07-10
CMD-DSL,2025-02,1291.63,2025-03-10
CMD-DSL,2025-03,1320.85,2025-04-10
CMD-DSL,2025-04,1372.50,2025-05-10
CMD-DSL,2025-05,1346.55,2025-06-10
CMD-DSL,2025-06,1360.90,2025-07-10
CMD-DSL,2025-07,1352.84,2025-08-10
CMD-DSL,2025-08,1389.31,2025-09-10
CMD-DSL,2025-09,1375.77,2025-10-10
CMD-DSL,2025-10,1404.19,2025-11-10
CMD-DSL,2025-11,1335.23,2025-12-10
CMD-DSL,2025-12,1269.85,2026-01-10
CMD-DSL,2026-01,1346.15,2026-02-10
CMD-DSL,2026-02,1377.60,2026-03-10
CMD-DSL,2026-03,1391.66,2026-04-10
CMD-DSL,2026-04,1327.36,2026-05-10
CMD-DSL,2026-05,1296.74,2026-06-10
CMD-DSL,2026-06,1374.75,2026-07-10
CMD-GAS,2025-02,80.56,2025-03-10
CMD-GAS,2025-03,81.03,2025-04-10
CMD-GAS,2025-04,76.96,2025-05-10
CMD-GAS,2025-05,70.81,2025-06-10
CMD-GAS,2025-06,71.91,2025-07-10
CMD-GAS,2025-07,77.65,2025-08-10
CMD-GAS,2025-08,80.55,2025-09-10
CMD-GAS,2025-09,89.36,2025-10-10
CMD-GAS,2025-10,89.15,2025-11-10
CMD-GAS,2025-11,89.49,2025-12-10
CMD-GAS,2025-12,90.11,2026-01-10
CMD-GAS,2026-01,87.92,2026-02-10
CMD-GAS,2026-02,92.42,2026-03-10
CMD-GAS,2026-03,87.71,2026-04-10
CMD-GAS,2026-04,93.24,2026-05-10
CMD-GAS,2026-05,94.57,2026-06-10
CMD-GAS,2026-06,98.04,2026-07-10
