check_id,branch_id,competitor_id,sku,checked_on,competitor_price,our_price,checked_by
CHK-0000001,B-08,CMP-ON,QX-CER-001,2026-05-01,2.90,2.85,E-129
CHK-0000002,B-08,CMP-ON,QX-TIN-045,2026-05-01,1.02,1.05,E-129
CHK-0000003,B-08,CMP-ON,QX-BWS-204,2026-05-01,34.94,34.16,E-129
CHK-0000004,B-08,CMP-ON,QX-BWS-209,2026-05-01,26.01,26.68,E-129
CHK-0000005,B-08,CMP-ON,QX-PRO-218,2026-05-01,2.45,2.40,E-129
CHK-0000006,B-08,CMP-ON,QX-FRZ-225,2026-05-01,6.72,6.90,E-129
CHK-0000007,B-08,CMP-ON,QX-CHL-231,2026-05-01,7.88,8.06,E-129
CHK-0000008,B-08,CMP-ON,QX-HHD-252,2026-05-01,2.23,2.18,E-129
CHK-0000009,B-08,CMP-ON,QX-FRZ-259,2026-05-01,6.06,6.03,E-129
CHK-0000010,B-08,CMP-ON,QX-BAK-297,2026-05-01,7.68,7.76,E-129
CHK-0000011,B-08,CMP-ON,QX-FRZ-306,2026-05-01,4.25,4.36,E-129
CHK-0000012,B-08,CMP-ON,QX-DRY-312,2026-05-01,2.03,2.00,E-129
CHK-0000013,B-08,CMP-ON,QX-BWS-324,2026-05-01,13.91,13.89,E-129
CHK-0000014,B-08,CMP-ON,QX-BAK-335,2026-05-01,3.75,3.85,E-129
CHK-0000015,B-08,CMP-ON,QX-DRY-339,2026-05-01,1.52,1.53,E-129
CHK-0000016,B-08,CMP-ON,QX-BWS-405,2026-05-01,28.08,28.84,E-129
CHK-0000017,B-08,CMP-ON,QX-HBC-438,2026-05-01,11.86,12.16,E-129
CHK-0000018,B-08,CMP-ON,QX-FRZ-442,2026-05-01,8.05,7.89,E-129
CHK-0000019,B-08,CMP-ON,QX-PET-454,2026-05-01,1.26,1.23,E-129
CHK-0000020,B-08,CMP-ON,QX-PET-467,2026-05-01,1.20,1.19,E-129
CHK-0000021,B-08,CMP-ON,QX-DRY-491,2026-05-01,2.76,2.75,E-129
CHK-0000022,B-08,CMP-ON,QX-PET-515,2026-05-01,1.39,1.38,E-129
CHK-0000023,B-08,CMP-ON,QX-BWS-543,2026-05-01,11.91,11.60,E-129
CHK-0000024,B-08,CMP-ON,QX-DRY-600,2026-05-01,2.77,2.71,E-129
CHK-0000025,B-08,CMP-ON,QX-PET-622,2026-05-01,8.00,8.09,E-129
CHK-0000026,B-08,CMP-ON,QX-BWS-626,2026-05-01,20.33,20.32,E-129
CHK-0000027,B-08,CMP-ON,QX-DRY-636,2026-05-01,3.88,3.78,E-129
CHK-0000028,B-08,CMP-ON,QX-PRO-660,2026-05-01,1.32,1.35,E-129
CHK-0000029,B-08,CMP-ON,QX-DRK-690,2026-05-01,2.43,2.43,E-129
CHK-0000030,B-08,CMP-ON,QX-BAK-706,2026-05-01,3.20,3.12,E-129
CHK-0000031,B-08,CMP-ON,QX-FRZ-709,2026-05-01,1.70,1.73,E-129
CHK-0000032,B-08,CMP-ON,QX-DRY-725,2026-05-01,6.81,6.63,E-129
CHK-0000033,B-08,CMP-ON,QX-HBC-779,2026-05-01,6.24,6.13,E-129
CHK-0000034,B-08,CMP-ON,QX-CER-825,2026-05-01,3.88,3.90,E-129
CHK-0000035,B-08,CMP-ON,QX-HHD-827,2026-05-01,4.42,4.50,E-129
CHK-0000036,B-08,CMP-ON,QX-BWS-839,2026-05-01,10.59,10.62,E-129
CHK-0000037,B-08,CMP-ON,QX-TIN-860,2026-05-01,1.57,1.59,E-129
CHK-0000038,B-08,CMP-ON,QX-BAK-874,2026-05-01,2.62,2.59,E-129
CHK-0000039,B-08,CMP-ON,QX-CHL-897,2026-05-01,4.73,4.62,E-129
CHK-0000040,B-08,CMP-ON,QX-FRZ-907,2026-05-01,6.87,7.00,E-129
CHK-0000041,B-08,CMP-ON,QX-BWS-962,2026-05-01,36.93,36.72,E-129
CHK-0000042,B-08,CMP-ON,QX-FRZ-984,2026-05-01,5.98,6.06,E-129
CHK-0000043,B-08,CMP-ON,QX-TIN-002,2026-05-01,0.97,0.95,E-129
CHK-0000044,B-08,CMP-ON,QX-DRK-028,2026-05-01,4.50,4.46,E-129
CHK-0000045,B-08,CMP-ON,QX-PET-037,2026-05-01,5.62,5.53,E-129
CHK-0000046,B-08,CMP-ON,QX-DRY-056,2026-05-01,7.20,7.11,E-129
CHK-0000047,B-08,CMP-ON,QX-PRO-131,2026-05-01,4.71,4.79,E-129
CHK-0000048,B-08,CMP-ON,QX-DRK-134,2026-05-01,4.69,4.62,E-129
CHK-0000049,B-08,CMP-ON,QX-DRY-144,2026-05-01,4.43,4.40,E-129
CHK-0000050,B-08,CMP-ON,QX-PRO-205,2026-05-01,3.23,3.14,E-129
CHK-0000051,B-08,CMP-ON,QX-TIN-285,2026-05-01,0.85,0.85,E-129
CHK-0000052,B-08,CMP-ON,QX-DRY-314,2026-05-01,2.59,2.58,E-129
CHK-0000053,B-08,CMP-ON,QX-BWS-316,2026-05-01,5.58,5.50,E-129
CHK-0000054,B-08,CMP-ON,QX-HBC-324,2026-05-01,4.42,4.49,E-129
CHK-0000055,B-08,CMP-ON,QX-HBC-325,2026-05-01,2.91,2.91,E-129
CHK-0000056,B-08,CMP-ON,QX-HHD-411,2026-05-01,6.20,6.05,E-129
CHK-0000057,B-08,CMP-ON,QX-DRK-453,2026-05-01,2.75,2.78,E-129
CHK-0000058,B-08,CMP-ON,QX-BWS-470,2026-05-01,22.07,22.18,E-129
CHK-0000059,B-08,CMP-ON,QX-FRZ-495,2026-05-01,2.55,2.49,E-129
CHK-0000060,B-08,CMP-ON,QX-CER-504,2026-05-01,1.66,1.64,E-129
CHK-0000061,B-08,CMP-ON,QX-HHD-515,2026-05-01,8.19,8.17,E-129
CHK-0000062,B-08,CMP-ON,QX-CER-529,2026-05-01,2.21,2.25,E-129
CHK-0000063,B-08,CMP-ON,QX-BAK-613,2026-05-01,2.22,2.24,E-129
CHK-0000064,B-08,CMP-ON,QX-FRZ-622,2026-05-01,3.98,3.90,E-129
CHK-0000065,B-08,CMP-ON,QX-BAK-629,2026-05-01,2.72,2.64,E-129
CHK-0000066,B-08,CMP-ON,QX-TIN-677,2026-05-01,0.86,0.85,E-129
CHK-0000067,B-08,CMP-ON,QX-HHD-682,2026-05-01,3.29,3.20,E-129
CHK-0000068,B-08,CMP-ON,QX-CHL-695,2026-05-01,6.71,6.82,E-129
CHK-0000069,B-08,CMP-ON,QX-CHL-707,2026-05-01,1.51,1.47,E-129
CHK-0000070,B-08,CMP-ON,QX-CHL-734,2026-05-01,20.74,20.27,E-129
CHK-0000071,B-08,CMP-ON,QX-PRO-922,2026-05-01,1.21,1.25,E-129
CHK-0000072,B-08,CMP-ON,QX-FRZ-928,2026-05-01,7.24,7.04,E-129
CHK-0000073,B-08,CMP-ON,QX-BAK-942,2026-05-01,2.27,2.26,E-129
CHK-0000074,B-08,CMP-ON,QX-BWS-950,2026-05-01,19.52,19.18,E-129
CHK-0000075,B-08,CMP-ON,QX-HHD-969,2026-05-01,5.44,5.32,E-129
CHK-0000076,B-08,CMP-ON,QX-HBC-004,2026-05-01,6.46,6.60,E-129
CHK-0000077,B-08,CMP-ON,QX-HBC-048,2026-05-01,2.68,2.75,E-129
CHK-0000078,B-08,CMP-ON,QX-DRY-075,2026-05-01,7.05,7.13,E-129
CHK-0000079,B-08,CMP-ON,QX-CHL-091,2026-05-01,1.12,1.12,E-129
CHK-0000080,B-08,CMP-ON,QX-HHD-096,2026-05-01,6.33,6.25,E-129
CHK-0000081,B-08,CMP-ON,QX-BWS-114,2026-05-01,6.78,6.69,E-129
CHK-0000082,B-08,CMP-ON,QX-DRK-133,2026-05-01,4.15,4.09,E-129
CHK-0000083,B-08,CMP-ON,QX-HHD-168,2026-05-01,2.57,2.56,E-129
CHK-0000084,B-08,CMP-ON,QX-PRO-171,2026-05-01,3.96,3.88,E-129
CHK-0000085,B-08,CMP-ON,QX-DRK-177,2026-05-01,5.64,5.59,E-129
CHK-0000086,B-08,CMP-ON,QX-DRY-193,2026-05-01,4.44,4.42,E-129
CHK-0000087,B-08,CMP-ON,QX-DRY-199,2026-05-01,5.34,5.48,E-129
CHK-0000088,B-08,CMP-ON,QX-HHD-231,2026-05-01,7.48,7.40,E-129
CHK-0000089,B-08,CMP-ON,QX-CER-264,2026-05-01,4.02,3.93,E-129
CHK-0000090,B-08,CMP-ON,QX-BWS-271,2026-05-01,16.18,16.63,E-129
