customer_id,loyalty_card,joined,home_branch_id,marketing_opt_in
C-100000,9770000000,2024-09-27,B-17,false
C-100001,9770000001,2024-01-31,B-08,false
C-100002,9770000002,2021-07-09,B-17,true
C-100003,9770000003,2025-02-08,B-09,true
C-100004,9770000004,2019-10-18,B-04,false
C-100005,9770000005,2023-09-03,B-04,true
C-100006,9770000006,2020-01-26,B-02,true
C-100007,9770000007,2022-02-22,B-08,true
C-100008,9770000008,2024-05-25,B-01,false
C-100009,9770000009,2024-02-15,B-17,false
C-100010,9770000010,2021-09-02,B-01,false
C-100011,9770000011,2025-01-15,B-02,true
C-100012,9770000012,2023-03-16,B-01,false
C-100013,9770000013,2026-03-04,B-17,false
C-100014,9770000014,2023-04-11,B-01,false
C-100015,9770000015,2022-11-18,B-02,true
C-100016,9770000016,2022-03-14,B-17,false
C-100017,9770000017,2024-07-04,B-02,true
C-100018,9770000018,2020-07-18,B-09,true
C-100019,9770000019,2021-03-29,B-04,true
C-100020,9770000020,2022-10-31,B-02,false
C-100021,9770000021,2022-01-11,B-01,false
C-100022,9770000022,2021-06-27,B-02,true
C-100023,9770000023,2020-08-08,B-09,true
C-100024,9770000024,2025-02-10,B-01,false
C-100025,9770000025,2025-06-10,B-08,true
C-100026,9770000026,2024-05-25,B-04,true
C-100027,9770000027,2026-01-27,B-09,true
C-100028,9770000028,2021-04-18,B-01,true
C-100029,9770000029,2025-11-19,B-08,true
C-100030,9770000030,2023-04-21,B-08,true
C-100031,9770000031,2022-10-23,B-01,false
C-100032,9770000032,2026-03-31,B-08,false
C-100033,9770000033,2024-10-24,B-09,true
C-100034,9770000034,2023-12-17,B-08,false
C-100035,9770000035,2025-10-19,B-09,true
C-100036,9770000036,2022-07-18,B-02,false
C-100037,9770000037,2019-08-24,B-02,true
C-100038,9770000038,2026-02-21,B-04,true
C-100039,9770000039,2023-01-08,B-09,false
C-100040,9770000040,2019-06-02,B-17,true
C-100041,9770000041,2026-02-24,B-02,true
C-100042,9770000042,2020-03-13,B-17,false
C-100043,9770000043,2026-01-24,B-02,false
C-100044,9770000044,2020-03-07,B-02,false
C-100045,9770000045,2025-02-19,B-09,true
C-100046,9770000046,2024-02-22,B-08,true
C-100047,9770000047,2022-04-29,B-08,false
C-100048,9770000048,2019-11-30,B-02,true
C-100049,9770000049,2024-10-02,B-08,false
C-100050,9770000050,2019-12-25,B-02,false
C-100051,9770000051,2025-08-28,B-04,true
C-100052,9770000052,2023-08-07,B-04,false
C-100053,9770000053,2021-06-20,B-17,false
C-100054,9770000054,2020-07-25,B-08,true
C-100055,9770000055,2022-06-11,B-09,true
C-100056,9770000056,2022-05-28,B-09,false
C-100057,9770000057,2025-04-06,B-08,true
C-100058,9770000058,2020-04-13,B-08,true
C-100059,9770000059,2025-01-25,B-02,false
C-100060,9770000060,2021-01-28,B-01,true
C-100061,9770000061,2023-08-31,B-02,true
C-100062,9770000062,2022-03-07,B-04,true
C-100063,9770000063,2025-06-25,B-01,true
C-100064,9770000064,2024-08-13,B-09,false
C-100065,9770000065,2025-03-11,B-17,true
C-100066,9770000066,2025-09-18,B-01,true
C-100067,9770000067,2024-05-12,B-02,true
C-100068,9770000068,2025-03-28,B-08,true
C-100069,9770000069,2024-07-24,B-04,false
C-100070,9770000070,2025-01-31,B-04,false
C-100071,9770000071,2022-07-02,B-09,false
C-100072,9770000072,2019-08-29,B-09,false
C-100073,9770000073,2020-09-29,B-02,false
C-100074,9770000074,2024-10-16,B-02,true
C-100075,9770000075,2020-11-11,B-04,false
C-100076,9770000076,2019-12-13,B-04,false
C-100077,9770000077,2019-11-17,B-02,false
C-100078,9770000078,2025-08-25,B-17,true
C-100079,9770000079,2021-04-27,B-01,true
C-100080,9770000080,2023-10-09,B-04,false
C-100081,9770000081,2020-12-14,B-01,true
C-100082,9770000082,2021-02-04,B-01,false
C-100083,9770000083,2025-07-12,B-17,true
C-100084,9770000084,2022-03-18,B-08,true
C-100085,9770000085,2025-09-23,B-04,false
C-100086,9770000086,2026-02-23,B-08,false
C-100087,9770000087,2020-12-26,B-08,true
C-100088,9770000088,2024-01-07,B-17,true
C-100089,9770000089,2023-11-30,B-09,false
C-100090,9770000090,2021-10-19,B-09,false
C-100091,9770000091,2023-07-22,B-08,true
C-100092,9770000092,2024-10-04,B-01,false
C-100093,9770000093,2025-06-11,B-08,true
C-100094,9770000094,2024-04-27,B-17,false
C-100095,9770000095,2023-12-07,B-08,false
C-100096,9770000096,2021-04-01,B-04,false
C-100097,9770000097,2023-03-20,B-02,true
C-100098,9770000098,2024-09-03,B-01,false
C-100099,9770000099,2025-12-29,B-17,false
C-100100,9770000100,2020-09-08,B-08,false
C-100101,9770000101,2024-12-05,B-17,true
C-100102,9770000102,2019-12-23,B-04,false
C-100103,9770000103,2019-10-17,B-17,false
C-100104,9770000104,2022-12-11,B-17,true
C-100105,9770000105,2019-07-10,B-01,false
C-100106,9770000106,2024-08-30,B-08,true
C-100107,9770000107,2022-08-26,B-17,false
C-100108,9770000108,2025-10-30,B-17,true
C-100109,9770000109,2025-12-11,B-09,true
C-100110,9770000110,2019-06-16,B-09,false
C-100111,9770000111,2025-08-23,B-02,true
C-100112,9770000112,2020-08-15,B-01,false
C-100113,9770000113,2023-11-11,B-08,false
C-100114,9770000114,2022-11-17,B-09,false
C-100115,9770000115,2025-10-01,B-04,true
C-100116,9770000116,2025-11-13,B-17,true
C-100117,9770000117,2020-07-19,B-09,true
C-100118,9770000118,2022-10-22,B-04,true
C-100119,9770000119,2021-02-01,B-08,false
C-100120,9770000120,2021-08-07,B-01,false
C-100121,9770000121,2025-09-01,B-04,false
C-100122,9770000122,2021-01-17,B-09,false
C-100123,9770000123,2021-07-05,B-09,false
C-100124,9770000124,2019-10-25,B-01,false
C-100125,9770000125,2021-07-06,B-09,true
C-100126,9770000126,2021-09-04,B-02,true
C-100127,9770000127,2023-05-31,B-08,true
C-100128,9770000128,2022-10-10,B-09,false
C-100129,9770000129,2021-05-16,B-02,true
C-100130,9770000130,2023-05-12,B-02,false
C-100131,9770000131,2024-01-31,B-08,true
C-100132,9770000132,2026-02-17,B-17,true
C-100133,9770000133,2024-02-07,B-08,true
C-100134,9770000134,2021-12-05,B-08,true
C-100135,9770000135,2020-11-28,B-17,false
C-100136,9770000136,2025-04-07,B-02,false
C-100137,9770000137,2019-12-08,B-02,false
C-100138,9770000138,2023-11-28,B-09,true
C-100139,9770000139,2020-04-03,B-17,true
C-100140,9770000140,2022-09-21,B-02,false
C-100141,9770000141,2019-07-24,B-01,true
C-100142,9770000142,2019-09-22,B-01,false
C-100143,9770000143,2022-02-18,B-01,true
C-100144,9770000144,2026-01-12,B-01,true
C-100145,9770000145,2021-12-06,B-17,true
C-100146,9770000146,2021-02-22,B-02,false
C-100147,9770000147,2021-03-27,B-02,true
C-100148,9770000148,2025-05-03,B-04,false
C-100149,9770000149,2023-02-26,B-17,true
C-100150,9770000150,2025-02-12,B-04,true
C-100151,9770000151,2026-03-29,B-17,true
C-100152,9770000152,2023-06-01,B-02,false
C-100153,9770000153,2026-03-04,B-04,false
C-100154,9770000154,2021-03-01,B-02,true
C-100155,9770000155,2025-06-22,B-01,false
C-100156,9770000156,2021-10-27,B-01,false
C-100157,9770000157,2020-02-05,B-01,false
C-100158,9770000158,2020-06-01,B-01,false
C-100159,9770000159,2025-01-21,B-09,false
C-100160,9770000160,2020-12-19,B-04,true
C-100161,9770000161,2020-10-28,B-01,true
C-100162,9770000162,2023-09-29,B-02,false
C-100163,9770000163,2022-01-01,B-02,false
C-100164,9770000164,2023-04-07,B-09,false
C-100165,9770000165,2023-11-09,B-09,true
C-100166,9770000166,2025-05-20,B-08,false
C-100167,9770000167,2021-06-07,B-04,false
C-100168,9770000168,2021-08-25,B-04,false
C-100169,9770000169,2020-01-03,B-17,true
C-100170,9770000170,2024-01-04,B-09,true
C-100171,9770000171,2023-05-07,B-04,false
C-100172,9770000172,2023-03-11,B-09,false
C-100173,9770000173,2019-11-13,B-17,false
C-100174,9770000174,2019-08-27,B-01,false
C-100175,9770000175,2023-11-15,B-02,false
C-100176,9770000176,2020-02-04,B-04,true
C-100177,9770000177,2025-04-04,B-17,true
C-100178,9770000178,2022-09-28,B-08,false
C-100179,9770000179,2025-10-11,B-08,true
C-100180,9770000180,2019-11-15,B-04,true
C-100181,9770000181,2021-04-01,B-17,false
C-100182,9770000182,2025-09-25,B-17,true
C-100183,9770000183,2021-12-09,B-04,true
C-100184,9770000184,2023-04-22,B-09,true
C-100185,9770000185,2022-03-18,B-02,false
C-100186,9770000186,2020-11-12,B-02,true
C-100187,9770000187,2022-11-02,B-02,false
C-100188,9770000188,2022-03-26,B-04,false
C-100189,9770000189,2020-07-22,B-01,false
C-100190,9770000190,2022-08-14,B-01,false
C-100191,9770000191,2020-11-20,B-02,false
C-100192,9770000192,2022-03-19,B-01,false
C-100193,9770000193,2025-09-10,B-09,false
C-100194,9770000194,2023-11-18,B-08,true
C-100195,9770000195,2020-03-27,B-17,true
C-100196,9770000196,2022-12-24,B-17,true
C-100197,9770000197,2020-05-12,B-08,false
C-100198,9770000198,2021-12-13,B-17,false
C-100199,9770000199,2023-04-17,B-04,false
C-100200,9770000200,2020-03-22,B-01,false
C-100201,9770000201,2022-03-13,B-04,true
C-100202,9770000202,2026-03-20,B-17,false
C-100203,9770000203,2023-02-02,B-01,false
C-100204,9770000204,2021-12-23,B-08,false
C-100205,9770000205,2022-06-29,B-01,false
C-100206,9770000206,2022-09-06,B-17,true
C-100207,9770000207,2025-06-08,B-08,true
C-100208,9770000208,2025-12-31,B-08,true
C-100209,9770000209,2022-03-31,B-02,false
C-100210,9770000210,2021-10-20,B-02,false
C-100211,9770000211,2024-09-24,B-01,true
C-100212,9770000212,2019-07-25,B-02,true
C-100213,9770000213,2021-04-01,B-17,false
C-100214,9770000214,2021-10-02,B-08,false
C-100215,9770000215,2025-06-18,B-02,false
C-100216,9770000216,2022-11-04,B-01,false
C-100217,9770000217,2025-10-19,B-08,true
C-100218,9770000218,2021-09-24,B-02,false
C-100219,9770000219,2019-12-06,B-04,false
C-100220,9770000220,2024-06-25,B-17,false
C-100221,9770000221,2023-10-22,B-17,false
C-100222,9770000222,2024-09-13,B-17,false
C-100223,9770000223,2019-06-01,B-08,false
C-100224,9770000224,2022-05-16,B-04,true
C-100225,9770000225,2025-09-18,B-04,false
C-100226,9770000226,2025-11-25,B-09,false
C-100227,9770000227,2022-05-07,B-04,true
C-100228,9770000228,2024-12-11,B-09,false
C-100229,9770000229,2019-08-23,B-17,true
C-100230,9770000230,2024-11-26,B-01,false
C-100231,9770000231,2024-04-14,B-01,true
C-100232,9770000232,2024-03-16,B-08,false
C-100233,9770000233,2025-09-12,B-02,false
C-100234,9770000234,2024-01-27,B-02,false
C-100235,9770000235,2025-11-21,B-04,true
C-100236,9770000236,2024-09-21,B-01,true
C-100237,9770000237,2022-11-08,B-17,false
C-100238,9770000238,2023-05-04,B-09,true
C-100239,9770000239,2019-08-22,B-17,true
C-100240,9770000240,2021-03-02,B-04,false
C-100241,9770000241,2023-08-12,B-01,false
C-100242,9770000242,2023-11-19,B-04,true
C-100243,9770000243,2023-07-13,B-09,true
C-100244,9770000244,2025-10-27,B-02,false
C-100245,9770000245,2020-03-24,B-01,false
C-100246,9770000246,2020-05-17,B-04,false
C-100247,9770000247,2019-12-21,B-01,true
C-100248,9770000248,2024-04-07,B-09,true
C-100249,9770000249,2025-02-09,B-08,true
C-100250,9770000250,2020-05-15,B-01,false
C-100251,9770000251,2021-03-12,B-01,false
C-100252,9770000252,2022-01-17,B-02,true
C-100253,9770000253,2022-10-22,B-08,true
C-100254,9770000254,2024-06-24,B-02,false
C-100255,9770000255,2023-06-02,B-08,false
C-100256,9770000256,2020-07-12,B-02,true
C-100257,9770000257,2023-08-20,B-09,false
C-100258,9770000258,2021-07-10,B-01,false
C-100259,9770000259,2021-02-04,B-09,true
C-100260,9770000260,2021-05-28,B-02,false
C-100261,9770000261,2026-03-18,B-02,true
C-100262,9770000262,2019-08-05,B-02,false
C-100263,9770000263,2023-10-06,B-02,true
C-100264,9770000264,2022-07-09,B-17,true
C-100265,9770000265,2021-06-19,B-02,false
C-100266,9770000266,2021-01-16,B-02,true
C-100267,9770000267,2025-06-23,B-08,false
C-100268,9770000268,2024-01-04,B-02,true
C-100269,9770000269,2021-01-26,B-08,true
C-100270,9770000270,2022-10-02,B-17,false
C-100271,9770000271,2026-02-07,B-01,false
C-100272,9770000272,2025-02-22,B-01,false
C-100273,9770000273,2024-08-05,B-09,false
C-100274,9770000274,2022-09-27,B-17,false
C-100275,9770000275,2020-12-18,B-09,false
C-100276,9770000276,2024-02-14,B-04,true
C-100277,9770000277,2022-03-24,B-04,false
C-100278,9770000278,2023-02-05,B-17,true
C-100279,9770000279,2019-07-15,B-08,true
C-100280,9770000280,2021-02-10,B-08,false
C-100281,9770000281,2020-12-24,B-02,false
C-100282,9770000282,2022-03-05,B-17,false
C-100283,9770000283,2023-06-04,B-04,false
C-100284,9770000284,2020-07-21,B-09,true
C-100285,9770000285,2022-04-05,B-01,false
C-100286,9770000286,2023-04-23,B-08,false
C-100287,9770000287,2021-12-09,B-17,false
C-100288,9770000288,2023-01-03,B-01,false
C-100289,9770000289,2020-09-28,B-17,true
C-100290,9770000290,2022-04-25,B-01,true
C-100291,9770000291,2021-12-06,B-01,false
C-100292,9770000292,2019-07-28,B-02,true
C-100293,9770000293,2021-01-28,B-08,false
C-100294,9770000294,2020-05-11,B-17,false
C-100295,9770000295,2023-05-25,B-02,false
C-100296,9770000296,2021-12-01,B-01,false
C-100297,9770000297,2022-10-27,B-09,true
C-100298,9770000298,2021-11-29,B-01,false
C-100299,9770000299,2025-02-26,B-09,true
C-100300,9770000300,2023-02-09,B-02,true
C-100301,9770000301,2023-10-25,B-04,true
C-100302,9770000302,2024-11-09,B-09,false
C-100303,9770000303,2023-10-12,B-04,false
C-100304,9770000304,2020-10-10,B-01,false
