order_id,branch_id,customer_id,placed_at,fulfilment_method,delivery_distance_km,order_total
ORD-000001,B-17,C-111081,2026-05-01T10:43:46Z,DELIVERY,9.59,62.92
ORD-000002,B-17,C-107754,2026-05-01T12:48:41Z,DELIVERY,4.85,25.48
ORD-000003,B-17,C-113620,2026-05-01T11:56:32Z,PICKUP,,51.08
ORD-000004,B-17,C-100971,2026-05-01T12:33:26Z,PICKUP,,34.03
ORD-000005,B-17,C-111714,2026-05-01T17:19:51Z,DELIVERY,10.07,158.40
ORD-000006,B-17,C-107722,2026-05-01T15:08:49Z,PICKUP,,30.97
ORD-000007,B-17,C-108442,2026-05-01T18:27:25Z,DELIVERY,6.53,101.84
ORD-000008,B-17,C-108749,2026-05-01T08:05:57Z,DELIVERY,12.70,132.63
ORD-000009,B-17,C-113206,2026-05-01T09:55:40Z,DELIVERY,8.08,135.23
ORD-000010,B-17,C-112018,2026-05-01T18:11:24Z,DELIVERY,4.18,87.23
ORD-000011,B-17,C-104741,2026-05-01T11:43:01Z,DELIVERY,10.04,131.63
ORD-000012,B-08,C-103095,2026-05-01T16:05:07Z,PICKUP,,38.24
ORD-000013,B-08,C-104085,2026-05-01T11:30:29Z,DELIVERY,4.61,150.08
ORD-000014,B-08,C-110412,2026-05-01T15:43:51Z,DELIVERY,5.93,118.24
ORD-000015,B-08,C-102041,2026-05-01T15:53:29Z,DELIVERY,4.98,29.68
ORD-000016,B-08,C-112935,2026-05-01T09:35:56Z,DELIVERY,5.90,24.33
ORD-000017,B-08,C-112875,2026-05-01T16:44:22Z,DELIVERY,7.74,171.76
ORD-000018,B-08,C-110384,2026-05-01T12:52:57Z,DELIVERY,3.91,71.19
ORD-000019,B-08,C-102261,2026-05-01T18:35:11Z,DELIVERY,6.44,122.58
ORD-000020,B-09,C-104445,2026-05-01T12:18:38Z,PICKUP,,32.18
ORD-000021,B-09,C-101107,2026-05-01T18:19:12Z,DELIVERY,0.52,98.70
ORD-000022,B-09,C-106578,2026-05-01T20:42:42Z,PICKUP,,68.60
ORD-000023,B-09,C-113315,2026-05-01T10:58:58Z,DELIVERY,4.02,29.07
ORD-000024,B-04,C-107586,2026-05-01T09:31:48Z,DELIVERY,10.07,176.25
ORD-000025,B-04,C-111470,2026-05-01T10:09:41Z,DELIVERY,7.62,16.48
ORD-000026,B-04,C-102148,2026-05-01T19:44:02Z,DELIVERY,6.33,38.70
ORD-000027,B-02,C-106263,2026-05-01T09:54:55Z,DELIVERY,6.83,133.57
ORD-000028,B-02,C-103828,2026-05-01T17:19:41Z,PICKUP,,142.34
ORD-000029,B-01,C-109101,2026-05-01T10:47:02Z,PICKUP,,23.24
ORD-000030,B-17,C-105079,2026-05-02T18:26:37Z,DELIVERY,8.03,102.21
ORD-000031,B-17,C-100221,2026-05-02T18:44:42Z,DELIVERY,7.13,27.05
ORD-000032,B-17,C-102702,2026-05-02T09:31:52Z,DELIVERY,11.61,127.38
ORD-000033,B-17,C-101945,2026-05-02T19:48:06Z,DELIVERY,1.51,31.03
ORD-000034,B-17,C-114087,2026-05-02T10:57:45Z,DELIVERY,2.13,32.45
ORD-000035,B-17,C-102189,2026-05-02T17:53:12Z,PICKUP,,74.42
ORD-000036,B-17,C-103502,2026-05-02T14:11:36Z,PICKUP,,173.63
ORD-000037,B-17,C-114676,2026-05-02T10:45:00Z,PICKUP,,30.61
ORD-000038,B-17,C-110588,2026-05-02T19:08:49Z,DELIVERY,10.40,149.06
ORD-000039,B-17,C-114330,2026-05-02T19:37:07Z,DELIVERY,9.87,151.38
ORD-000040,B-17,C-107761,2026-05-02T13:53:29Z,DELIVERY,11.20,177.75
ORD-000041,B-17,C-110230,2026-05-02T15:34:35Z,DELIVERY,3.19,113.56
ORD-000042,B-17,C-104195,2026-05-02T20:00:40Z,PICKUP,,133.07
ORD-000043,B-17,C-101459,2026-05-02T20:26:20Z,DELIVERY,4.37,32.64
ORD-000044,B-17,C-114745,2026-05-02T13:11:18Z,DELIVERY,9.99,178.58
ORD-000045,B-17,C-102789,2026-05-02T12:55:30Z,PICKUP,,82.01
ORD-000046,B-17,C-114478,2026-05-02T11:46:45Z,DELIVERY,10.11,69.33
ORD-000047,B-17,C-100040,2026-05-02T15:44:56Z,DELIVERY,10.26,92.02
ORD-000048,B-08,C-100415,2026-05-02T19:28:38Z,DELIVERY,4.08,24.61
ORD-000049,B-08,C-102943,2026-05-02T13:43:04Z,DELIVERY,12.17,49.56
ORD-000050,B-08,C-112276,2026-05-02T17:17:24Z,PICKUP,,129.31
ORD-000051,B-08,C-113156,2026-05-02T17:01:56Z,DELIVERY,10.78,114.92
ORD-000052,B-08,C-100320,2026-05-02T17:37:36Z,DELIVERY,3.47,69.05
ORD-000053,B-08,C-112478,2026-05-02T11:18:01Z,DELIVERY,1.25,78.07
ORD-000054,B-08,C-101576,2026-05-02T18:44:49Z,DELIVERY,6.40,74.94
ORD-000055,B-08,C-101444,2026-05-02T16:54:04Z,DELIVERY,9.19,168.72
ORD-000056,B-08,C-102361,2026-05-02T15:17:20Z,DELIVERY,1.69,107.11
ORD-000057,B-08,C-100517,2026-05-02T14:02:46Z,DELIVERY,2.89,166.10
