depot_id,branch_id,regime,road_km,drops_per_week
DC-01,B-17,ambient,103,10
DC-03,B-17,chilled,20,4
DC-04,B-17,frozen,159,2
DC-01,B-08,ambient,142,12
DC-03,B-08,chilled,112,4
DC-04,B-08,frozen,45,4
DC-02,B-09,ambient,139,11
DC-03,B-09,chilled,15,13
DC-04,B-09,frozen,57,8
DC-01,B-04,ambient,179,12
DC-03,B-04,chilled,186,10
DC-04,B-04,frozen,96,6
DC-01,B-02,ambient,112,10
DC-03,B-02,chilled,79,10
DC-01,B-01,ambient,84,11
DC-03,B-01,chilled,9,3
DC-02,B-20,ambient,58,12
DC-03,B-20,chilled,29,2
DC-04,B-20,frozen,104,6
DC-01,B-21,ambient,103,6
DC-03,B-21,chilled,121,3
DC-04,B-21,frozen,8,12
DC-01,B-22,ambient,196,11
DC-03,B-22,chilled,175,4
DC-04,B-22,frozen,42,7
DC-02,B-23,ambient,59,8
DC-03,B-23,chilled,182,12
DC-04,B-23,frozen,32,4
DC-01,B-24,ambient,126,10
DC-03,B-24,chilled,159,7
DC-04,B-24,frozen,46,2
DC-01,B-25,ambient,196,5
DC-03,B-25,chilled,107,3
DC-04,B-25,frozen,203,11
DC-01,B-26,ambient,92,7
DC-03,B-26,chilled,53,5
DC-04,B-26,frozen,46,6
DC-01,B-27,ambient,165,13
DC-03,B-27,chilled,26,6
DC-04,B-27,frozen,127,11
DC-02,B-28,ambient,38,3
DC-03,B-28,chilled,24,12
DC-04,B-28,frozen,35,2
DC-01,B-29,ambient,100,6
DC-03,B-29,chilled,21,5
DC-04,B-29,frozen,164,7
DC-01,B-30,ambient,71,7
DC-03,B-30,chilled,59,6
DC-04,B-30,frozen,29,13
