depot_id,snapshot_date,sku,pallets_on_hand,weeks_cover
DC-01,2026-05-06,QX-CER-002,110,1.2
DC-01,2026-05-06,QX-DRK-200,163,9.2
DC-01,2026-05-06,QX-PRO-203,321,8.8
DC-01,2026-05-06,QX-DRK-206,325,5.5
DC-01,2026-05-06,QX-TIN-208,255,5.8
DC-01,2026-05-06,QX-PRO-210,102,2.7
DC-01,2026-05-06,QX-HHD-211,80,5.7
DC-01,2026-05-06,QX-CHL-215,279,3.8
DC-01,2026-05-06,QX-FRZ-218,246,1.9
DC-01,2026-05-06,QX-BAK-223,110,0.9
DC-01,2026-05-06,QX-PET-226,330,5.7
DC-01,2026-05-06,QX-TIN-228,251,5.3
DC-01,2026-05-06,QX-HHD-240,139,3.9
DC-01,2026-05-06,QX-CER-241,91,2.0
DC-01,2026-05-06,QX-DRY-243,42,1.8
DC-01,2026-05-06,QX-HHD-253,31,0.9
DC-01,2026-05-06,QX-DRY-257,303,4.2
DC-01,2026-05-06,QX-HBC-261,205,2.9
DC-01,2026-05-06,QX-CHL-274,260,3.9
DC-01,2026-05-06,QX-CHL-280,233,4.9
DC-01,2026-05-06,QX-BAK-292,251,4.3
DC-01,2026-05-06,QX-TIN-293,226,7.9
DC-01,2026-05-06,QX-BWS-294,56,7.8
DC-01,2026-05-06,QX-FRZ-298,278,8.4
DC-01,2026-05-06,QX-HHD-303,65,4.1
DC-01,2026-05-06,QX-TIN-306,297,1.2
DC-01,2026-05-06,QX-FRZ-310,198,2.2
DC-01,2026-05-06,QX-DRY-312,213,6.0
DC-01,2026-05-06,QX-CHL-315,259,4.5
DC-01,2026-05-06,QX-CER-319,19,4.4
DC-01,2026-05-06,QX-BWS-320,95,0.9
DC-01,2026-05-06,QX-FRZ-323,220,5.7
DC-01,2026-05-06,QX-HBC-325,151,7.6
DC-01,2026-05-06,QX-PET-326,246,4.3
DC-01,2026-05-06,QX-BAK-327,178,6.6
DC-01,2026-05-06,QX-TIN-340,185,5.8
DC-01,2026-05-06,QX-PET-345,246,1.1
DC-01,2026-05-06,QX-CHL-352,240,5.2
DC-01,2026-05-06,QX-FRZ-357,279,4.4
DC-01,2026-05-06,QX-BWS-359,230,6.9
DC-01,2026-05-06,QX-BAK-360,17,4.6
DC-01,2026-05-06,QX-CHL-368,139,1.1
DC-01,2026-05-06,QX-CER-372,55,2.2
DC-01,2026-05-06,QX-HBC-374,142,8.4
DC-01,2026-05-06,QX-BAK-379,294,8.1
DC-01,2026-05-06,QX-HHD-385,196,2.6
DC-01,2026-05-06,QX-PRO-396,18,1.7
DC-01,2026-05-06,QX-FRZ-403,192,7.9
DC-01,2026-05-06,QX-PRO-408,47,7.9
DC-01,2026-05-06,QX-DRY-414,325,6.2
DC-01,2026-05-06,QX-DRY-416,234,9.1
DC-01,2026-05-06,QX-BAK-420,94,4.4
DC-01,2026-05-06,QX-PRO-421,335,4.0
DC-01,2026-05-06,QX-BAK-430,101,5.4
DC-01,2026-05-06,QX-BAK-434,65,2.7
DC-01,2026-05-06,QX-PRO-439,293,3.3
DC-01,2026-05-06,QX-PRO-441,30,7.5
DC-01,2026-05-06,QX-HBC-442,71,6.4
DC-01,2026-05-06,QX-CER-443,166,0.2
DC-01,2026-05-06,QX-FRZ-444,44,8.6
DC-01,2026-05-06,QX-PET-447,293,8.5
DC-01,2026-05-06,QX-BAK-451,138,5.5
DC-01,2026-05-06,QX-BWS-454,305,4.8
DC-01,2026-05-06,QX-PET-456,216,6.9
DC-01,2026-05-06,QX-HHD-463,326,4.1
DC-01,2026-05-06,QX-CER-465,213,1.4
DC-01,2026-05-06,QX-PET-466,53,8.7
DC-01,2026-05-06,QX-FRZ-468,59,4.1
DC-01,2026-05-06,QX-BWS-472,287,5.2
DC-01,2026-05-06,QX-CER-473,186,0.6
DC-01,2026-05-06,QX-PRO-475,103,7.4
DC-01,2026-05-06,QX-BWS-479,223,4.1
DC-01,2026-05-06,QX-TIN-486,65,8.6
DC-01,2026-05-06,QX-DRY-491,255,2.2
DC-01,2026-05-06,QX-CHL-496,140,8.9
DC-01,2026-05-06,QX-DRY-497,42,2.3
DC-01,2026-05-06,QX-DRY-499,261,7.0
DC-01,2026-05-06,QX-PET-500,237,4.4
DC-01,2026-05-06,QX-HHD-501,71,8.3
DC-01,2026-05-06,QX-BAK-505,83,0.5
DC-01,2026-05-06,QX-CER-511,140,2.5
DC-01,2026-05-06,QX-DRY-517,284,5.3
DC-01,2026-05-06,QX-DRY-519,302,2.8
DC-01,2026-05-06,QX-PRO-521,244,0.9
DC-01,2026-05-06,QX-PRO-524,161,6.0
DC-01,2026-05-06,QX-PET-525,284,7.5
DC-01,2026-05-06,QX-BWS-527,172,4.9
DC-01,2026-05-06,QX-PRO-532,300,1.7
DC-01,2026-05-06,QX-PET-533,123,2.3
DC-01,2026-05-06,QX-BWS-536,22,4.6
DC-01,2026-05-06,QX-FRZ-538,267,5.0
DC-01,2026-05-06,QX-BAK-539,147,2.0
DC-01,2026-05-06,QX-HBC-544,144,3.9
DC-01,2026-05-06,QX-BAK-546,194,7.5
DC-01,2026-05-06,QX-HHD-551,125,5.7
DC-01,2026-05-06,QX-CHL-554,274,9.2
DC-01,2026-05-06,QX-CHL-555,181,4.9
DC-01,2026-05-06,QX-FRZ-556,11,1.0
DC-01,2026-05-06,QX-HBC-557,158,3.4
DC-01,2026-05-06,QX-DRK-560,117,7.2
