employee_id,branch_id,business_date,shift_start,shift_end
E-247,B-17,2026-05-04,08:00:00,16:00:00
E-455,B-17,2026-05-04,08:00:00,16:00:00
E-800,B-17,2026-05-04,08:00:00,16:00:00
E-802,B-17,2026-05-04,12:00:00,20:00:00
E-804,B-17,2026-05-04,22:00:00,06:00:00
E-808,B-17,2026-05-04,08:00:00,16:00:00
E-809,B-17,2026-05-04,14:00:00,22:00:00
E-810,B-17,2026-05-04,14:00:00,22:00:00
E-811,B-17,2026-05-04,14:00:00,22:00:00
E-817,B-17,2026-05-04,12:00:00,20:00:00
E-818,B-17,2026-05-04,08:00:00,16:00:00
E-825,B-17,2026-05-04,09:00:00,17:00:00
E-829,B-17,2026-05-04,06:00:00,14:00:00
E-830,B-17,2026-05-04,08:00:00,16:00:00
E-831,B-17,2026-05-04,06:00:00,14:00:00
E-832,B-17,2026-05-04,08:00:00,16:00:00
E-835,B-17,2026-05-04,09:00:00,17:00:00
E-837,B-17,2026-05-04,12:00:00,20:00:00
E-838,B-17,2026-05-04,08:00:00,16:00:00
E-840,B-17,2026-05-04,09:00:00,17:00:00
E-847,B-17,2026-05-04,09:00:00,17:00:00
E-849,B-17,2026-05-04,08:00:00,16:00:00
E-850,B-17,2026-05-04,12:00:00,20:00:00
E-853,B-17,2026-05-04,08:00:00,16:00:00
E-854,B-17,2026-05-04,08:00:00,16:00:00
E-856,B-17,2026-05-04,12:00:00,20:00:00
E-857,B-17,2026-05-04,22:00:00,06:00:00
E-858,B-17,2026-05-04,09:00:00,17:00:00
E-862,B-17,2026-05-04,08:00:00,16:00:00
E-864,B-17,2026-05-04,09:00:00,17:00:00
E-865,B-17,2026-05-04,08:00:00,16:00:00
E-866,B-17,2026-05-04,06:00:00,14:00:00
E-868,B-17,2026-05-04,08:00:00,16:00:00
E-870,B-17,2026-05-04,08:00:00,16:00:00
E-871,B-17,2026-05-04,08:00:00,16:00:00
E-873,B-17,2026-05-04,14:00:00,22:00:00
E-874,B-17,2026-05-04,22:00:00,06:00:00
E-875,B-17,2026-05-04,08:00:00,16:00:00
E-877,B-17,2026-05-04,08:00:00,16:00:00
E-283,B-08,2026-05-04,14:00:00,22:00:00
E-883,B-08,2026-05-04,12:00:00,20:00:00
E-889,B-08,2026-05-04,06:00:00,14:00:00
E-892,B-08,2026-05-04,14:00:00,22:00:00
E-893,B-08,2026-05-04,06:00:00,14:00:00
E-894,B-08,2026-05-04,22:00:00,06:00:00
E-895,B-08,2026-05-04,08:00:00,16:00:00
E-896,B-08,2026-05-04,22:00:00,06:00:00
E-899,B-08,2026-05-04,14:00:00,22:00:00
E-901,B-08,2026-05-04,12:00:00,20:00:00
E-908,B-08,2026-05-04,08:00:00,16:00:00
E-912,B-08,2026-05-04,08:00:00,16:00:00
E-914,B-08,2026-05-04,08:00:00,16:00:00
E-915,B-08,2026-05-04,08:00:00,16:00:00
E-917,B-08,2026-05-04,06:00:00,14:00:00
E-919,B-08,2026-05-04,12:00:00,20:00:00
E-920,B-08,2026-05-04,09:00:00,17:00:00
E-922,B-08,2026-05-04,22:00:00,06:00:00
E-924,B-08,2026-05-04,14:00:00,22:00:00
E-926,B-08,2026-05-04,22:00:00,06:00:00
