lane_id,origin_country_id,destination_depot_id,mode,cost_per_pallet_gbp,transit_days,co2_kg_per_pallet
LN-001,ES,DC-01,road,101.20,11,94
LN-002,ES,DC-01,sea,85.27,8,43
LN-003,PL,DC-01,road,76.72,7,72
LN-004,PL,DC-01,sea,135.95,8,95
LN-005,DK,DC-05,road,93.56,4,74
LN-006,DK,DC-01,sea,136.33,7,97
LN-007,MA,DC-05,road,83.97,5,94
LN-008,MA,DC-01,sea,109.87,6,46
LN-009,KE,DC-05,sea,121.62,38,203
LN-010,KE,DC-05,air,1914.70,4,2910
LN-011,VN,DC-05,sea,146.95,46,211
LN-012,VN,DC-05,air,988.53,5,2166
LN-013,BZ,DC-05,sea,254.90,23,159
LN-014,BZ,DC-05,air,916.31,5,2669
LN-015,GH,DC-05,sea,227.62,40,217
LN-016,GH,DC-05,air,2066.87,4,3362
LN-017,CR,DC-05,sea,170.06,46,229
LN-018,CR,DC-05,air,2007.96,2,3390
LN-019,TR,DC-05,road,72.15,4,103
LN-020,TR,DC-01,sea,78.21,8,98
LN-021,NL,DC-01,road,72.20,11,125
LN-022,NL,DC-05,sea,38.83,5,51
