currency_code,rate_date,units_per_gbp
EUR,2026-02-16,1.1364
EUR,2026-02-17,1.1333
EUR,2026-02-18,1.1314
EUR,2026-02-19,1.1285
EUR,2026-02-20,1.1319
EUR,2026-02-23,1.1322
EUR,2026-02-24,1.1323
EUR,2026-02-25,1.1356
EUR,2026-02-26,1.1338
EUR,2026-02-27,1.1308
EUR,2026-03-02,1.1349
EUR,2026-03-03,1.1379
EUR,2026-03-04,1.1383
EUR,2026-03-05,1.1372
EUR,2026-03-06,1.1341
EUR,2026-03-09,1.1304
EUR,2026-03-10,1.1282
EUR,2026-03-11,1.1289
EUR,2026-03-12,1.1294
EUR,2026-03-13,1.1261
EUR,2026-03-16,1.1249
EUR,2026-03-17,1.1241
EUR,2026-03-18,1.1251
EUR,2026-03-19,1.1223
EUR,2026-03-20,1.1201
EUR,2026-03-23,1.1170
EUR,2026-03-24,1.1180
EUR,2026-03-25,1.1204
EUR,2026-03-26,1.1203
EUR,2026-03-27,1.1220
EUR,2026-03-30,1.1143
EUR,2026-03-31,1.1161
EUR,2026-04-01,1.1191
EUR,2026-04-02,1.1220
EUR,2026-04-03,1.1192
USD,2026-02-16,1.2492
USD,2026-02-17,1.2463
USD,2026-02-18,1.2494
USD,2026-02-19,1.2481
USD,2026-02-20,1.2499
USD,2026-02-23,1.2444
USD,2026-02-24,1.2409
USD,2026-02-25,1.2433
USD,2026-02-26,1.2445
USD,2026-02-27,1.2422
USD,2026-03-02,1.2489
USD,2026-03-03,1.2477
USD,2026-03-04,1.2521
USD,2026-03-05,1.2552
USD,2026-03-06,1.2568
USD,2026-03-09,1.2629
USD,2026-03-10,1.2618
USD,2026-03-11,1.2598
USD,2026-03-12,1.2640
USD,2026-03-13,1.2598
USD,2026-03-16,1.2646
USD,2026-03-17,1.2618
USD,2026-03-18,1.2591
USD,2026-03-19,1.2579
USD,2026-03-20,1.2560
USD,2026-03-23,1.2549
USD,2026-03-24,1.2552
USD,2026-03-25,1.2548
USD,2026-03-26,1.2512
USD,2026-03-27,1.2481
USD,2026-03-30,1.2489
USD,2026-03-31,1.2514
USD,2026-04-01,1.2552
USD,2026-04-02,1.2542
USD,2026-04-03,1.2570
PLN,2026-02-16,4.9399
PLN,2026-02-17,4.9571
PLN,2026-02-18,4.9636
PLN,2026-02-19,4.9578
PLN,2026-02-20,4.9501
PLN,2026-02-23,4.9121
PLN,2026-02-24,4.9255
PLN,2026-02-25,4.9182
PLN,2026-02-26,4.9272
PLN,2026-02-27,4.9160
PLN,2026-03-02,4.9279
PLN,2026-03-03,4.9319
PLN,2026-03-04,4.9307
PLN,2026-03-05,4.9437
PLN,2026-03-06,4.9492
PLN,2026-03-09,4.9414
PLN,2026-03-10,4.9579
PLN,2026-03-11,4.9488
PLN,2026-03-12,4.9330
PLN,2026-03-13,4.9282
PLN,2026-03-16,4.9140
PLN,2026-03-17,4.9180
PLN,2026-03-18,4.9079
PLN,2026-03-19,4.9192
PLN,2026-03-20,4.9152
PLN,2026-03-23,4.9483
PLN,2026-03-24,4.9314
PLN,2026-03-25,4.9360
PLN,2026-03-26,4.9420
PLN,2026-03-27,4.9356
PLN,2026-03-30,4.9325
PLN,2026-03-31,4.9341
PLN,2026-04-01,4.9177
PLN,2026-04-02,4.9308
PLN,2026-04-03,4.9179
DKK,2026-02-16,8.5038
DKK,2026-02-17,8.4901
DKK,2026-02-18,8.4756
DKK,2026-02-19,8.4733
DKK,2026-02-20,8.4517
DKK,2026-02-23,8.3784
DKK,2026-02-24,8.3704
DKK,2026-02-25,8.3866
DKK,2026-02-26,8.3930
DKK,2026-02-27,8.4148
DKK,2026-03-02,8.4506
DKK,2026-03-03,8.4762
DKK,2026-03-04,8.4797
DKK,2026-03-05,8.4761
DKK,2026-03-06,8.4636
DKK,2026-03-09,8.4481
DKK,2026-03-10,8.4770
DKK,2026-03-11,8.4841
DKK,2026-03-12,8.4750
DKK,2026-03-13,8.4731
DKK,2026-03-16,8.4510
DKK,2026-03-17,8.4595
DKK,2026-03-18,8.4478
DKK,2026-03-19,8.4386
