branch_id,snapshot_date,sku,closing_stock_units
B-17,2026-05-06,QX-CER-001,125
B-17,2026-05-06,QX-CER-002,183
B-17,2026-05-06,QX-DRK-014,168
B-17,2026-05-06,QX-DRK-021,119
B-17,2026-05-06,QX-TIN-032,27
B-17,2026-05-06,QX-TIN-045,147
B-17,2026-05-06,QX-DRY-184,57
B-17,2026-05-06,QX-CHL-007,142
B-17,2026-05-06,QX-FRZ-112,112
B-17,2026-05-06,QX-DRK-200,76
B-17,2026-05-06,QX-BWS-201,32
B-17,2026-05-06,QX-PRO-202,154
B-17,2026-05-06,QX-PRO-203,114
B-17,2026-05-06,QX-DRK-204,
B-17,2026-05-06,QX-BWS-205,104
B-17,2026-05-06,QX-DRK-206,123
B-17,2026-05-06,QX-TIN-207,197
B-17,2026-05-06,QX-TIN-208,74
B-17,2026-05-06,QX-CHL-209,42
B-17,2026-05-06,QX-PRO-210,4
B-17,2026-05-06,QX-HHD-211,72
B-17,2026-05-06,QX-TIN-212,25
B-17,2026-05-06,QX-CHL-213,54
B-17,2026-05-06,QX-FRZ-214,
B-17,2026-05-06,QX-CHL-215,
B-17,2026-05-06,QX-BAK-216,119
B-17,2026-05-06,QX-PRO-217,68
B-17,2026-05-06,QX-FRZ-218,129
B-17,2026-05-06,QX-HBC-219,66
B-17,2026-05-06,QX-HBC-220,204
B-17,2026-05-06,QX-BWS-221,159
B-17,2026-05-06,QX-BWS-222,22
B-17,2026-05-06,QX-BAK-223,99
B-17,2026-05-06,QX-DRY-224,166
B-17,2026-05-06,QX-HHD-225,130
B-17,2026-05-06,QX-PET-226,216
B-17,2026-05-06,QX-CER-227,36
B-17,2026-05-06,QX-TIN-228,235
B-17,2026-05-06,QX-TIN-229,25
B-17,2026-05-06,QX-DRK-230,98
B-17,2026-05-06,QX-FRZ-231,191
B-17,2026-05-06,QX-BAK-232,101
B-17,2026-05-06,QX-BAK-233,117
B-17,2026-05-06,QX-DRK-234,128
B-17,2026-05-06,QX-FRZ-235,29
B-17,2026-05-06,QX-PRO-236,136
B-17,2026-05-06,QX-PRO-237,109
B-17,2026-05-06,QX-CHL-238,37
B-17,2026-05-06,QX-BWS-239,215
B-17,2026-05-06,QX-HHD-240,75
B-17,2026-05-06,QX-CER-241,139
B-17,2026-05-06,QX-FRZ-242,39
B-17,2026-05-06,QX-DRY-243,191
B-17,2026-05-06,QX-FRZ-244,125
B-17,2026-05-06,QX-HHD-245,171
