branch_id,week_starting,planned_hours,actual_hours,forecast_transactions,actual_transactions
B-17,2026-05-06,2790.9,2044.9,4615,3969
B-08,2026-05-06,2359.1,2214.7,3154,2709
B-09,2026-05-06,2151.9,1022.5,1731,1491
B-04,2026-05-06,2334.2,2551.5,1092,938
B-02,2026-05-06,2929.5,1299.1,662,567
B-01,2026-05-06,1623.7,2917.8,385,329
B-20,2026-05-06,1895.8,3549.3,3380,2905
B-21,2026-05-06,1563.6,1308.4,4618,3969
B-22,2026-05-06,2348.6,1292.0,2640,2268
B-23,2026-05-06,841.8,1369.7,3798,3269
B-24,2026-05-06,2501.5,3168.2,4575,3934
B-25,2026-05-06,1044.2,3470.5,3134,2695
B-26,2026-05-06,2100.2,907.9,1191,1022
B-27,2026-05-06,2001.9,1224.0,1689,1449
B-28,2026-05-06,589.6,3141.1,1803,1554
B-29,2026-05-06,2049.3,1063.7,1305,1120
B-30,2026-05-06,2343.6,1843.2,1768,1519
