case_id,sku,annual_units,buy_landed_cost,make_unit_cost,make_capex_gbp,breakeven_units,payback_months,recommendation,decision,decided_on
MOB-0001,QX-PRO-218,1012981,1.3457,1.2713,2363367,31765685,376.3,review,,
MOB-0002,QX-TIN-219,474274,0.5650,0.4096,1504286,9680090,244.9,review,,
MOB-0003,QX-FRZ-239,1227016,1.2163,0.9868,480936,2095582,20.5,make,deferred,2026-01-23
MOB-0004,QX-BWS-269,3111917,13.9764,9.5721,1545652,350942,1.4,make,,
MOB-0005,QX-BAK-334,474001,1.2820,1.5082,771131,,,buy,buy,2025-10-13
MOB-0006,QX-HHD-369,1393008,2.1090,1.5494,2228980,3983167,34.3,review,deferred,2025-10-09
MOB-0007,QX-TIN-371,2622588,0.8255,0.7782,1071726,22658055,103.7,review,buy,2025-11-11
MOB-0008,QX-HBC-378,1224805,3.6679,3.0843,1524370,2612012,25.6,make,deferred,2026-01-14
MOB-0009,QX-CER-379,1756959,1.0488,1.0791,1890013,,,buy,,
MOB-0010,QX-DRK-400,539649,3.3025,3.0627,1684458,7024429,156.2,review,buy,2026-02-27
MOB-0011,QX-BAK-413,2543538,0.9965,1.0087,708281,,,buy,deferred,2025-09-27
MOB-0012,QX-PRO-434,1474987,1.8658,2.2072,284660,,,buy,,
MOB-0013,QX-BAK-441,1766612,1.8001,1.8357,1450548,,,buy,deferred,2026-01-17
MOB-0014,QX-BAK-447,2249838,1.1083,0.8481,1546328,5942844,31.7,review,,
MOB-0015,QX-BAK-452,2565797,1.2820,1.3825,737691,,,buy,buy,2026-02-14
MOB-0016,QX-PET-467,1830854,0.6505,0.7469,1294046,,,buy,buy,2025-08-14
MOB-0017,QX-PET-540,2122586,4.4441,3.9650,1254294,2618021,14.8,make,,
MOB-0018,QX-DRY-541,1069653,2.0727,2.3435,511433,,,buy,buy,2026-01-06
MOB-0019,QX-DRY-549,2556544,1.9271,1.8140,2316947,20485827,96.2,review,review,2025-08-13
MOB-0020,QX-HHD-576,935206,3.7834,3.9048,634868,,,buy,buy,2025-10-18
MOB-0021,QX-HHD-607,186692,6.6104,7.0931,1831652,,,buy,buy,2026-03-14
MOB-0022,QX-HHD-613,1858942,3.6201,4.1414,1181088,,,buy,buy,2026-03-04
MOB-0023,QX-DRY-654,812956,2.9665,3.4895,1817779,,,buy,buy,2025-11-20
MOB-0024,QX-BAK-666,2688942,1.3071,1.2532,552844,10256846,45.8,review,review,2026-02-14
MOB-0025,QX-BWS-681,2682326,4.8387,3.3375,1473718,981693,4.4,make,buy,2025-10-29
MOB-0026,QX-DRK-720,1688445,1.6724,1.8529,171417,,,buy,buy,2026-01-02
MOB-0027,QX-HBC-730,1696906,5.5437,5.3537,2305001,12131584,85.8,review,deferred,2025-10-17
MOB-0028,QX-FRZ-846,264601,4.3039,3.4103,1917013,2145270,97.3,review,,
MOB-0029,QX-TIN-856,1862002,1.2036,1.0600,2044260,14235794,91.7,review,review,2025-11-25
MOB-0030,QX-TIN-884,2952060,1.4766,1.6375,1982204,,,buy,,
MOB-0031,QX-PRO-896,1125934,0.8676,0.6037,1436391,5442937,58.0,review,review,2025-12-15
MOB-0032,QX-BAK-912,1396505,2.3497,2.7514,98971,,,buy,deferred,2026-02-12
MOB-0033,QX-DRY-913,1811824,2.9364,2.7171,2326292,10607807,70.3,review,review,2025-11-09
MOB-0034,QX-TIN-915,243619,1.2671,1.3151,700355,,,buy,buy,2025-08-31
MOB-0035,QX-TIN-937,2594899,0.2586,0.2186,2253060,56326500,260.5,review,buy,2025-08-16
MOB-0036,QX-TIN-957,1672476,1.0479,0.9258,897019,7346593,52.7,review,review,2026-01-08
MOB-0037,QX-CER-988,2827387,2.0167,2.2491,157841,,,buy,deferred,2025-10-01
MOB-0038,QX-CHL-004,2279406,8.9631,8.3280,2004697,3156506,16.6,make,deferred,2025-12-23
MOB-0039,QX-DRY-017,1038669,2.1914,2.4732,1284251,,,buy,buy,2025-10-26
MOB-0040,QX-HHD-113,1449642,4.3251,3.3610,1543415,1600887,13.3,make,,
MOB-0041,QX-BAK-169,1786884,2.2305,1.9822,212959,857668,5.8,make,make,2025-09-04
MOB-0042,QX-HBC-170,1263016,2.3134,1.9016,602885,1464024,13.9,make,,
MOB-0043,QX-CER-201,2979480,1.6050,1.4589,1764645,12078337,48.6,review,,
MOB-0044,QX-HHD-209,325256,3.2341,3.4265,2115738,,,buy,,
MOB-0045,QX-TIN-213,1281848,0.7442,0.8934,1518279,,,buy,,
MOB-0046,QX-PET-255,2169583,1.7732,1.6062,138062,826719,4.6,make,,
MOB-0047,QX-DRK-302,1933073,1.5056,1.7404,1212162,,,buy,deferred,2026-02-18
MOB-0048,QX-HBC-424,2337623,3.7486,2.5934,2108220,1824983,9.4,make,buy,2026-01-01
MOB-0049,QX-DRK-427,2206737,1.1253,0.9003,2114285,9396822,51.1,review,review,2025-09-13
MOB-0050,QX-CHL-466,1979397,10.2944,11.9283,335237,,,buy,,
MOB-0051,QX-PET-471,51518,4.6664,5.3559,2065140,,,buy,deferred,2026-01-08
MOB-0052,QX-FRZ-495,2854767,1.1087,1.0302,979860,12482293,52.5,review,review,2025-10-19
MOB-0053,QX-TIN-552,473005,0.5337,0.3720,824063,5096246,129.3,review,deferred,2026-01-22
MOB-0054,QX-HHD-556,2931485,2.2228,2.4940,365561,,,buy,,
MOB-0055,QX-DRK-560,2028670,2.7958,2.3212,569837,1200668,7.1,make,,
MOB-0056,QX-DRK-603,1103626,2.2687,1.6418,697644,1112847,12.1,make,buy,2026-02-16
MOB-0057,QX-HHD-660,1774753,1.0067,0.6892,1969110,6201921,41.9,review,,
MOB-0058,QX-BAK-715,1942770,1.1179,1.0302,2269133,25873808,159.8,review,buy,2026-02-05
MOB-0059,QX-PRO-748,2909632,2.6592,2.5306,517539,4024409,16.6,make,make,2025-10-23
MOB-0060,QX-PET-752,68322,6.1409,4.2948,751437,407040,71.5,review,,
MOB-0061,QX-DRK-780,305534,2.5220,2.6793,551259,,,buy,buy,2025-09-17
MOB-0062,QX-BWS-798,2803698,16.5857,13.7897,1987772,710934,3.0,make,deferred,2025-09-09
MOB-0063,QX-FRZ-832,603754,5.0977,4.6639,154013,355032,7.1,make,buy,2026-01-27
MOB-0064,QX-HBC-844,1131351,1.4729,1.2009,1610281,5920151,62.8,review,review,2025-08-15
MOB-0065,QX-PRO-880,3125305,1.7052,1.6528,310616,5927786,22.8,make,buy,2025-11-18
MOB-0066,QX-TIN-898,1162753,1.2129,1.2946,314696,,,buy,deferred,2025-11-14
MOB-0067,QX-PET-902,3079763,4.0610,4.5360,1489838,,,buy,,
MOB-0068,QX-CER-000,2761174,1.0924,0.9111,126369,697016,3.0,make,,
MOB-0069,QX-HBC-004,2894640,3.6840,4.1378,490396,,,buy,deferred,2025-11-08
MOB-0070,QX-DRK-024,2876031,1.0360,1.2572,1796618,,,buy,deferred,2026-02-05
MOB-0071,QX-PET-090,1503397,2.4507,2.6933,1105035,,,buy,,
MOB-0072,QX-FRZ-106,3039524,3.8031,3.8094,2166275,,,buy,deferred,2025-11-11
MOB-0073,QX-CER-134,922483,0.6957,0.6125,1198296,14402596,187.4,review,deferred,2025-09-20
MOB-0074,QX-DRK-176,1275301,0.6605,0.5087,1238176,8156627,76.8,review,review,2025-08-08
MOB-0075,QX-BWS-271,2997750,9.2105,8.9410,727147,2698134,10.8,make,buy,2025-10-23
MOB-0076,QX-HBC-303,2527356,5.3115,5.2868,2197574,88970607,422.4,review,buy,2025-12-27
MOB-0077,QX-CHL-304,1491517,6.5045,6.0021,1871189,3724500,30.0,review,review,2026-02-06
MOB-0078,QX-HBC-307,202206,6.6426,7.4581,1296151,,,buy,buy,2025-12-23
MOB-0079,QX-BWS-334,1813868,14.2326,13.9727,2000946,7698907,50.9,review,,
MOB-0080,QX-CHL-405,624816,3.6203,4.0509,1905205,,,buy,buy,2025-09-21
MOB-0081,QX-DRK-444,855913,4.0523,2.8136,514195,415109,5.8,make,deferred,2025-10-30
