markdown_id,branch_id,business_date,sku,original_price,marked_price,units_marked,units_sold,units_wasted
MD-0000001,B-17,2026-05-04,QX-FRZ-909,2.55,1.61,16,8,8
MD-0000002,B-17,2026-05-04,QX-CHL-136,12.99,7.23,14,9,5
MD-0000003,B-17,2026-05-04,QX-CHL-133,4.67,2.09,9,3,6
MD-0000004,B-17,2026-05-04,QX-CHL-746,3.69,2.05,18,13,5
MD-0000005,B-17,2026-05-04,QX-CHL-215,21.52,12.04,11,7,4
MD-0000006,B-17,2026-05-04,QX-PRO-243,4.93,3.12,8,6,2
MD-0000007,B-17,2026-05-04,QX-FRZ-196,2.06,0.97,11,9,2
MD-0000008,B-17,2026-05-04,QX-CHL-550,8.85,4.05,25,12,13
MD-0000009,B-17,2026-05-04,QX-CHL-016,14.81,7.87,25,21,4
MD-0000010,B-17,2026-05-04,QX-CHL-069,1.10,0.38,14,14,0
MD-0000011,B-17,2026-05-04,QX-CHL-175,7.45,3.04,21,14,7
MD-0000012,B-17,2026-05-04,QX-PRO-137,4.23,1.84,14,13,1
MD-0000013,B-17,2026-05-04,QX-PRO-187,1.48,0.67,14,7,7
MD-0000014,B-17,2026-05-04,QX-CHL-159,8.29,5.19,7,4,3
MD-0000015,B-17,2026-05-04,QX-PRO-243,4.93,2.16,23,17,6
MD-0000016,B-17,2026-05-04,QX-FRZ-273,4.69,1.71,2,1,1
MD-0000017,B-17,2026-05-04,QX-PRO-689,3.39,2.32,5,2,3
MD-0000018,B-08,2026-05-04,QX-CHL-925,4.26,2.56,3,1,2
MD-0000019,B-08,2026-05-04,QX-CHL-012,19.60,12.39,9,3,6
MD-0000020,B-08,2026-05-04,QX-PRO-439,1.35,0.61,1,1,0
MD-0000021,B-08,2026-05-04,QX-FRZ-048,6.70,2.06,6,2,4
MD-0000022,B-08,2026-05-04,QX-CHL-250,8.17,2.20,18,17,1
MD-0000023,B-09,2026-05-04,QX-PRO-267,1.52,0.43,8,7,1
MD-0000024,B-09,2026-05-04,QX-FRZ-897,5.64,2.93,25,16,9
MD-0000025,B-09,2026-05-04,QX-CHL-989,7.39,2.15,22,17,5
MD-0000026,B-09,2026-05-04,QX-CHL-670,2.85,1.69,24,19,5
MD-0000027,B-04,2026-05-04,QX-CHL-341,16.55,7.51,8,4,4
MD-0000028,B-04,2026-05-04,QX-FRZ-310,6.93,4.52,11,10,1
MD-0000029,B-04,2026-05-04,QX-CHL-786,14.38,4.14,5,5,0
MD-0000030,B-02,2026-05-04,QX-CHL-971,5.02,1.49,19,9,10
MD-0000031,B-02,2026-05-04,QX-PRO-022,2.86,1.62,13,8,5
MD-0000032,B-02,2026-05-04,QX-FRZ-096,7.50,3.26,14,14,0
MD-0000033,B-02,2026-05-04,QX-FRZ-953,8.24,5.30,15,11,4
MD-0000034,B-02,2026-05-04,QX-CHL-478,15.50,7.32,17,9,8
MD-0000035,B-02,2026-05-04,QX-PRO-480,4.70,3.11,3,2,1
MD-0000036,B-02,2026-05-04,QX-PRO-185,3.11,0.81,22,10,12
MD-0000037,B-01,2026-05-04,QX-PRO-591,0.65,0.31,20,7,13
MD-0000038,B-01,2026-05-04,QX-CHL-269,1.52,0.79,23,13,10
MD-0000039,B-01,2026-05-04,QX-PRO-964,1.17,0.81,14,7,7
MD-0000040,B-01,2026-05-04,QX-CHL-890,4.34,2.16,14,12,2
MD-0000041,B-01,2026-05-04,QX-CHL-393,4.47,2.66,26,23,3
MD-0000042,B-01,2026-05-04,QX-CHL-581,5.88,2.66,2,1,1
MD-0000043,B-01,2026-05-04,QX-PRO-025,3.40,2.00,9,8,1
MD-0000044,B-01,2026-05-04,QX-PRO-274,4.57,3.08,7,5,2
MD-0000045,B-20,2026-05-04,QX-CHL-971,4.40,2.17,12,6,6
MD-0000046,B-20,2026-05-04,QX-CHL-554,5.60,3.42,25,10,15
MD-0000047,B-20,2026-05-04,QX-FRZ-995,5.72,3.83,10,5,5
MD-0000048,B-20,2026-05-04,QX-CHL-396,12.95,7.61,22,9,13
MD-0000049,B-21,2026-05-04,QX-FRZ-235,3.79,1.99,20,16,4
MD-0000050,B-21,2026-05-04,QX-PRO-746,2.38,0.97,1,0,1
MD-0000051,B-21,2026-05-04,QX-PRO-653,1.40,0.82,24,9,15
MD-0000052,B-21,2026-05-04,QX-FRZ-847,6.53,3.38,24,21,3
MD-0000053,B-21,2026-05-04,QX-PRO-817,1.28,0.54,16,11,5
MD-0000054,B-21,2026-05-04,QX-CHL-426,8.70,5.28,18,13,5
MD-0000055,B-21,2026-05-04,QX-FRZ-112,1.82,0.96,13,7,6
MD-0000056,B-21,2026-05-04,QX-CHL-038,4.34,2.20,24,24,0
MD-0000057,B-21,2026-05-04,QX-FRZ-432,8.51,5.52,25,9,16
MD-0000058,B-21,2026-05-04,QX-CHL-588,8.09,3.35,23,19,4
MD-0000059,B-21,2026-05-04,QX-FRZ-678,8.57,4.00,21,11,10
MD-0000060,B-21,2026-05-04,QX-FRZ-839,8.79,3.91,10,6,4
MD-0000061,B-21,2026-05-04,QX-CHL-756,6.21,2.20,18,12,6
