shop_no,trade_date,gross_eur,transactions,staff_hours
4100,2026-05-04,16156.84,701,326.1
4107,2026-05-04,69969.77,984,209.8
4114,2026-05-04,68743.43,589,495.3
4121,2026-05-04,47644.68,2106,466.3
4128,2026-05-04,23715.31,575,113.7
4135,2026-05-04,61482.10,1158,90.4
4142,2026-05-04,63305.90,2147,517.6
4149,2026-05-04,20551.25,738,414.6
4156,2026-05-04,63114.25,2177,307.7
4163,2026-05-04,49156.35,2211,561.0
4170,2026-05-04,20708.25,1968,395.0
4100,2026-05-05,13509.75,1284,489.0
4107,2026-05-05,17756.17,1342,463.2
4114,2026-05-05,21957.46,383,348.6
4121,2026-05-05,45864.95,1376,394.0
4128,2026-05-05,11191.15,1918,576.5
4135,2026-05-05,66251.38,632,154.1
4142,2026-05-05,29028.61,1090,433.1
4149,2026-05-05,60357.35,420,484.5
4156,2026-05-05,28658.56,492,455.2
4163,2026-05-05,57366.10,693,491.8
4170,2026-05-05,68066.42,1280,549.3
4100,2026-05-06,52616.77,2168,569.9
4107,2026-05-06,9493.84,1282,316.0
4114,2026-05-06,39953.69,1289,171.0
4121,2026-05-06,22178.29,1008,378.1
4128,2026-05-06,65280.45,1822,244.7
4135,2026-05-06,18902.96,944,364.1
4142,2026-05-06,37580.42,1185,231.2
4149,2026-05-06,53968.48,917,332.1
4156,2026-05-06,49081.46,1372,527.3
4163,2026-05-06,48100.71,419,379.5
4170,2026-05-06,32593.80,1194,267.8
