sku,zone_id,elasticity,std_error,observations,r_squared,model_run_date
QX-CER-002,PZ-METRO,-2.143,0.172,5449,0.489,2026-03-25
QX-CER-002,PZ-URBAN,-1.542,0.111,1889,0.622,2026-03-15
QX-CER-002,PZ-CORE,-1.572,0.088,6046,0.599,2026-03-23
QX-CER-002,PZ-VALUE,-1.414,0.116,4635,0.851,2026-03-28
QX-CER-002,PZ-REMOTE,-1.913,0.104,4380,0.526,2026-02-27
QX-TIN-032,PZ-METRO,-1.691,0.115,8188,0.738,2026-03-03
QX-TIN-032,PZ-URBAN,-0.692,1.449,16,0.054,2026-02-26
QX-TIN-032,PZ-CORE,-2.584,0.094,8272,0.653,2026-03-19
QX-TIN-032,PZ-VALUE,-1.218,0.094,6583,0.905,2026-02-28
QX-TIN-032,PZ-REMOTE,-1.378,2.303,37,0.198,2026-03-04
QX-FRZ-112,PZ-URBAN,-2.496,0.178,8650,0.559,2026-02-26
QX-FRZ-112,PZ-CORE,-2.555,0.150,5891,0.598,2026-03-06
QX-FRZ-112,PZ-VALUE,-1.258,0.202,7353,0.870,2026-03-03
QX-FRZ-112,PZ-REMOTE,-1.739,0.092,954,0.542,2026-03-03
QX-DRK-200,PZ-METRO,-2.229,0.160,7063,0.677,2026-03-11
QX-DRK-200,PZ-URBAN,-2.531,0.211,1578,0.538,2026-03-17
QX-DRK-200,PZ-CORE,-1.408,1.467,23,0.030,2026-02-22
QX-DRK-200,PZ-VALUE,-0.827,1.444,22,0.195,2026-03-22
QX-DRK-200,PZ-REMOTE,-1.857,0.102,9153,0.731,2026-03-23
QX-BWS-201,PZ-METRO,-2.736,0.034,8405,0.735,2026-02-28
QX-BWS-201,PZ-URBAN,-2.838,0.061,7338,0.802,2026-03-12
QX-BWS-201,PZ-CORE,-2.597,0.199,5412,0.555,2026-03-27
QX-BWS-201,PZ-VALUE,-0.576,0.190,2086,0.716,2026-03-24
QX-BWS-201,PZ-REMOTE,-2.118,0.146,7106,0.864,2026-03-11
QX-PRO-202,PZ-URBAN,-3.145,0.193,3715,0.528,2026-03-06
QX-PRO-202,PZ-VALUE,-1.319,0.072,6907,0.809,2026-03-17
QX-PRO-202,PZ-REMOTE,-0.540,0.117,8982,0.891,2026-03-10
QX-PRO-203,PZ-METRO,-0.938,0.090,713,0.548,2026-03-13
QX-PRO-203,PZ-URBAN,-2.728,0.187,5305,0.557,2026-03-06
QX-PRO-203,PZ-CORE,-1.933,0.111,503,0.471,2026-03-19
QX-PRO-203,PZ-VALUE,-1.184,0.053,4336,0.818,2026-03-10
QX-PRO-203,PZ-REMOTE,-0.465,0.160,2797,0.689,2026-03-02
QX-TIN-208,PZ-METRO,-1.847,0.205,5356,0.904,2026-03-09
QX-TIN-208,PZ-URBAN,-2.840,0.106,3674,0.680,2026-02-21
QX-TIN-208,PZ-CORE,-1.288,0.081,8835,0.777,2026-03-11
QX-TIN-208,PZ-VALUE,-3.063,0.049,7197,0.847,2026-02-22
QX-PRO-210,PZ-METRO,-0.690,0.174,7135,0.565,2026-03-18
QX-PRO-210,PZ-URBAN,-1.108,0.151,5406,0.704,2026-02-28
QX-PRO-210,PZ-CORE,-2.476,0.171,3915,0.890,2026-03-13
QX-PRO-210,PZ-VALUE,-2.751,0.136,3563,0.692,2026-03-15
QX-PRO-210,PZ-REMOTE,-2.952,0.099,2213,0.494,2026-03-19
QX-HHD-211,PZ-METRO,-2.902,0.083,1860,0.505,2026-03-02
QX-HHD-211,PZ-URBAN,-2.108,0.134,8458,0.469,2026-03-17
QX-HHD-211,PZ-CORE,-2.950,0.130,684,0.720,2026-03-13
QX-HHD-211,PZ-VALUE,-0.939,0.040,6153,0.733,2026-02-22
QX-HHD-211,PZ-REMOTE,-1.283,0.094,1051,0.494,2026-02-28
QX-CHL-215,PZ-METRO,-1.284,1.334,15,0.103,2026-03-15
QX-CHL-215,PZ-URBAN,-1.340,0.056,4452,0.562,2026-03-03
QX-CHL-215,PZ-CORE,-2.648,0.034,1097,0.841,2026-03-09
QX-CHL-215,PZ-VALUE,-2.630,0.736,25,0.126,2026-03-01
QX-CHL-215,PZ-REMOTE,-3.163,0.111,6613,0.616,2026-03-29
QX-HBC-219,PZ-METRO,-2.568,0.143,2021,0.521,2026-03-25
QX-HBC-219,PZ-URBAN,-2.227,0.090,9060,0.851,2026-03-08
QX-HBC-219,PZ-VALUE,-3.121,0.161,4288,0.730,2026-03-13
QX-HBC-219,PZ-REMOTE,-1.145,0.201,6020,0.709,2026-03-17
QX-TIN-228,PZ-METRO,-2.200,0.055,675,0.828,2026-03-03
QX-TIN-228,PZ-URBAN,-2.680,0.143,2230,0.667,2026-03-22
QX-TIN-228,PZ-CORE,-0.805,0.094,6735,0.622,2026-03-12
QX-TIN-228,PZ-VALUE,-1.821,0.174,9374,0.727,2026-02-22
QX-TIN-228,PZ-REMOTE,-1.271,0.080,2837,0.454,2026-02-28
