sku,valid_from,valid_to,price
QX-CER-001,2024-04-09,2025-07-16,2.56
QX-CER-001,2025-07-16,2025-09-02,2.76
QX-CER-001,2025-09-02,2025-09-02,2.84
QX-CER-001,2025-09-02,2026-03-29,3.03
QX-CER-001,2026-03-29,2026-03-29,3.19
QX-CER-001,2026-03-29,,2.85
QX-CER-002,2025-04-12,2026-01-17,1.75
QX-CER-002,2026-01-17,2026-01-17,1.79
QX-CER-002,2026-01-17,2026-01-17,1.86
QX-CER-002,2026-01-17,2026-01-17,1.94
QX-CER-002,2026-01-17,,2.10
QX-DRK-014,2024-07-06,2026-02-24,1.90
QX-DRK-014,2026-02-24,,2.15
QX-DRK-021,2024-07-04,2026-03-30,0.79
QX-DRK-021,2026-03-30,2026-03-30,0.85
QX-DRK-021,2026-03-30,2026-03-30,0.89
QX-DRK-021,2026-03-30,2026-03-30,0.94
QX-DRK-021,2026-03-30,2026-03-30,1.02
QX-DRK-021,2026-03-30,,0.85
QX-TIN-032,2025-01-06,2025-12-05,0.83
QX-TIN-032,2025-12-05,2025-12-06,0.85
QX-TIN-032,2025-12-06,2026-02-28,0.90
QX-TIN-032,2026-02-28,2026-02-28,0.97
QX-TIN-032,2026-02-28,2026-02-28,1.01
QX-TIN-032,2026-02-28,2026-02-28,1.05
QX-TIN-032,2026-02-28,,0.95
QX-TIN-045,2024-12-06,2025-07-26,0.97
QX-TIN-045,2025-07-26,2026-03-05,1.01
QX-TIN-045,2026-03-05,2026-03-05,1.03
QX-TIN-045,2026-03-05,2026-03-05,1.11
QX-TIN-045,2026-03-05,2026-03-05,1.15
QX-TIN-045,2026-03-05,,1.05
QX-DRY-184,2024-09-06,2025-09-04,1.70
QX-DRY-184,2025-09-04,2025-12-02,1.81
QX-DRY-184,2025-12-02,2026-01-30,1.93
QX-DRY-184,2026-01-30,2026-03-15,2.03
QX-DRY-184,2026-03-15,2026-03-23,2.10
QX-DRY-184,2026-03-23,,1.90
QX-CHL-007,2024-01-08,2025-09-03,2.00
QX-CHL-007,2025-09-03,2025-09-03,2.15
QX-CHL-007,2025-09-03,,2.40
QX-FRZ-112,2024-11-10,2025-07-24,1.48
QX-FRZ-112,2025-07-24,2026-01-24,1.55
QX-FRZ-112,2026-01-24,2026-01-24,1.60
QX-FRZ-112,2026-01-24,2026-01-24,1.73
QX-FRZ-112,2026-01-24,2026-01-24,1.82
QX-FRZ-112,2026-01-24,,1.75
QX-DRK-200,2024-05-22,2025-10-24,4.68
QX-DRK-200,2025-10-24,2026-01-12,4.89
QX-DRK-200,2026-01-12,2026-02-26,5.18
QX-DRK-200,2026-02-26,2026-02-27,5.52
QX-DRK-200,2026-02-27,2026-02-27,5.89
QX-DRK-200,2026-02-27,,5.44
QX-BWS-201,2024-03-28,2026-03-06,11.78
QX-BWS-201,2026-03-06,2026-03-06,12.82
QX-BWS-201,2026-03-06,,12.47
QX-PRO-202,2024-06-27,2025-12-12,1.29
QX-PRO-202,2025-12-12,2025-12-12,1.37
QX-PRO-202,2025-12-12,2025-12-12,1.40
QX-PRO-202,2025-12-12,2025-12-12,1.49
QX-PRO-202,2025-12-12,2025-12-24,1.51
QX-PRO-202,2025-12-24,,1.47
QX-PRO-203,2023-12-20,2025-11-22,2.53
QX-PRO-203,2025-11-22,2025-11-22,2.68
QX-PRO-203,2025-11-22,,2.98
QX-DRK-204,2023-11-28,2025-08-09,1.28
QX-DRK-204,2025-08-09,2025-09-30,1.35
QX-DRK-204,2025-09-30,2026-02-25,1.40
QX-DRK-204,2026-02-25,2026-02-25,1.48
QX-DRK-204,2026-02-25,,1.38
QX-BWS-205,2025-04-09,2025-12-24,15.76
QX-BWS-205,2025-12-24,2025-12-24,16.52
QX-BWS-205,2025-12-24,2026-02-09,17.37
QX-BWS-205,2026-02-09,2026-02-09,18.57
QX-BWS-205,2026-02-09,,19.03
QX-DRK-206,2024-08-28,2025-11-11,1.54
QX-DRK-206,2025-11-11,2026-03-10,1.60
QX-DRK-206,2026-03-10,2026-03-10,1.70
QX-DRK-206,2026-03-10,2026-03-10,1.84
QX-DRK-206,2026-03-10,2026-03-10,1.97
QX-DRK-206,2026-03-10,2026-03-10,2.02
QX-DRK-206,2026-03-10,,1.81
QX-TIN-207,2024-10-04,2025-10-13,0.55
QX-TIN-207,2025-10-13,2025-10-13,0.58
QX-TIN-207,2025-10-13,2025-10-13,0.61
QX-TIN-207,2025-10-13,,0.63
QX-TIN-208,2025-01-11,2026-01-18,1.12
QX-TIN-208,2026-01-18,2026-01-18,1.22
QX-TIN-208,2026-01-18,,1.28
QX-CHL-209,2025-03-16,2025-12-05,1.54
QX-CHL-209,2025-12-05,2025-12-05,1.64
QX-CHL-209,2025-12-05,2025-12-05,1.73
QX-CHL-209,2025-12-05,2025-12-20,1.78
QX-CHL-209,2025-12-20,2025-12-20,1.82
QX-CHL-209,2025-12-20,,1.77
QX-PRO-210,2024-11-06,2025-10-06,1.85
QX-PRO-210,2025-10-06,,2.25
QX-HHD-211,2024-12-06,2025-07-03,8.25
QX-HHD-211,2025-07-03,,9.68
QX-TIN-212,2024-03-31,2025-09-20,2.21
QX-TIN-212,2025-09-20,2025-09-20,2.23
QX-TIN-212,2025-09-20,,2.38
QX-CHL-213,2024-04-25,2026-03-21,17.61
QX-CHL-213,2026-03-21,,20.01
QX-FRZ-214,2024-01-22,2025-10-05,1.38
QX-FRZ-214,2025-10-05,,1.56
QX-CHL-215,2024-03-29,2025-07-18,18.86
QX-CHL-215,2025-07-18,2026-02-06,19.70
QX-CHL-215,2026-02-06,2026-02-06,21.25
QX-CHL-215,2026-02-06,2026-02-24,23.06
QX-CHL-215,2026-02-24,2026-02-24,23.74
QX-CHL-215,2026-02-24,,21.52
QX-BAK-216,2024-11-04,2025-08-19,1.32
QX-BAK-216,2025-08-19,2026-02-08,1.38
QX-BAK-216,2026-02-08,,1.59
QX-PRO-217,2025-05-21,2026-01-24,1.14
QX-PRO-217,2026-01-24,2026-01-24,1.18
QX-PRO-217,2026-01-24,2026-01-24,1.21
QX-PRO-217,2026-01-24,2026-01-24,1.24
QX-PRO-217,2026-01-24,,1.30
QX-FRZ-218,2024-06-13,2025-10-11,3.76
QX-FRZ-218,2025-10-11,2026-03-04,3.94
QX-FRZ-218,2026-03-04,2026-03-04,4.29
QX-FRZ-218,2026-03-04,2026-03-04,4.65
QX-FRZ-218,2026-03-04,,4.02
QX-HBC-219,2024-08-07,2026-03-13,2.40
QX-HBC-219,2026-03-13,2026-03-13,2.45
QX-HBC-219,2026-03-13,2026-03-13,2.53
QX-HBC-219,2026-03-13,2026-03-13,2.66
QX-HBC-219,2026-03-13,,2.69
QX-HBC-220,2023-11-16,2025-11-12,2.52
QX-HBC-220,2025-11-12,2026-03-18,2.71
QX-HBC-220,2026-03-18,2026-03-18,2.92
QX-HBC-220,2026-03-18,2026-03-18,3.07
QX-HBC-220,2026-03-18,2026-03-18,3.22
QX-HBC-220,2026-03-18,,2.95
QX-BWS-221,2024-03-02,2025-12-03,8.36
QX-BWS-221,2025-12-03,2025-12-03,8.50
QX-BWS-221,2025-12-03,,9.43
QX-BWS-222,2024-09-04,2026-02-03,9.51
QX-BWS-222,2026-02-03,2026-02-03,9.98
QX-BWS-222,2026-02-03,2026-02-03,10.18
QX-BWS-222,2026-02-03,2026-02-03,11.04
QX-BWS-222,2026-02-03,,11.57
QX-BAK-223,2024-07-07,2025-12-01,3.21
QX-BAK-223,2025-12-01,2026-03-04,3.30
QX-BAK-223,2026-03-04,2026-03-04,3.57
QX-BAK-223,2026-03-04,,3.52
QX-DRY-224,2024-01-18,2025-11-14,3.65
QX-DRY-224,2025-11-14,2025-11-14,3.84
QX-DRY-224,2025-11-14,2025-11-14,4.07
QX-DRY-224,2025-11-14,2025-12-14,4.30
QX-DRY-224,2025-12-14,2025-12-14,4.56
QX-DRY-224,2025-12-14,2025-12-14,4.74
QX-DRY-224,2025-12-14,,4.16
QX-HHD-225,2023-10-28,2026-02-14,0.85
QX-HHD-225,2026-02-14,2026-02-14,0.89
QX-HHD-225,2026-02-14,2026-02-14,0.96
QX-HHD-225,2026-02-14,2026-02-14,1.04
QX-HHD-225,2026-02-14,2026-02-14,1.05
QX-HHD-225,2026-02-14,,0.92
QX-PET-226,2024-08-16,2025-07-01,4.79
QX-PET-226,2025-07-01,2025-10-05,5.08
QX-PET-226,2025-10-05,2025-11-09,5.19
QX-PET-226,2025-11-09,2025-12-09,5.51
QX-PET-226,2025-12-09,,5.46
QX-CER-227,2024-11-27,2025-08-16,1.30
QX-CER-227,2025-08-16,2026-02-17,1.32
QX-CER-227,2026-02-17,2026-02-17,1.43
QX-CER-227,2026-02-17,,1.55
QX-TIN-228,2025-02-01,2025-09-26,1.78
QX-TIN-228,2025-09-26,2025-09-26,1.84
QX-TIN-228,2025-09-26,,1.96
QX-TIN-229,2024-07-12,2025-11-06,1.79
QX-TIN-229,2025-11-06,2025-11-06,1.91
QX-TIN-229,2025-11-06,,1.93
QX-DRK-230,2024-11-02,2025-10-03,0.87
QX-DRK-230,2025-10-03,2025-10-03,0.94
QX-DRK-230,2025-10-03,,0.92
QX-FRZ-231,2024-11-28,2025-08-20,2.94
QX-FRZ-231,2025-08-20,2025-10-21,3.13
QX-FRZ-231,2025-10-21,2025-10-21,3.33
QX-FRZ-231,2025-10-21,2026-02-26,3.50
QX-FRZ-231,2026-02-26,,3.21
QX-BAK-232,2024-12-13,2025-11-12,1.09
QX-BAK-232,2025-11-12,2026-02-06,1.15
QX-BAK-232,2026-02-06,,1.15
QX-BAK-233,2024-02-21,2026-03-13,5.88
QX-BAK-233,2026-03-13,2026-03-13,6.32
QX-BAK-233,2026-03-13,2026-03-13,6.54
QX-BAK-233,2026-03-13,2026-03-13,7.07
QX-BAK-233,2026-03-13,2026-03-18,7.36
QX-BAK-233,2026-03-18,,6.34
QX-DRK-234,2025-04-07,2026-02-23,1.15
QX-DRK-234,2026-02-23,2026-03-31,1.17
QX-DRK-234,2026-03-31,2026-03-31,1.19
QX-DRK-234,2026-03-31,,1.20
QX-FRZ-235,2024-01-27,2025-07-11,3.46
QX-FRZ-235,2025-07-11,2025-09-30,3.76
QX-FRZ-235,2025-09-30,2026-03-03,3.93
QX-FRZ-235,2026-03-03,,3.64
QX-PRO-236,2024-07-12,2025-07-27,2.47
QX-PRO-236,2025-07-27,2026-01-04,2.54
QX-PRO-236,2026-01-04,2026-01-04,2.77
QX-PRO-236,2026-01-04,2026-03-20,2.90
QX-PRO-236,2026-03-20,2026-03-20,3.12
QX-PRO-236,2026-03-20,,2.69
QX-PRO-237,2024-11-18,2026-03-23,4.85
QX-PRO-237,2026-03-23,,5.21
QX-CHL-238,2024-01-17,2025-12-20,5.15
QX-CHL-238,2025-12-20,2025-12-20,5.54
QX-CHL-238,2025-12-20,2025-12-20,6.00
QX-CHL-238,2025-12-20,2025-12-20,6.45
QX-CHL-238,2025-12-20,2026-03-02,6.89
QX-CHL-238,2026-03-02,,5.68
QX-BWS-239,2024-12-07,2025-11-20,23.02
QX-BWS-239,2025-11-20,2025-12-27,24.26
QX-BWS-239,2025-12-27,2025-12-27,26.32
QX-BWS-239,2025-12-27,2025-12-27,27.40
QX-BWS-239,2025-12-27,2026-01-05,29.20
QX-BWS-239,2026-01-05,,26.62
QX-HHD-240,2023-11-07,2026-01-24,8.49
QX-HHD-240,2026-01-24,2026-01-24,9.19
