sku,name,category,unit,list_price,sold_by,brand_tier,own_label,kvi,commodity_id,origin_country_id,made_in_house,chilled
QX-CER-001,"Oat Crunch","Cereal","750 g",2.85,each,branded,false,false,CMD-WHT,BR,false,false
QX-CER-002,"Bran Flakes","Cereal","500 g",2.10,each,value,true,true,CMD-WHT,BR,false,false
QX-DRK-014,"Orchard Juice","Drinks","1 L",2.15,each,core,true,false,CMD-SUN,BR,false,true
QX-DRK-021,"Still Water","Drinks","2 L",0.85,each,value,true,false,CMD-SUN,NL,false,false
QX-TIN-032,"Chopped Tomatoes","Tinned","400 g",0.95,each,branded,false,false,CMD-ALU,BR,false,false
QX-TIN-045,"Butter Beans","Tinned","400 g",1.05,each,value,true,false,CMD-ALU,BR,true,false
QX-DRY-184,"Long Grain Rice","Dry goods","1 kg",1.90,each,branded,false,true,CMD-WHT,BR,false,false
QX-CHL-007,"Salted Butter","Chilled","250 g",2.40,each,branded,false,false,CMD-DRY,ES,false,true
QX-FRZ-112,"Garden Peas","Frozen","900 g",1.75,each,branded,false,false,CMD-DRY,BR,false,true
QX-DRK-200,"Choice Flakes","Drinks","750 g",5.44,each,core,true,false,CMD-SUN,KE,true,false
QX-BWS-201,"Harvest Juice","Beer wine spirits","750 g",12.47,each,core,true,true,CMD-GAS,BR,false,false
QX-PRO-202,"Cottage Loaf","Produce","per kg",1.47,kg,finest,true,false,CMD-DSL,BR,true,true
QX-PRO-203,"Hearty Rice","Produce","2 L",2.98,each,finest,true,false,CMD-DSL,CR,false,true
QX-DRK-204,"Fresh Tea","Drinks","500 g",1.38,each,branded,false,false,CMD-SUN,BR,false,false
QX-BWS-205,"Meadow Tea","Beer wine spirits","400 g",19.03,each,branded,false,false,CMD-GAS,BR,false,false
QX-DRK-206,"Golden Coffee","Drinks","400 g",1.81,each,value,true,false,CMD-SUN,BR,true,false
QX-TIN-207,"Orchard Cleaner","Tinned","2 L",0.63,each,branded,false,false,CMD-ALU,BR,false,false
QX-TIN-208,"Selection Apples","Tinned","250 g",1.28,each,branded,false,true,CMD-ALU,MA,false,false
QX-CHL-209,"Reserve Pasta","Chilled","250 g",1.77,each,branded,false,false,CMD-DRY,BR,false,true
QX-PRO-210,"Meadow Cleaner","Produce","500 g",2.25,each,core,true,false,CMD-DSL,DK,false,true
QX-HHD-211,"Golden Coffee","Household","1 L",9.68,each,branded,false,false,CMD-BRD,CR,false,false
QX-TIN-212,"Everyday Butter","Tinned","2 L",2.38,each,core,true,false,CMD-ALU,BR,false,false
QX-CHL-213,"Choice Shampoo","Chilled","per kg",20.01,kg,core,true,false,CMD-DRY,MA,false,true
QX-FRZ-214,"Fresh Juice","Frozen","500 ml",1.56,each,branded,false,false,CMD-DRY,CR,false,true
QX-CHL-215,"Crunch Cleaner","Chilled","per kg",21.52,kg,core,true,false,CMD-DRY,DK,false,true
QX-BAK-216,"Selection Biscuits","Bakery","1 L",1.59,each,core,true,false,CMD-WHT,BR,false,false
QX-PRO-217,"Hearty Peas","Produce","per kg",1.30,kg,branded,false,false,CMD-DSL,BR,false,true
QX-FRZ-218,"Fresh Sauce","Frozen","250 g",4.02,each,finest,true,false,CMD-DRY,BR,false,true
QX-HBC-219,"Crunch Pasta","Health and beauty","6 pack",2.69,each,branded,false,false,CMD-PLM,PL,false,false
QX-HBC-220,"Classic Cheese","Health and beauty","2 L",2.95,each,finest,true,false,CMD-PLM,VN,false,false
QX-BWS-221,"Original Apples","Beer wine spirits","1 L",9.43,each,value,true,false,CMD-GAS,MA,false,false
QX-BWS-222,"Golden Rice","Beer wine spirits","250 g",11.57,each,branded,false,false,CMD-GAS,BR,false,false
QX-BAK-223,"Everyday Biscuits","Bakery","2 L",3.52,each,branded,false,false,CMD-WHT,GH,false,false
QX-DRY-224,"Reserve Cheese","Dry goods","500 ml",4.16,each,branded,false,false,CMD-WHT,BR,false,false
QX-HHD-225,"Meadow Chicken","Household","500 g",0.92,each,branded,false,false,CMD-BRD,BR,false,false
QX-PET-226,"Reserve Biscuits","Pet","500 ml",5.46,each,branded,false,false,CMD-WHT,BR,false,false
QX-CER-227,"Selection Chicken","Cereal","2 L",1.55,each,value,true,false,CMD-WHT,BR,false,false
