qubix_sku,meridian_article,match_confidence,matched_on
QX-CER-001,AV-88007,0.70,2025-04-06
QX-CER-002,AV-88014,0.71,2024-07-24
QX-DRK-014,AV-88021,0.77,2025-02-13
QX-DRK-021,AV-88028,0.68,2025-03-23
QX-TIN-045,AV-88035,0.99,2025-02-19
QX-DRY-184,AV-88042,0.91,2025-03-11
QX-CHL-007,AV-88049,0.63,2024-11-15
QX-FRZ-112,AV-88056,0.65,2024-12-29
QX-CHL-200,AV-88063,0.91,2025-10-02
QX-DRY-201,AV-88070,0.75,2026-02-28
QX-BAK-202,AV-88077,0.97,2024-12-11
QX-BWS-204,AV-88084,0.76,2024-07-18
QX-BAK-205,AV-88091,0.86,2024-10-01
QX-PET-206,AV-88098,0.89,2024-07-03
QX-CER-207,AV-88105,0.86,2025-06-06
QX-CER-208,AV-88112,0.89,2025-05-12
QX-BWS-209,AV-88119,0.65,2025-05-17
QX-FRZ-211,AV-88126,0.85,2024-06-13
QX-PET-212,AV-88133,0.68,2024-11-22
QX-PRO-213,AV-88140,0.86,2025-05-24
QX-FRZ-214,AV-88147,0.97,2024-12-08
QX-CHL-215,AV-88154,0.73,2024-07-29
QX-CHL-216,AV-88161,0.77,2025-04-01
QX-PET-217,AV-88168,0.78,2025-07-10
QX-PRO-218,AV-88175,0.98,2024-07-12
QX-TIN-219,AV-88182,0.74,2024-09-13
QX-HHD-220,AV-88189,0.75,2025-03-03
QX-DRK-221,AV-88196,0.80,2025-08-03
QX-CER-222,AV-88203,0.92,2024-09-26
QX-TIN-223,AV-88196,0.90,2024-12-05
QX-DRK-224,AV-88210,0.96,2025-01-16
QX-FRZ-225,AV-88217,0.87,2024-05-20
QX-CER-226,AV-88224,0.77,2026-02-26
QX-TIN-227,AV-88231,0.69,2025-04-09
QX-DRY-228,AV-88238,0.65,2024-09-18
QX-CHL-230,AV-88231,0.63,2025-09-13
QX-CHL-231,AV-88245,0.69,2025-05-11
QX-BAK-233,AV-88252,0.88,2025-02-13
QX-HHD-235,AV-88259,0.78,2024-12-06
QX-HHD-237,AV-88266,0.81,2024-11-22
QX-BWS-238,AV-88273,0.74,2025-12-14
QX-FRZ-239,AV-88280,0.88,2026-01-30
QX-HBC-240,AV-88287,0.82,2025-10-05
QX-TIN-241,AV-88294,0.69,2024-12-22
QX-PET-242,AV-88301,0.80,2024-07-07
QX-PRO-244,AV-88308,0.98,2024-11-09
QX-HBC-245,AV-88315,0.96,2024-08-04
QX-BWS-246,AV-88308,0.67,2024-05-22
QX-HHD-247,AV-88322,0.62,2024-11-27
QX-CER-248,AV-88315,0.74,2025-09-14
QX-FRZ-249,AV-88329,0.92,2025-01-11
QX-DRY-250,AV-88336,0.94,2026-01-17
QX-FRZ-251,AV-88343,0.85,2025-08-02
QX-BWS-253,AV-88350,0.97,2025-04-17
QX-DRY-254,AV-88357,0.73,2024-10-13
QX-HHD-255,AV-88364,0.71,2024-05-09
QX-CER-256,AV-88371,0.97,2025-09-15
QX-CHL-257,AV-88378,0.80,2025-09-11
QX-TIN-258,AV-88385,0.63,2024-12-27
QX-HHD-260,AV-88378,0.66,2024-09-09
QX-PRO-262,AV-88378,0.68,2025-01-01
QX-BWS-263,AV-88392,0.67,2024-07-19
QX-DRY-264,AV-88399,0.71,2025-01-29
QX-HBC-265,AV-88406,0.63,2025-03-04
QX-HBC-266,AV-88413,0.74,2024-07-03
QX-HBC-268,AV-88420,0.97,2025-09-02
QX-BWS-269,AV-88427,0.80,2024-05-02
QX-TIN-270,AV-88434,0.68,2024-06-08
QX-TIN-271,AV-88441,0.97,2025-05-07
QX-FRZ-273,AV-88448,0.96,2025-05-17
QX-CER-275,AV-88455,0.84,2025-08-28
QX-DRY-276,AV-88462,0.81,2025-01-14
QX-PET-277,AV-88469,0.86,2025-07-20
QX-DRY-278,AV-88476,0.94,2025-06-27
QX-DRY-279,AV-88483,0.83,2025-10-07
QX-DRK-280,AV-88490,0.78,2025-12-30
QX-CHL-281,AV-88497,0.77,2025-03-27
QX-CER-282,AV-88504,0.95,2025-02-21
QX-HBC-283,AV-88511,0.64,2024-08-15
QX-HBC-284,AV-88518,0.80,2025-02-22
QX-HBC-286,AV-88525,0.90,2024-05-11
QX-CHL-287,AV-88532,0.95,2025-07-17
QX-TIN-288,AV-88539,0.71,2024-09-13
QX-PRO-291,AV-88546,0.95,2025-04-23
QX-BWS-292,AV-88553,0.97,2025-04-19
QX-DRY-293,AV-88560,0.98,2025-05-14
QX-BAK-294,AV-88567,0.76,2024-08-27
QX-BAK-295,AV-88574,0.95,2025-10-08
QX-DRK-296,AV-88581,0.93,2025-06-08
QX-PET-298,AV-88588,0.96,2024-07-20
QX-BAK-299,AV-88595,0.84,2024-05-23
QX-BWS-301,AV-88602,0.94,2025-05-25
QX-BWS-302,AV-88609,0.74,2025-06-13
QX-DRY-304,AV-88616,0.82,2025-03-26
QX-FRZ-305,AV-88623,0.89,2025-02-12
QX-FRZ-306,AV-88630,0.84,2025-08-12
QX-BAK-307,AV-88637,0.66,2025-11-19
QX-DRY-308,AV-88644,0.69,2026-01-02
QX-DRY-309,AV-88651,0.73,2025-06-01
QX-HHD-310,AV-88658,0.76,2025-11-13
QX-DRY-312,AV-88665,0.64,2024-10-10
QX-TIN-313,AV-88672,0.76,2024-06-02
QX-HHD-315,AV-88679,0.93,2025-06-27
QX-DRY-316,AV-88686,0.73,2024-10-15
QX-FRZ-317,AV-88693,0.89,2024-09-13
QX-HHD-318,AV-88700,0.69,2024-10-20
QX-HBC-320,AV-88707,0.85,2025-03-16
QX-CER-321,AV-88714,0.94,2025-11-10
QX-CHL-322,AV-88721,0.90,2024-08-09
QX-CER-323,AV-88728,0.80,2025-12-06
QX-BWS-324,AV-88735,0.78,2024-05-08
QX-TIN-325,AV-88742,0.74,2025-12-23
QX-CER-326,AV-88749,0.63,2025-05-08
QX-BWS-327,AV-88756,0.99,2025-10-05
QX-HHD-328,AV-88763,0.70,2025-11-24
QX-FRZ-329,AV-88770,0.95,2025-05-02
QX-FRZ-330,AV-88777,0.67,2024-11-16
QX-HBC-332,AV-88784,0.93,2024-08-23
QX-PET-333,AV-88791,0.76,2024-12-27
QX-BAK-334,AV-88798,0.76,2025-08-20
QX-BAK-335,AV-88805,0.89,2024-09-30
QX-CER-336,AV-88812,0.63,2025-05-17
QX-HHD-337,AV-88819,0.79,2026-01-08
QX-CER-338,AV-88826,0.94,2025-10-19
QX-DRY-339,AV-88833,0.72,2025-04-09
QX-BAK-340,AV-88840,0.65,2024-10-21
QX-BAK-342,AV-88847,0.92,2025-07-20
QX-TIN-345,AV-88854,0.76,2024-09-15
QX-HHD-346,AV-88861,0.70,2025-05-30
QX-TIN-347,AV-88868,0.70,2024-10-02
QX-CER-348,AV-88861,0.65,2025-01-31
QX-FRZ-350,AV-88875,0.64,2025-09-17
QX-DRY-351,AV-88868,0.83,2025-05-29
QX-PRO-354,AV-88882,0.68,2025-07-18
QX-PET-355,AV-88889,0.74,2025-05-15
QX-CHL-358,AV-88896,0.76,2025-09-05
QX-CHL-359,AV-88903,0.68,2025-01-07
QX-BWS-360,AV-88910,0.96,2024-11-05
QX-DRK-363,AV-88917,0.65,2024-11-02
QX-FRZ-364,AV-88924,0.91,2025-05-15
QX-HBC-365,AV-88931,0.68,2024-07-12
QX-BWS-366,AV-88938,0.80,2025-04-19
QX-BAK-367,AV-88945,0.71,2024-12-22
QX-DRK-368,AV-88952,0.75,2025-09-16
QX-HHD-369,AV-88959,0.95,2025-06-08
QX-PRO-370,AV-88966,0.70,2024-07-31
QX-TIN-371,AV-88973,0.63,2025-06-25
QX-BWS-372,AV-88980,0.89,2025-10-26
QX-DRY-373,AV-88987,0.69,2025-11-26
QX-PET-374,AV-88994,0.78,2025-01-16
QX-CHL-375,AV-89001,0.92,2024-10-28
QX-HBC-376,AV-89008,0.85,2025-08-08
QX-TIN-377,AV-89015,0.97,2025-01-13
QX-HBC-378,AV-89022,0.91,2025-09-18
QX-CER-379,AV-89029,0.73,2026-01-23
QX-HHD-380,AV-89036,0.87,2025-03-15
QX-HBC-381,AV-89043,0.79,2024-07-24
QX-TIN-382,AV-89050,0.67,2026-01-05
QX-BWS-383,AV-89057,0.99,2025-07-18
QX-CHL-384,AV-89064,0.87,2024-09-15
QX-PET-385,AV-89071,0.81,2026-01-09
QX-BAK-386,AV-89078,0.72,2024-09-12
QX-DRK-387,AV-89085,0.89,2025-08-20
QX-CHL-388,AV-89092,0.71,2024-08-12
QX-FRZ-389,AV-89099,0.78,2025-08-28
QX-BWS-391,AV-89106,0.93,2024-05-09
QX-FRZ-393,AV-89113,0.90,2026-02-28
QX-HHD-394,AV-89120,0.84,2025-09-21
QX-HBC-396,AV-89127,0.63,2025-10-19
QX-HHD-397,AV-89134,0.93,2024-05-27
QX-CHL-399,AV-89141,0.67,2025-08-07
QX-DRK-400,AV-89148,0.63,2024-09-09
QX-CER-401,AV-89155,0.98,2024-06-02
QX-BWS-402,AV-89162,0.80,2024-08-07
QX-PRO-403,AV-89169,0.99,2025-05-25
QX-TIN-404,AV-89176,0.71,2025-08-25
QX-BWS-405,AV-89183,0.86,2025-02-06
QX-HBC-406,AV-89190,0.68,2025-03-20
QX-PRO-408,AV-89183,0.98,2025-11-15
QX-PRO-409,AV-89197,0.67,2025-09-12
QX-PRO-411,AV-89204,0.98,2024-05-27
QX-DRK-412,AV-89211,0.97,2024-12-30
QX-BAK-413,AV-89218,0.62,2024-07-29
QX-TIN-414,AV-89225,0.91,2025-04-06
QX-PRO-415,AV-89232,0.70,2025-02-07
QX-HBC-416,AV-89239,0.79,2025-06-11
QX-CER-417,AV-89246,0.74,2024-10-22
QX-HHD-419,AV-89253,0.70,2025-05-26
QX-CHL-420,AV-89260,0.72,2025-12-07
QX-DRY-423,AV-89267,0.64,2026-02-02
QX-CHL-424,AV-89274,0.86,2025-12-15
