line_id,factory_id,line_no,units_per_hour,changeover_minutes,commissioned
FAC-01-L01,FAC-01,1,3852,73,2018-04-25
FAC-01-L02,FAC-01,2,4682,38,2020-05-12
FAC-01-L03,FAC-01,3,1898,39,2016-03-07
FAC-01-L04,FAC-01,4,3822,95,2024-02-07
FAC-02-L01,FAC-02,1,1129,80,2016-06-04
FAC-02-L02,FAC-02,2,1752,46,2015-05-17
FAC-02-L03,FAC-02,3,5667,59,2024-12-14
FAC-02-L04,FAC-02,4,2284,67,2018-09-27
FAC-02-L05,FAC-02,5,3832,32,2024-03-03
FAC-02-L06,FAC-02,6,3836,71,2017-01-31
FAC-03-L01,FAC-03,1,3472,68,2017-10-15
FAC-03-L02,FAC-03,2,6246,32,2023-05-21
FAC-03-L03,FAC-03,3,1203,35,2015-08-10
