run_id,factory_id,line_id,business_date,sku,planned_units,good_units,scrap_units,downtime_minutes
RUN-000001,FAC-01,FAC-01-L01,2026-05-01,QX-BAK-695,70216,67133,3083,30
RUN-000002,FAC-01,FAC-01-L03,2026-05-01,QX-BAK-770,71155,66490,445,76
RUN-000003,FAC-02,FAC-02-L01,2026-05-01,QX-CHL-746,24832,23155,1677,33
RUN-000004,FAC-02,FAC-02-L03,2026-05-01,QX-CHL-257,70769,59189,1849,146
RUN-000005,FAC-03,FAC-03-L01,2026-05-01,QX-DRK-720,51702,49588,2114,125
RUN-000006,FAC-03,FAC-03-L02,2026-05-01,QX-DRK-095,21240,21023,217,143
RUN-000007,FAC-03,FAC-03-L03,2026-05-01,QX-DRK-528,59882,52114,1003,35
RUN-000008,FAC-01,FAC-01-L03,2026-05-02,QX-BAK-770,35472,34645,827,34
RUN-000009,FAC-02,FAC-02-L01,2026-05-02,QX-CHL-746,60427,58078,2349,175
RUN-000010,FAC-02,FAC-02-L02,2026-05-02,QX-CHL-517,73013,69256,3757,146
RUN-000011,FAC-02,FAC-02-L03,2026-05-02,QX-CHL-021,7112,7046,66,161
RUN-000012,FAC-02,FAC-02-L05,2026-05-02,QX-CHL-963,17735,16505,1230,137
RUN-000013,FAC-02,FAC-02-L06,2026-05-02,QX-CHL-257,17348,16418,930,28
RUN-000014,FAC-03,FAC-03-L01,2026-05-02,QX-DRK-849,66293,63621,2672,44
RUN-000015,FAC-01,FAC-01-L01,2026-05-03,QX-BAK-638,32678,31801,877,165
RUN-000016,FAC-01,FAC-01-L03,2026-05-03,QX-BAK-589,47116,44541,2575,168
RUN-000017,FAC-01,FAC-01-L04,2026-05-03,QX-BAK-816,4777,4577,200,125
RUN-000018,FAC-02,FAC-02-L02,2026-05-03,QX-CHL-483,34928,33060,1868,94
RUN-000019,FAC-02,FAC-02-L03,2026-05-03,QX-CHL-891,35453,34430,1023,155
RUN-000020,FAC-02,FAC-02-L05,2026-05-03,QX-CHL-891,16144,15590,554,125
RUN-000021,FAC-02,FAC-02-L06,2026-05-03,QX-CHL-483,40556,34480,2195,22
RUN-000022,FAC-03,FAC-03-L01,2026-05-03,QX-DRK-095,24473,24342,131,26
RUN-000023,FAC-03,FAC-03-L02,2026-05-03,QX-DRK-098,17254,15379,394,103
RUN-000024,FAC-03,FAC-03-L03,2026-05-03,QX-DRK-098,8262,8019,243,143
RUN-000025,FAC-01,FAC-01-L01,2026-05-04,QX-BAK-816,44307,41799,2508,30
RUN-000026,FAC-01,FAC-01-L03,2026-05-04,QX-BAK-512,19157,18018,91,141
RUN-000027,FAC-02,FAC-02-L03,2026-05-04,QX-CHL-483,64350,63767,583,77
RUN-000028,FAC-02,FAC-02-L04,2026-05-04,QX-CHL-517,44325,44075,250,31
RUN-000029,FAC-02,FAC-02-L06,2026-05-04,QX-CHL-112,55078,53526,1552,89
RUN-000030,FAC-03,FAC-03-L01,2026-05-04,QX-DRK-546,4294,4267,27,10
RUN-000031,FAC-03,FAC-03-L02,2026-05-04,QX-DRK-546,73285,68733,4552,65
RUN-000032,FAC-03,FAC-03-L03,2026-05-04,QX-DRK-528,12262,12158,104,143
RUN-000033,FAC-01,FAC-01-L01,2026-05-05,QX-BAK-695,28372,27613,759,45
RUN-000034,FAC-02,FAC-02-L04,2026-05-05,QX-CHL-425,63477,63175,302,13
RUN-000035,FAC-02,FAC-02-L05,2026-05-05,QX-CHL-891,51290,50000,1290,91
RUN-000036,FAC-02,FAC-02-L06,2026-05-05,QX-CHL-707,65462,53077,3761,187
RUN-000037,FAC-03,FAC-03-L01,2026-05-05,QX-DRK-746,73147,68104,5043,23
RUN-000038,FAC-03,FAC-03-L02,2026-05-05,QX-DRK-095,38636,38159,477,100
RUN-000039,FAC-03,FAC-03-L03,2026-05-05,QX-DRK-098,52529,51669,860,118
RUN-000040,FAC-01,FAC-01-L01,2026-05-06,QX-BAK-589,43198,40752,2446,84
RUN-000041,FAC-01,FAC-01-L03,2026-05-06,QX-BAK-569,60863,58193,2670,59
RUN-000042,FAC-02,FAC-02-L01,2026-05-06,QX-CHL-021,51891,50586,1305,48
RUN-000043,FAC-02,FAC-02-L02,2026-05-06,QX-CHL-021,21892,20830,1062,89
RUN-000044,FAC-02,FAC-02-L03,2026-05-06,QX-CHL-425,51153,50320,833,184
RUN-000045,FAC-02,FAC-02-L05,2026-05-06,QX-CHL-517,57076,53925,3151,22
RUN-000046,FAC-03,FAC-03-L02,2026-05-06,QX-DRK-746,8567,8247,320,87
RUN-000047,FAC-03,FAC-03-L03,2026-05-06,QX-DRK-746,53608,51875,1733,4
RUN-000048,FAC-01,FAC-01-L01,2026-05-07,QX-BAK-638,51800,48911,2889,66
RUN-000049,FAC-01,FAC-01-L03,2026-05-07,QX-BAK-816,63608,62487,1121,151
RUN-000050,FAC-02,FAC-02-L01,2026-05-07,QX-CHL-707,23050,21566,1484,180
RUN-000051,FAC-02,FAC-02-L02,2026-05-07,QX-CHL-963,56411,52611,1235,87
RUN-000052,FAC-02,FAC-02-L03,2026-05-07,QX-CHL-483,36118,35529,589,189
RUN-000053,FAC-02,FAC-02-L04,2026-05-07,QX-CHL-517,9886,9375,511,79
RUN-000054,FAC-02,FAC-02-L06,2026-05-07,QX-CHL-746,62481,59940,2541,131
RUN-000055,FAC-03,FAC-03-L02,2026-05-07,QX-DRK-609,8341,7854,487,83
