po_id,supplier_id,depot_id,sku,ordered_on,units,agreed_unit_cost,currency_code,incoterm,expected_on,received_on
PO-000001,SUP-134,DC-05,QX-HHD-377,2026-05-04,8738,4.7278,EUR,EXW,2026-05-15,
PO-000002,SUP-126,DC-03,QX-HHD-759,2026-05-04,2242,260.0353,KES,EXW,2026-05-25,
PO-000003,SUP-112,DC-02,QX-BWS-141,2026-05-04,3793,14.9853,GBP,DDP,2026-05-30,
PO-000004,SUP-137,DC-01,QX-BAK-520,2026-05-04,1798,1.1994,EUR,EXW,2026-05-18,
PO-000005,SUP-123,DC-05,QX-DRY-906,2026-05-04,4006,27.1895,DKK,CIF,2026-06-03,
PO-000006,SUP-113,DC-05,QX-CER-833,2026-05-04,1854,1.8032,GBP,DDP,2026-06-03,
PO-000007,SUP-137,DC-03,QX-PRO-068,2026-05-04,9361,1.1767,EUR,EXW,2026-05-26,
PO-000008,SUP-106,DC-02,QX-BAK-488,2026-05-04,8024,0.7376,GBP,DDP,2026-05-20,
PO-000009,SUP-110,DC-03,QX-PRO-541,2026-05-04,7511,2.7812,GBP,DDP,2026-05-10,
PO-000010,SUP-139,DC-01,QX-CHL-450,2026-05-04,2098,6.6234,EUR,FOB,2026-05-21,
PO-000011,SUP-123,DC-04,QX-CER-156,2026-05-04,1218,14.6820,DKK,CIF,2026-06-07,
PO-000012,SUP-107,DC-04,QX-BAK-461,2026-05-04,2617,2.8511,GBP,DDP,2026-05-13,
PO-000013,SUP-131,DC-05,QX-DRK-147,2026-05-04,5109,133.7309,TRY,DDP,2026-05-28,
PO-000014,SUP-115,DC-01,QX-FRZ-997,2026-05-05,5991,1.3200,GBP,DDP,2026-05-17,
PO-000015,SUP-130,DC-02,QX-FRZ-641,2026-05-05,4144,8.2415,DKK,CIF,2026-05-08,
PO-000016,SUP-129,DC-02,QX-PET-615,2026-05-05,9261,6.6866,USD,DDP,2026-06-09,
PO-000017,SUP-101,DC-03,QX-CER-770,2026-05-05,5519,1.1321,GBP,DDP,2026-05-12,
PO-000018,SUP-100,DC-04,QX-TIN-560,2026-05-05,4583,0.6905,GBP,DDP,2026-05-22,
PO-000019,SUP-100,DC-02,QX-HBC-969,2026-05-05,7483,2.3673,GBP,DDP,2026-05-14,
PO-000020,SUP-141,DC-03,QX-DRY-811,2026-05-05,4037,64.7096,TRY,DDP,2026-06-04,
PO-000021,SUP-135,DC-01,QX-BAK-216,2026-05-05,9145,1.2114,USD,FOB,2026-05-21,
PO-000022,SUP-101,DC-05,QX-TIN-290,2026-05-05,4864,1.2384,GBP,DDP,2026-06-08,
PO-000023,SUP-128,DC-01,QX-BAK-520,2026-05-05,824,17.1480,GHS,EXW,2026-05-25,
PO-000024,SUP-102,DC-05,QX-PRO-612,2026-05-05,3080,2.0429,GBP,DDP,2026-05-14,
PO-000025,SUP-111,DC-05,QX-CER-369,2026-05-05,3523,1.9678,GBP,DDP,2026-05-16,
PO-000026,SUP-118,DC-04,QX-CER-714,2026-05-05,5595,73.2109,TRY,DDP,2026-05-24,
PO-000027,SUP-131,DC-05,QX-TIN-649,2026-05-05,1828,40.7283,TRY,DDP,2026-05-20,
PO-000028,SUP-121,DC-03,QX-HBC-462,2026-05-05,1169,87000.9425,VND,FOB,2026-05-22,
PO-000029,SUP-131,DC-02,QX-FRZ-784,2026-05-05,1725,109.1650,TRY,DDP,2026-05-12,
PO-000030,SUP-103,DC-03,QX-TIN-408,2026-05-06,9193,0.5192,GBP,DDP,2026-06-02,
PO-000031,SUP-126,DC-02,QX-DRK-045,2026-05-06,5301,253.4744,KES,EXW,2026-06-15,
PO-000032,SUP-119,DC-04,QX-HBC-796,2026-05-06,6897,1461.0531,KES,DDP,2026-05-29,
PO-000033,SUP-115,DC-02,QX-CHL-895,2026-05-06,7402,1.0997,GBP,DDP,2026-05-13,
PO-000034,SUP-127,DC-04,QX-BWS-550,2026-05-06,7948,306.7780,TRY,EXW,2026-05-16,
PO-000035,SUP-119,DC-02,QX-PRO-397,2026-05-06,7021,204.6002,KES,DDP,2026-05-19,
PO-000036,SUP-136,DC-01,QX-DRK-230,2026-05-06,7910,4.1219,DKK,EXW,2026-05-21,
PO-000037,SUP-131,DC-05,QX-CER-720,2026-05-06,5339,69.0324,TRY,DDP,2026-06-06,
PO-000038,SUP-118,DC-02,QX-PET-736,2026-05-06,4252,117.9845,TRY,DDP,2026-05-11,
PO-000039,SUP-122,DC-02,QX-FRZ-007,2026-05-06,7265,8.9340,BRL,FOB,2026-05-25,
PO-000040,SUP-138,DC-04,QX-TIN-073,2026-05-06,5972,22.1510,GHS,EXW,2026-05-15,
PO-000041,SUP-132,DC-02,QX-TIN-168,2026-05-06,7747,8.8939,GHS,CIF,2026-05-31,
PO-000042,SUP-123,DC-03,QX-BAK-181,2026-05-06,2534,5.7393,DKK,CIF,2026-06-06,
PO-000043,SUP-127,DC-01,QX-CHL-701,2026-05-06,9295,58.3218,TRY,EXW,2026-06-02,
PO-000044,SUP-106,DC-05,QX-HBC-576,2026-05-06,2926,2.5659,GBP,DDP,2026-05-21,
PO-000045,SUP-104,DC-04,QX-BWS-221,2026-05-06,1862,5.6779,GBP,DDP,2026-05-15,
PO-000046,SUP-100,DC-01,QX-HHD-418,2026-05-06,7280,4.0193,GBP,DDP,2026-05-30,
