return_id,sale_id,branch_id,returned_at,reason,refund_total
RET-000001,S-100509,B-17,2026-05-05T16:29:39Z,unwanted,1.80
RET-000002,S-100557,B-17,2026-05-05T14:32:54Z,wrong item,21.41
RET-000003,S-100285,B-17,2026-05-05T13:12:58Z,damaged,4.60
RET-000004,S-100516,B-17,2026-05-05T18:10:21Z,damaged,63.12
RET-000005,S-100537,B-17,2026-05-05T11:21:48Z,wrong item,61.56
RET-000006,S-100457,B-17,2026-05-05T12:32:50Z,wrong item,42.12
RET-000007,S-100548,B-17,2026-05-05T17:04:25Z,expired,12.28
RET-000008,S-100921,B-08,2026-05-05T11:11:56Z,damaged,15.88
RET-000009,S-100753,B-08,2026-05-05T16:21:16Z,damaged,8.02
RET-000010,S-100873,B-08,2026-05-05T18:26:16Z,faulty,38.79
RET-000011,S-100777,B-08,2026-05-05T09:18:47Z,damaged,3.18
RET-000012,S-100807,B-08,2026-05-05T10:04:47Z,faulty,60.16
RET-000013,S-101150,B-09,2026-05-05T16:19:07Z,expired,7.71
RET-000014,S-101130,B-09,2026-05-05T13:06:00Z,expired,86.27
RET-000015,S-101026,B-09,2026-05-05T18:37:34Z,wrong item,4.06
RET-000016,S-101185,B-04,2026-05-05T14:57:47Z,expired,6.00
RET-000017,S-101298,B-04,2026-05-05T11:05:55Z,wrong item,6.75
RET-000018,S-101353,B-02,2026-05-05T11:51:48Z,unwanted,6.51
RET-000019,S-101406,B-01,2026-05-05T15:11:11Z,unwanted,8.10
RET-000020,S-101783,B-20,2026-05-05T14:06:46Z,wrong item,98.49
RET-000021,S-101678,B-20,2026-05-05T12:32:12Z,faulty,18.48
RET-000022,S-101605,B-20,2026-05-05T18:14:35Z,wrong item,4.40
RET-000023,S-101559,B-20,2026-05-05T16:53:12Z,damaged,6.62
RET-000024,S-101830,B-20,2026-05-05T18:32:19Z,damaged,30.78
RET-000025,S-102328,B-21,2026-05-05T12:59:13Z,damaged,68.81
RET-000026,S-102356,B-21,2026-05-05T10:28:15Z,wrong item,6.66
RET-000027,S-102335,B-21,2026-05-05T10:15:19Z,unwanted,3.02
RET-000028,S-102191,B-21,2026-05-05T10:44:17Z,faulty,11.78
RET-000029,S-102398,B-21,2026-05-05T16:41:50Z,wrong item,10.46
RET-000030,S-102383,B-21,2026-05-05T12:25:09Z,wrong item,54.29
RET-000031,S-102345,B-21,2026-05-05T12:52:48Z,unwanted,43.71
RET-000032,S-102703,B-22,2026-05-05T14:41:23Z,unwanted,2.11
RET-000033,S-102621,B-22,2026-05-05T16:45:32Z,unwanted,6.09
RET-000034,S-102632,B-22,2026-05-05T11:02:42Z,expired,45.57
RET-000035,S-102653,B-22,2026-05-05T15:55:48Z,expired,31.91
RET-000036,S-102982,B-23,2026-05-05T09:47:47Z,faulty,101.31
RET-000037,S-103193,B-23,2026-05-05T10:53:59Z,wrong item,8.34
RET-000038,S-103198,B-23,2026-05-05T17:04:01Z,damaged,2.33
RET-000039,S-103001,B-23,2026-05-05T17:14:24Z,expired,14.24
RET-000040,S-103199,B-23,2026-05-05T18:48:04Z,wrong item,98.13
RET-000041,S-103031,B-23,2026-05-05T09:34:43Z,expired,53.16
RET-000042,S-103644,B-24,2026-05-05T10:43:58Z,faulty,2.80
RET-000043,S-103710,B-24,2026-05-05T15:47:29Z,expired,11.28
RET-000044,S-103483,B-24,2026-05-05T16:16:08Z,wrong item,4.62
RET-000045,S-103595,B-24,2026-05-05T17:21:37Z,damaged,114.49
RET-000046,S-103720,B-24,2026-05-05T14:07:41Z,wrong item,23.17
RET-000047,S-103559,B-24,2026-05-05T13:39:11Z,wrong item,68.45
RET-000048,S-103466,B-24,2026-05-05T17:26:12Z,faulty,5.34
RET-000049,S-104103,B-25,2026-05-05T13:52:09Z,damaged,3.77
RET-000050,S-103972,B-25,2026-05-05T09:27:48Z,damaged,39.09
RET-000051,S-104065,B-25,2026-05-05T13:42:13Z,unwanted,44.64
RET-000052,S-104067,B-25,2026-05-05T16:33:24Z,wrong item,33.14
RET-000053,S-104026,B-25,2026-05-05T18:53:20Z,expired,3.88
RET-000054,S-104268,B-26,2026-05-05T12:11:14Z,damaged,15.44
RET-000055,S-104163,B-26,2026-05-05T15:02:41Z,expired,13.13
RET-000056,S-104501,B-27,2026-05-05T11:57:25Z,damaged,22.90
RET-000057,S-104318,B-27,2026-05-05T13:00:18Z,wrong item,18.79
RET-000058,S-104393,B-27,2026-05-05T12:39:38Z,wrong item,21.02
RET-000059,S-104622,B-28,2026-05-05T09:23:33Z,wrong item,11.48
RET-000060,S-104708,B-28,2026-05-05T16:33:17Z,faulty,30.13
RET-000061,S-104508,B-28,2026-05-05T15:45:17Z,unwanted,2.50
RET-000062,S-104874,B-29,2026-05-05T17:20:12Z,unwanted,39.71
RET-000063,S-104805,B-29,2026-05-05T16:02:39Z,expired,1.67
RET-000064,S-105020,B-30,2026-05-05T11:21:30Z,expired,26.04
RET-000065,S-104960,B-30,2026-05-05T10:01:26Z,wrong item,7.73
RET-000066,S-104927,B-30,2026-05-05T17:44:24Z,expired,73.37
RET-000067,S-105582,B-17,2026-05-06T13:06:39Z,expired,77.94
RET-000068,S-105386,B-17,2026-05-06T16:16:05Z,unwanted,21.24
RET-000069,S-105628,B-17,2026-05-06T14:02:26Z,unwanted,74.44
RET-000070,S-105391,B-17,2026-05-06T17:14:23Z,damaged,92.39
RET-000071,S-105610,B-17,2026-05-06T15:44:09Z,unwanted,61.75
RET-000072,S-105601,B-17,2026-05-06T18:08:12Z,expired,131.41
RET-000073,S-105582,B-17,2026-05-06T16:25:21Z,damaged,71.30
RET-000074,S-105906,B-08,2026-05-06T16:02:04Z,unwanted,13.99
RET-000075,S-105949,B-08,2026-05-06T17:38:27Z,wrong item,95.25
RET-000076,S-105785,B-08,2026-05-06T11:06:30Z,unwanted,7.92
RET-000077,S-105792,B-08,2026-05-06T10:23:04Z,expired,30.30
RET-000078,S-105763,B-08,2026-05-06T10:08:42Z,expired,10.08
RET-000079,S-106162,B-09,2026-05-06T14:06:35Z,wrong item,6.62
