return_id,line_no,sku,returned_quantity,uom,refund_amount
RET-000001,1,QX-BWS-908,1,unit,13.33
RET-000002,1,QX-HHD-245,1,unit,3.53
RET-000003,1,QX-HBC-778,2,unit,4.50
RET-000003,2,QX-PET-532,1,unit,4.83
RET-000004,1,QX-BWS-962,3,unit,110.16
RET-000005,1,QX-FRZ-608,2,unit,16.82
RET-000005,2,QX-PRO-899,1.397,kg,4.07
RET-000005,3,QX-CER-077,1,unit,2.90
RET-000005,4,QX-DRY-361,1,unit,6.02
RET-000005,5,QX-TIN-080,1,unit,2.58
RET-000005,6,QX-BAK-638,1.547,kg,6.45
RET-000005,7,QX-DRK-209,2,unit,11.28
RET-000006,1,QX-PET-260,1,unit,2.78
RET-000007,1,QX-DRY-361,2,unit,12.04
RET-000007,2,QX-DRY-883,1,unit,3.62
RET-000008,1,QX-BWS-252,1,unit,23.86
RET-000008,2,QX-DRY-642,1,unit,2.78
RET-000008,3,QX-BWS-074,3,unit,23.49
RET-000008,4,QX-PRO-210,1.626,kg,2.46
RET-000008,5,QX-HBC-063,1,unit,7.06
RET-000009,1,QX-DRK-330,1,unit,2.42
RET-000009,2,QX-CHL-857,3,unit,18.63
RET-000009,3,QX-CER-338,2,unit,8.20
RET-000010,1,QX-CHL-025,1,unit,7.39
RET-000010,2,QX-FRZ-571,1,unit,4.14
RET-000010,3,QX-TIN-332,1,unit,1.59
RET-000010,4,QX-BAK-497,1,unit,1.99
RET-000010,5,QX-DRY-341,2,unit,12.58
RET-000010,6,QX-BAK-316,0.765,kg,4.91
RET-000011,1,QX-HBC-355,1,unit,14.11
RET-000012,1,QX-CHL-136,1,unit,3.99
RET-000012,2,QX-TIN-398,1,unit,1.29
RET-000013,1,QX-DRY-228,2,unit,13.56
RET-000013,2,QX-HBC-268,2,unit,7.26
RET-000013,3,QX-DRK-835,1,unit,5.62
RET-000013,4,QX-HHD-570,1,unit,1.14
RET-000013,5,QX-PET-684,2,unit,13.02
RET-000013,6,QX-BWS-237,1,unit,17.35
RET-000013,7,QX-BWS-505,1,unit,24.12
RET-000014,1,QX-CHL-966,1,unit,3.72
RET-000015,1,QX-PET-420,3,unit,13.26
RET-000015,2,QX-DRK-720,1,unit,3.46
RET-000015,3,QX-CHL-669,1.102,kg,15.76
RET-000015,4,QX-HHD-394,1,unit,5.66
RET-000015,5,QX-CER-275,1,unit,3.66
RET-000015,6,QX-BAK-120,2.115,kg,10.45
RET-000016,1,QX-HBC-259,1,unit,8.62
RET-000016,2,QX-DRY-156,1,unit,2.64
RET-000016,3,QX-DRK-601,3,unit,1.80
RET-000016,4,QX-PET-232,2,unit,9.18
RET-000016,5,QX-PET-232,1,unit,4.59
RET-000016,6,QX-PET-356,1,unit,6.51
RET-000017,1,QX-CER-392,1,unit,4.15
RET-000017,2,QX-DRY-112,1,unit,6.59
RET-000017,3,QX-DRK-242,2,unit,4.38
RET-000017,4,QX-FRZ-968,1,unit,8.01
RET-000018,1,QX-BWS-864,2,unit,65.10
RET-000019,1,QX-TIN-980,1,unit,1.79
RET-000019,2,QX-BWS-626,1,unit,20.32
RET-000020,1,QX-BWS-621,3,unit,75.72
RET-000021,1,QX-CER-968,2,unit,3.86
RET-000022,1,QX-CHL-254,2,unit,8.76
RET-000023,1,QX-DRK-374,2,unit,11.74
RET-000024,1,QX-FRZ-211,1,unit,9.21
RET-000024,2,QX-CER-724,1,unit,3.24
RET-000024,3,QX-DRY-179,2,unit,5.74
RET-000024,4,QX-CHL-760,1,unit,6.40
RET-000024,5,QX-FRZ-530,2,unit,3.42
RET-000025,1,QX-DRY-062,2,unit,3.10
RET-000025,2,QX-BAK-592,2,unit,4.58
RET-000025,3,QX-HHD-841,1,unit,7.14
RET-000025,4,QX-CER-044,1,unit,5.19
RET-000025,5,QX-BAK-666,1,unit,2.40
RET-000025,6,QX-DRY-189,1,unit,6.04
RET-000025,7,QX-DRY-266,2,unit,11.20
RET-000025,8,QX-FRZ-185,1,unit,2.25
RET-000025,9,QX-BAK-299,1.468,kg,11.20
RET-000026,1,QX-TIN-008,1,unit,1.97
RET-000027,1,QX-CHL-025,2,unit,16.84
RET-000028,1,QX-BWS-639,1,unit,5.76
RET-000029,1,QX-TIN-175,1,unit,1.17
RET-000029,2,QX-FRZ-239,2,unit,4.84
RET-000029,3,QX-DRY-642,3,unit,7.83
RET-000029,4,QX-DRY-166,2,unit,7.44
RET-000029,5,QX-HBC-564,2,unit,9.90
RET-000030,1,QX-HBC-465,1,unit,12.22
RET-000031,1,QX-CER-646,1,unit,4.76
RET-000032,1,QX-BAK-441,2,unit,7.74
RET-000032,2,QX-TIN-635,1,unit,0.90
RET-000032,3,QX-PET-680,2,unit,9.80
