sale_id,branch_id,till_id,business_date,employee_id,customer_id,scan_started_at,scan_ended_at,payment_completed_at,items,basket_total,payment_method
S-1041,B-17,B-17-T10,2026-05-04,E-311,C-115093,2026-05-04T17:18:10Z,2026-05-04T17:18:21Z,2026-05-04T17:18:26Z,6,18.70,mobile
S-1042,B-17,B-17-T04,2026-05-04,E-838,,2026-05-04T19:09:07Z,2026-05-04T19:09:15Z,2026-05-04T19:09:21Z,3,6.25,mobile
S-1043,B-08,B-08-T07,2026-05-04,E-283,,2026-05-04T16:54:16Z,2026-05-04T16:54:40Z,2026-05-04T16:54:48Z,12,31.40,mobile
S-100000,B-17,B-17-T03,2026-05-04,E-849,,2026-05-04T10:07:09Z,2026-05-04T10:07:17Z,2026-05-04T10:07:27Z,1,7.22,card
S-100001,B-17,B-17-T01,2026-05-04,E-835,C-137351,2026-05-04T19:31:14Z,2026-05-04T19:31:23Z,2026-05-04T19:31:33Z,4,42.84,card
S-100002,B-17,B-17-T07,2026-05-04,E-850,,2026-05-04T10:11:18Z,2026-05-04T10:11:38Z,2026-05-04T10:11:51Z,19,74.35,cash
S-100003,B-17,B-17-T10,2026-05-04,E-812,C-103896,2026-05-04T17:12:09Z,2026-05-04T17:12:17Z,2026-05-04T17:12:25Z,2,5.60,card
S-100004,B-17,B-17-T01,2026-05-04,E-872,,2026-05-04T12:30:26Z,2026-05-04T12:30:34Z,2026-05-04T12:30:50Z,5,24.23,card
S-100005,B-17,B-17-T12,2026-05-04,E-800,,2026-05-04T08:02:31Z,2026-05-04T08:03:50Z,2026-05-04T08:04:02Z,21,60.91,card
S-100006,B-17,B-17-T06,2026-05-04,E-828,C-105181,2026-05-04T14:10:17Z,2026-05-04T14:10:25Z,2026-05-04T14:10:40Z,2,12.42,cash
S-100007,B-17,B-17-T06,2026-05-04,E-865,,2026-05-04T13:29:13Z,2026-05-04T13:29:28Z,2026-05-04T13:29:55Z,6,28.03,cash
S-100008,B-17,B-17-T10,2026-05-04,E-862,,2026-05-04T12:41:36Z,2026-05-04T12:41:44Z,2026-05-04T12:41:48Z,2,19.38,card
S-100009,B-17,B-17-T05,2026-05-04,E-810,,2026-05-04T10:49:45Z,2026-05-04T10:50:15Z,2026-05-04T10:50:20Z,12,61.67,card
S-100010,B-17,B-17-T12,2026-05-04,E-819,,2026-05-04T15:39:21Z,2026-05-04T15:40:05Z,2026-05-04T15:40:15Z,12,56.02,card
S-100011,B-17,B-17-T07,2026-05-04,E-204,,2026-05-04T07:52:41Z,2026-05-04T07:52:49Z,2026-05-04T07:53:01Z,2,11.44,cash
S-100012,B-17,B-17-T02,2026-05-04,E-822,,2026-05-04T10:10:54Z,2026-05-04T10:11:06Z,2026-05-04T10:11:25Z,10,37.70,cash
S-100013,B-17,B-17-T06,2026-05-04,E-813,,2026-05-04T17:17:09Z,2026-05-04T17:17:17Z,2026-05-04T17:17:30Z,2,9.24,cash
S-100014,B-17,B-17-T09,2026-05-04,E-865,C-121851,2026-05-04T14:50:08Z,2026-05-04T14:50:16Z,2026-05-04T14:50:25Z,2,6.94,card
S-100015,B-17,B-17-T06,2026-05-04,E-875,,2026-05-04T14:29:46Z,2026-05-04T14:30:27Z,2026-05-04T14:30:36Z,24,212.76,mobile
S-100016,B-17,B-17-T08,2026-05-04,E-247,,2026-05-04T11:03:10Z,2026-05-04T11:03:37Z,2026-05-04T11:03:51Z,19,90.21,card
S-100017,B-17,B-17-T10,2026-05-04,E-858,,2026-05-04T17:55:21Z,2026-05-04T17:56:12Z,2026-05-04T17:56:20Z,36,180.54,mobile
S-100018,B-17,B-17-T09,2026-05-04,E-864,,2026-05-04T20:49:51Z,2026-05-04T20:50:08Z,2026-05-04T20:50:20Z,7,22.88,card
