sale_id,line_no,sku,quantity,uom,unit_price,line_total,promotion_id
S-100000,1,QX-PRO-484,2,unit,4.83,9.66,
S-100001,1,QX-PET-717,2,unit,5.99,11.98,
S-100001,2,QX-CER-274,3,unit,3.41,10.23,
S-100001,3,QX-CER-472,3,unit,2.06,6.18,
S-100001,4,QX-TIN-379,2,unit,1.13,2.26,
S-100001,5,QX-BAK-574,0.856,kg,5.17,4.43,
S-100001,6,QX-HBC-099,2,unit,8.51,17.02,PRM-030
S-100001,7,QX-PET-808,2,unit,1.29,2.58,
S-100001,8,QX-CHL-413,1,unit,6.43,6.43,
S-100001,9,QX-PET-420,1,unit,4.42,4.42,
S-100001,10,QX-HBC-811,2,unit,7.01,14.02,
S-100002,1,QX-CER-389,2,unit,4.30,8.60,
S-100002,2,QX-TIN-945,2,unit,1.87,3.74,
S-100003,1,QX-BWS-772,1,unit,7.77,7.77,PRM-005
S-100003,2,QX-DRY-097,3,unit,5.47,16.41,
S-100003,3,QX-FRZ-421,3,unit,6.56,19.68,
S-100003,4,QX-CER-996,2,unit,2.39,4.78,
S-100003,5,QX-DRY-179,3,unit,2.63,7.89,
S-100004,1,QX-DRY-696,2,unit,1.32,2.64,PRM-047
S-100004,2,QX-DRK-369,1,unit,6.46,6.46,
S-100004,3,QX-CHL-738,1,unit,8.38,8.38,
S-100004,4,QX-HHD-330,2,unit,1.80,3.60,
S-100004,5,QX-HBC-174,3,unit,13.26,39.78,
S-100004,6,QX-HHD-195,2,unit,4.64,9.28,PRM-062
S-100004,7,QX-FRZ-742,2,unit,2.48,4.96,
S-100004,8,QX-DRY-572,2,unit,1.58,3.16,
S-100004,9,QX-BWS-342,2,unit,28.78,57.56,PRM-044
S-100005,1,QX-BWS-879,3,unit,28.19,84.57,
S-100005,2,QX-FRZ-535,1,unit,3.44,3.44,
S-100005,3,QX-FRZ-980,1,unit,2.00,2.00,
S-100005,4,QX-CER-000,3,unit,2.00,6.00,
S-100005,5,QX-CER-486,2,unit,2.33,4.66,
S-100005,6,QX-BAK-610,2,unit,3.92,7.84,
S-100005,7,QX-DRY-772,3,unit,3.09,9.27,PRM-052
S-100005,8,QX-BWS-050,3,unit,11.24,33.72,
S-100006,1,QX-BAK-796,1,unit,1.15,1.15,
S-100006,2,QX-TIN-826,2,unit,1.24,2.48,
S-100006,3,QX-DRK-624,1,unit,4.64,4.64,
S-100007,1,QX-BAK-487,2,unit,2.58,5.16,
S-100007,2,QX-TIN-153,3,unit,1.98,5.94,
S-100007,3,QX-HBC-174,2,unit,13.26,26.52,
S-100007,4,QX-PET-969,2,unit,10.92,21.84,PRM-045
S-100008,1,QX-BAK-648,1.986,kg,3.41,6.77,
S-100008,2,QX-BWS-461,2,unit,34.90,69.80,
S-100009,1,QX-PRO-213,2,unit,5.11,10.22,
S-100009,2,QX-DRK-393,2,unit,5.22,10.44,
S-100010,1,QX-TIN-912,2,unit,0.85,1.70,
S-100010,2,QX-TIN-377,2,unit,1.37,2.74,
S-100010,3,QX-BAK-295,1,unit,3.98,3.98,
S-100010,4,QX-CHL-784,0.183,kg,17.19,3.15,
S-100010,5,QX-PET-684,3,unit,6.51,19.53,PRM-024
S-100010,6,QX-BWS-395,2,unit,16.11,32.22,
S-100010,7,QX-CER-473,2,unit,4.73,9.46,
S-100010,8,QX-FRZ-440,3,unit,3.02,9.06,
S-100010,9,QX-HHD-255,2,unit,4.21,8.42,
S-100011,1,QX-FRZ-680,2,unit,5.47,10.94,
S-100012,1,QX-PET-632,3,unit,4.67,14.01,
S-100012,2,QX-BAK-130,3,unit,0.80,2.40,
S-100012,3,QX-BAK-692,2.004,kg,6.46,12.95,
S-100012,4,QX-BWS-728,2,unit,25.48,50.96,
S-100013,1,QX-FRZ-990,2,unit,6.98,13.96,
S-100013,2,QX-DRK-302,2,unit,3.34,6.68,
S-100013,3,QX-DRK-420,3,unit,0.65,1.95,PRM-019
S-100013,4,QX-HHD-237,2,unit,9.70,19.40,
S-100014,1,QX-PRO-596,1.024,kg,2.09,2.14,
S-100014,2,QX-PET-790,1,unit,5.00,5.00,
S-100015,1,QX-TIN-093,3,unit,2.14,6.42,
S-100015,2,QX-BAK-036,1.84,kg,4.39,8.08,
