branch_id,sensor_id,reading_at,temperature_c
B-17,FZ-1,2026-05-04T00:00:00:00Z,-17.84
B-17,FZ-3,2026-05-04T01:00:00:00Z,-17.51
B-17,FZ-1,2026-05-04T02:00:00:00Z,-17.66
B-17,FZ-3,2026-05-04T03:00:00:00Z,-20.75
B-17,FZ-2,2026-05-04T04:00:00:00Z,-17.62
B-17,FZ-1,2026-05-04T05:00:00:00Z,-19.04
B-17,FZ-1,2026-05-04T06:00:00:00Z,-16.68
B-17,FZ-1,2026-05-04T07:00:00:00Z,-18.84
B-17,FZ-1,2026-05-04T08:00:00:00Z,-17.58
B-17,FZ-2,2026-05-04T09:00:00:00Z,-16.69
B-17,FZ-1,2026-05-04T10:00:00:00Z,-16.70
B-17,FZ-3,2026-05-04T11:00:00:00Z,-16.44
B-17,FZ-1,2026-05-04T12:00:00:00Z,-17.35
B-17,FZ-3,2026-05-04T13:00:00:00Z,-19.23
B-17,FZ-2,2026-05-04T14:00:00:00Z,-17.37
B-17,FZ-1,2026-05-04T15:00:00:00Z,-19.26
B-17,FZ-3,2026-05-04T16:00:00:00Z,-17.27
B-17,FZ-1,2026-05-04T17:00:00:00Z,-19.69
B-17,FZ-1,2026-05-04T18:00:00:00Z,-16.09
B-17,FZ-3,2026-05-04T19:00:00:00Z,-15.77
B-17,FZ-3,2026-05-04T20:00:00:00Z,-20.39
B-17,FZ-2,2026-05-04T21:00:00:00Z,-17.34
B-17,FZ-1,2026-05-04T22:00:00:00Z,-17.17
B-17,FZ-2,2026-05-04T23:00:00:00Z,-15.86
B-08,FZ-2,2026-05-04T00:00:00:00Z,-20.62
B-08,FZ-3,2026-05-04T01:00:00:00Z,-19.72
B-08,FZ-3,2026-05-04T02:00:00:00Z,-20.34
B-08,FZ-2,2026-05-04T03:00:00:00Z,-18.89
B-08,FZ-3,2026-05-04T04:00:00:00Z,-17.15
B-08,FZ-3,2026-05-04T05:00:00:00Z,-20.73
B-08,FZ-3,2026-05-04T06:00:00:00Z,-15.14
B-08,FZ-1,2026-05-04T07:00:00:00Z,-18.36
