shipment_id,supplier_id,branch_id,ordered_on,received_at,supplier_invoice_total
SHP-000001,SUP-128,B-17,2026-04-23,2026-05-01T07:47:38Z,3676.23
SHP-000002,SUP-117,B-08,2026-04-28,2026-05-01T06:39:26Z,
SHP-000003,SUP-139,B-04,2026-04-26,2026-05-01T08:32:09Z,8451.60
SHP-000004,SUP-103,B-17,2026-04-28,2026-05-02T06:01:43Z,7777.69
SHP-000005,SUP-105,B-08,2026-04-26,2026-05-02T08:22:45Z,4118.86
SHP-000006,SUP-113,B-04,2026-04-30,2026-05-02T07:46:31Z,1970.84
SHP-000007,SUP-106,B-17,2026-05-01,2026-05-03T06:51:54Z,2811.06
SHP-000008,SUP-111,B-08,2026-05-01,2026-05-03T06:17:24Z,2487.24
SHP-000009,SUP-118,B-09,2026-05-01,2026-05-03T08:26:42Z,8639.92
SHP-000010,SUP-106,B-04,2026-05-01,2026-05-03T07:20:42Z,3186.99
SHP-000011,SUP-106,B-01,2026-05-01,2026-05-03T08:57:34Z,8139.51
SHP-000012,SUP-139,B-17,2026-04-29,2026-05-04T07:34:15Z,6584.95
SHP-000013,SUP-103,B-08,2026-04-30,2026-05-04T07:04:05Z,4480.06
SHP-000014,SUP-136,B-09,2026-05-01,2026-05-04T06:02:56Z,
SHP-000015,SUP-114,B-04,2026-04-28,2026-05-04T08:50:26Z,3869.23
SHP-000016,SUP-123,B-17,2026-04-26,2026-05-05T06:51:13Z,1618.48
SHP-000017,SUP-132,B-08,2026-05-01,2026-05-05T06:41:26Z,7229.81
SHP-000018,SUP-102,B-09,2026-04-29,2026-05-05T05:33:52Z,9232.52
SHP-000019,SUP-116,B-04,2026-04-29,2026-05-05T06:03:05Z,8194.62
SHP-000020,SUP-136,B-17,2026-05-03,2026-05-06T07:06:47Z,3010.09
SHP-000021,SUP-118,B-08,2026-05-04,2026-05-06T08:53:27Z,6846.02
SHP-000022,SUP-134,B-09,2026-05-02,2026-05-06T07:59:19Z,2246.84
SHP-000023,SUP-139,B-04,2026-05-01,2026-05-06T08:11:08Z,4733.97
SHP-000024,SUP-103,B-02,2026-05-02,2026-05-06T05:43:53Z,5800.40
SHP-000025,SUP-107,B-17,2026-05-01,2026-05-07T05:10:24Z,11582.78
SHP-000026,SUP-121,B-08,2026-04-28,2026-05-07T08:08:42Z,8385.17
SHP-000027,SUP-112,B-09,2026-05-01,2026-05-07T08:24:08Z,6878.96
SHP-000028,SUP-104,B-04,2026-05-05,2026-05-07T08:56:30Z,
