shipment_id,line_no,sku,ordered_units,received_units
SHP-000001,1,QX-CHL-500,110,110
SHP-000001,2,QX-PRO-321,15,15
SHP-000001,3,QX-FRZ-905,36,36
SHP-000001,4,QX-PRO-477,31,31
SHP-000001,5,QX-DRK-678,72,72
SHP-000001,6,QX-FRZ-915,76,76
SHP-000001,7,QX-PET-399,51,51
SHP-000001,8,QX-DRK-863,100,100
SHP-000001,9,QX-PET-752,11,11
SHP-000001,10,QX-DRK-455,61,61
SHP-000001,11,QX-DRY-104,120,120
SHP-000001,12,QX-DRY-893,120,120
SHP-000001,13,QX-CHL-734,25,25
SHP-000001,14,QX-PET-269,20,20
SHP-000001,15,QX-DRY-075,71,71
SHP-000001,16,QX-PRO-488,96,96
SHP-000002,1,QX-BAK-187,106,106
SHP-000002,2,QX-TIN-140,56,56
SHP-000002,3,QX-CER-690,115,115
SHP-000002,4,QX-DRY-365,25,25
SHP-000002,5,QX-PET-192,21,21
SHP-000002,6,QX-TIN-264,75,75
SHP-000003,1,QX-PRO-596,13,13
SHP-000003,2,QX-HHD-372,64,64
SHP-000003,3,QX-HBC-886,79,79
SHP-000003,4,QX-HHD-195,63,63
SHP-000003,5,QX-HBC-591,88,88
SHP-000003,6,QX-DRK-513,36,36
SHP-000003,7,QX-CHL-013,67,67
SHP-000003,8,QX-PRO-156,118,118
SHP-000003,9,QX-DRY-502,92,92
SHP-000003,10,QX-BWS-681,20,20
SHP-000003,11,QX-HBC-868,16,16
SHP-000003,12,QX-PRO-954,51,51
SHP-000003,13,QX-BAK-589,94,94
SHP-000003,14,QX-PET-058,76,76
SHP-000003,15,QX-PET-853,42,42
SHP-000003,16,QX-CHL-018,9,9
SHP-000003,17,QX-CHL-465,77,77
SHP-000003,18,QX-BWS-704,33,33
SHP-000003,19,QX-CHL-336,98,98
SHP-000003,20,QX-HBC-344,119,119
SHP-000003,21,QX-CER-208,65,65
SHP-000003,22,QX-PRO-660,49,49
SHP-000003,23,QX-DRY-049,106,106
SHP-000003,24,QX-HBC-786,79,79
SHP-000003,25,QX-TIN-122,58,58
SHP-000003,26,QX-CHL-122,113,113
SHP-000003,27,QX-DRY-266,106,106
SHP-000003,28,QX-BAK-517,93,93
SHP-000003,29,QX-HHD-158,102,102
SHP-000003,30,QX-PRO-368,40,40
SHP-000003,31,QX-PRO-227,10,10
SHP-000003,32,QX-BAK-769,46,46
SHP-000003,33,QX-HBC-329,70,70
SHP-000003,34,QX-CHL-107,30,30
SHP-000003,35,QX-FRZ-856,48,48
SHP-000003,36,QX-BWS-897,11,11
SHP-000004,1,QX-DRY-241,35,35
SHP-000004,2,QX-BAK-374,13,13
SHP-000004,3,QX-PET-052,57,57
SHP-000004,4,QX-DRY-075,60,60
SHP-000004,5,QX-PET-192,102,102
SHP-000004,6,QX-TIN-934,36,36
SHP-000004,7,QX-DRY-104,40,40
SHP-000004,8,QX-BAK-294,93,93
SHP-000004,9,QX-HBC-964,10,10
SHP-000004,10,QX-FRZ-364,41,41
SHP-000004,11,QX-DRK-192,93,93
SHP-000004,12,QX-CHL-123,65,65
SHP-000004,13,QX-HHD-613,12,12
SHP-000004,14,QX-DRK-467,109,109
SHP-000004,15,QX-TIN-434,94,94
SHP-000004,16,QX-BWS-204,105,105
SHP-000004,17,QX-CER-884,62,62
SHP-000004,18,QX-FRZ-445,56,56
SHP-000004,19,QX-HBC-327,63,63
SHP-000004,20,QX-PRO-793,31,31
SHP-000004,21,QX-TIN-370,98,98
SHP-000004,22,QX-PET-188,22,22
SHP-000004,23,QX-BAK-497,75,75
SHP-000004,24,QX-PRO-291,67,67
SHP-000004,25,QX-FRZ-053,48,48
SHP-000004,26,QX-CHL-318,72,72
SHP-000004,27,QX-BAK-316,84,84
SHP-000004,28,QX-DRK-834,62,62
SHP-000004,29,QX-FRZ-336,107,107
SHP-000004,30,QX-CHL-807,58,58
SHP-000004,31,QX-TIN-856,13,13
SHP-000004,32,QX-FRZ-289,24,24
SHP-000004,33,QX-HHD-096,67,48
SHP-000004,34,QX-DRY-687,46,46
SHP-000004,35,QX-DRK-628,111,111
SHP-000004,36,QX-HHD-762,29,24
SHP-000004,37,QX-DRK-071,38,38
SHP-000005,1,QX-HBC-381,113,113
SHP-000005,2,QX-BAK-948,48,48
SHP-000005,3,QX-CHL-304,58,58
SHP-000005,4,QX-TIN-227,20,20
SHP-000005,5,QX-HHD-220,104,104
SHP-000005,6,QX-CER-663,110,110
SHP-000005,7,QX-BAK-499,58,58
SHP-000005,8,QX-BAK-925,95,95
SHP-000005,9,QX-DRY-696,88,88
SHP-000005,10,QX-DRK-801,32,32
SHP-000005,11,QX-CHL-384,95,95
SHP-000005,12,QX-BWS-281,13,13
SHP-000005,13,QX-HBC-462,45,45
