supplier_id,period_month,otif_pct,quality_rejects,invoice_disputes,avg_lead_days_actual
SUP-100,2026-04,0.781,14,10,6.2
SUP-100,2026-05,0.842,20,7,9.0
SUP-100,2026-06,0.797,11,3,6.2
SUP-101,2026-04,0.743,19,5,6.2
SUP-101,2026-05,0.796,29,1,4.2
SUP-101,2026-06,0.899,14,5,4.0
SUP-102,2026-04,0.840,21,7,8.6
SUP-102,2026-05,0.740,5,4,9.7
SUP-102,2026-06,0.838,13,3,7.8
SUP-103,2026-04,0.892,34,5,3.7
SUP-103,2026-05,0.939,10,5,7.1
SUP-103,2026-06,0.747,5,10,5.5
SUP-104,2026-04,0.977,26,1,2.0
SUP-104,2026-05,0.829,10,5,2.5
SUP-104,2026-06,0.772,18,9,2.6
SUP-105,2026-04,0.768,14,6,6.5
SUP-105,2026-05,0.883,21,1,8.4
SUP-105,2026-06,0.979,3,10,7.5
SUP-106,2026-04,0.800,27,3,2.1
SUP-106,2026-05,0.711,14,1,2.7
SUP-106,2026-06,0.809,7,8,3.1
SUP-107,2026-04,0.986,27,8,6.3
SUP-107,2026-05,0.737,11,5,5.5
SUP-107,2026-06,0.844,11,6,7.2
SUP-108,2026-04,0.859,21,5,7.1
SUP-108,2026-05,0.724,30,5,3.6
SUP-108,2026-06,0.746,6,8,4.3
SUP-109,2026-04,0.896,28,5,4.2
SUP-109,2026-05,0.757,13,5,4.1
SUP-109,2026-06,0.859,29,7,4.1
SUP-110,2026-04,0.836,19,2,2.9
SUP-110,2026-05,0.779,25,6,3.6
SUP-110,2026-06,0.950,10,1,3.9
SUP-111,2026-04,0.917,26,3,3.6
SUP-111,2026-05,0.946,13,6,1.9
SUP-111,2026-06,0.919,13,10,3.3
SUP-112,2026-04,0.808,5,7,7.4
SUP-112,2026-05,0.812,17,8,7.3
SUP-112,2026-06,0.785,10,1,7.3
SUP-113,2026-04,0.959,15,4,3.2
SUP-113,2026-05,0.747,14,5,2.5
SUP-113,2026-06,0.815,4,8,2.4
SUP-114,2026-04,0.884,12,3,8.0
SUP-114,2026-05,0.923,29,4,7.3
SUP-114,2026-06,0.810,5,9,7.4
SUP-115,2026-04,0.728,16,5,4.9
SUP-115,2026-05,0.790,27,4,3.4
SUP-115,2026-06,0.784,4,7,3.5
SUP-116,2026-04,0.796,4,8,6.4
SUP-116,2026-05,0.751,16,6,8.1
SUP-116,2026-06,0.804,5,9,6.1
SUP-117,2026-04,0.732,19,6,5.5
SUP-117,2026-05,0.757,16,0,4.0
SUP-117,2026-06,0.756,17,3,3.8
SUP-118,2026-04,0.922,20,3,2.7
SUP-118,2026-05,0.911,16,3,2.3
SUP-118,2026-06,0.937,19,1,2.8
SUP-119,2026-04,0.719,4,3,3.6
SUP-119,2026-05,0.803,16,7,3.3
SUP-119,2026-06,0.810,21,3,3.1
SUP-120,2026-04,0.927,3,9,6.1
SUP-120,2026-05,0.754,22,4,8.8
SUP-120,2026-06,0.775,33,7,5.3
SUP-121,2026-04,0.763,1,6,15.5
SUP-121,2026-05,0.711,22,10,11.8
SUP-121,2026-06,0.887,2,3,9.5
SUP-122,2026-04,0.808,31,7,8.5
SUP-122,2026-05,0.710,23,3,9.1
SUP-122,2026-06,0.736,26,10,6.2
SUP-123,2026-04,0.938,25,4,11.3
SUP-123,2026-05,0.953,20,5,10.1
SUP-123,2026-06,0.914,19,0,16.7
SUP-124,2026-04,0.971,15,9,4.2
SUP-124,2026-05,0.905,3,8,4.0
SUP-124,2026-06,0.856,33,10,5.2
SUP-125,2026-04,0.801,24,9,2.0
SUP-125,2026-05,0.943,1,1,1.9
SUP-125,2026-06,0.976,24,3,3.5
SUP-126,2026-04,0.913,1,10,7.9
SUP-126,2026-05,0.962,23,3,9.4
SUP-126,2026-06,0.952,3,9,9.3
SUP-127,2026-04,0.957,24,0,13.3
SUP-127,2026-05,0.787,27,2,11.1
SUP-127,2026-06,0.981,32,6,8.3
SUP-128,2026-04,0.934,24,7,9.1
SUP-128,2026-05,0.801,31,1,8.7
SUP-128,2026-06,0.957,16,9,10.8
SUP-129,2026-04,0.990,28,0,2.8
SUP-129,2026-05,0.882,24,6,4.9
SUP-129,2026-06,0.722,16,4,5.0
SUP-130,2026-04,0.807,29,6,12.8
SUP-130,2026-05,0.783,7,4,12.1
SUP-130,2026-06,0.788,7,6,13.2
SUP-131,2026-04,0.800,25,1,3.3
SUP-131,2026-05,0.814,26,1,2.6
SUP-131,2026-06,0.857,13,2,2.8
SUP-132,2026-04,0.735,26,8,4.5
SUP-132,2026-05,0.864,15,6,5.8
SUP-132,2026-06,0.930,23,11,7.5
SUP-133,2026-04,0.967,32,1,8.3
SUP-133,2026-05,0.943,29,1,11.9
SUP-133,2026-06,0.906,32,11,9.6
SUP-134,2026-04,0.927,15,4,5.4
SUP-134,2026-05,0.828,16,10,3.8
SUP-134,2026-06,0.815,26,10,4.8
SUP-135,2026-04,0.978,13,7,11.4
SUP-135,2026-05,0.747,30,7,7.9
SUP-135,2026-06,0.834,8,0,11.5
SUP-136,2026-04,0.764,2,11,3.5
SUP-136,2026-05,0.943,25,6,4.2
SUP-136,2026-06,0.893,12,6,5.0
SUP-137,2026-04,0.761,13,7,10.4
SUP-137,2026-05,0.957,29,10,6.9
SUP-137,2026-06,0.910,17,10,9.9
SUP-138,2026-04,0.760,22,5,1.7
SUP-138,2026-05,0.718,26,10,1.8
SUP-138,2026-06,0.828,19,3,1.4
SUP-139,2026-04,0.785,7,8,7.2
SUP-139,2026-05,0.825,14,6,6.2
SUP-139,2026-06,0.991,27,4,6.3
SUP-140,2026-04,0.929,11,5,11.1
SUP-140,2026-05,0.944,3,0,15.9
SUP-140,2026-06,0.884,31,7,14.8
SUP-141,2026-04,0.991,0,7,3.8
SUP-141,2026-05,0.958,18,3,3.4
SUP-141,2026-06,0.932,9,4,3.8
