tariff_id,commodity_id,origin_country_id,duty_pct,valid_from,valid_to
TRF-0001,CMD-WHT,ES,1.8,2024-04-11,
TRF-0002,CMD-WHT,DK,7.3,2024-04-11,
TRF-0003,CMD-WHT,MA,2.1,2024-04-11,
TRF-0004,CMD-WHT,KE,10.9,2024-04-11,
TRF-0005,CMD-WHT,VN,5.5,2024-04-11,
TRF-0006,CMD-WHT,BZ,12.8,2024-04-11,
TRF-0007,CMD-WHT,GH,3.5,2024-04-11,
TRF-0008,CMD-WHT,CR,13.8,2024-04-11,
TRF-0009,CMD-WHT,NL,7.8,2024-04-11,
TRF-0010,CMD-DRY,ES,0.7,2024-04-11,
TRF-0011,CMD-DRY,PL,12.7,2024-04-11,
TRF-0012,CMD-DRY,DK,4.0,2024-04-11,
TRF-0013,CMD-DRY,TR,1.4,2024-04-11,
TRF-0014,CMD-COC,ES,1.8,2024-04-11,
TRF-0015,CMD-COC,DK,10.3,2024-04-11,
TRF-0016,CMD-COC,MA,6.1,2024-04-11,
TRF-0017,CMD-COC,GH,1.0,2024-04-11,2026-05-14
TRF-0018,CMD-COC,GH,3.2,2026-05-14,
TRF-0019,CMD-COC,NL,13.8,2024-04-11,
TRF-0020,CMD-COF,ES,1.3,2024-04-11,
TRF-0021,CMD-COF,DK,14.0,2024-04-11,
TRF-0022,CMD-COF,KE,13.6,2024-04-11,2026-05-21
TRF-0023,CMD-COF,KE,22.3,2026-05-21,
TRF-0024,CMD-COF,VN,5.3,2024-04-11,
TRF-0025,CMD-COF,BZ,11.3,2024-04-11,
TRF-0026,CMD-COF,CR,5.6,2024-04-11,
TRF-0027,CMD-COF,TR,0.5,2024-04-11,
TRF-0028,CMD-PLM,ES,9.7,2024-04-11,
TRF-0029,CMD-PLM,PL,10.7,2024-04-11,
TRF-0030,CMD-PLM,DK,7.7,2024-04-11,
TRF-0031,CMD-PLM,KE,2.5,2024-04-11,
TRF-0032,CMD-PLM,VN,12.3,2024-04-11,2026-05-15
TRF-0033,CMD-PLM,VN,21.2,2026-05-15,
TRF-0034,CMD-PLM,BZ,3.8,2024-04-11,
TRF-0035,CMD-PLM,CR,6.2,2024-04-11,
TRF-0036,CMD-PLM,TR,9.7,2024-04-11,
TRF-0037,CMD-PLM,NL,1.1,2024-04-11,
TRF-0038,CMD-SUN,DK,5.4,2024-04-11,
TRF-0039,CMD-SUN,KE,8.2,2024-04-11,
TRF-0040,CMD-SUN,VN,12.2,2024-04-11,
TRF-0041,CMD-SUN,BZ,4.7,2024-04-11,
TRF-0042,CMD-SUN,GH,0.8,2024-04-11,
TRF-0043,CMD-SUN,NL,7.5,2024-04-11,
TRF-0044,CMD-ALU,ES,4.2,2024-04-11,
TRF-0045,CMD-ALU,PL,8.4,2024-04-11,
TRF-0046,CMD-ALU,KE,7.1,2024-04-11,
TRF-0047,CMD-ALU,VN,8.2,2024-04-11,
TRF-0048,CMD-ALU,GH,2.2,2024-04-11,
TRF-0049,CMD-ALU,CR,1.0,2024-04-11,
TRF-0050,CMD-ALU,TR,3.0,2024-04-11,
TRF-0051,CMD-ALU,NL,10.2,2024-04-11,
TRF-0052,CMD-BRD,ES,9.9,2024-04-11,
TRF-0053,CMD-BRD,PL,4.2,2024-04-11,
TRF-0054,CMD-BRD,DK,9.1,2024-04-11,
TRF-0055,CMD-BRD,MA,9.6,2024-04-11,
TRF-0056,CMD-BRD,KE,5.0,2024-04-11,
TRF-0057,CMD-BRD,VN,13.3,2024-04-11,
TRF-0058,CMD-BRD,BZ,8.5,2024-04-11,
TRF-0059,CMD-BRD,NL,12.2,2024-04-11,
TRF-0060,CMD-DSL,ES,4.3,2024-04-11,
TRF-0061,CMD-DSL,PL,3.7,2024-04-11,
TRF-0062,CMD-DSL,DK,7.2,2024-04-11,
TRF-0063,CMD-DSL,MA,2.1,2024-04-11,
TRF-0064,CMD-DSL,KE,12.8,2024-04-11,
TRF-0065,CMD-DSL,VN,2.8,2024-04-11,
TRF-0066,CMD-DSL,BZ,8.0,2024-04-11,
TRF-0067,CMD-DSL,GH,0.8,2024-04-11,
TRF-0068,CMD-DSL,TR,4.5,2024-04-11,
TRF-0069,CMD-DSL,NL,8.8,2024-04-11,
TRF-0070,CMD-GAS,ES,12.3,2024-04-11,
TRF-0071,CMD-GAS,PL,12.4,2024-04-11,
TRF-0072,CMD-GAS,KE,0.8,2024-04-11,
TRF-0073,CMD-GAS,VN,0.3,2024-04-11,
TRF-0074,CMD-GAS,GH,11.9,2024-04-11,
TRF-0075,CMD-GAS,CR,13.1,2024-04-11,
TRF-0076,CMD-GAS,NL,4.8,2024-04-11,
