till_id,branch_id,till_number,kind
B-17-T01,B-17,1,kiosk
B-17-T02,B-17,2,staffed
B-17-T03,B-17,3,staffed
B-17-T04,B-17,4,staffed
B-17-T05,B-17,5,staffed
B-17-T06,B-17,6,staffed
B-17-T07,B-17,7,staffed
B-17-T08,B-17,8,staffed
B-17-T09,B-17,9,staffed
B-17-T10,B-17,10,staffed
B-17-T11,B-17,11,self-service
B-17-T12,B-17,12,self-service
B-08-T01,B-08,1,kiosk
B-08-T02,B-08,2,staffed
B-08-T03,B-08,3,staffed
B-08-T04,B-08,4,staffed
B-08-T05,B-08,5,staffed
B-08-T06,B-08,6,staffed
B-08-T07,B-08,7,staffed
B-08-T08,B-08,8,staffed
B-08-T09,B-08,9,staffed
B-08-T10,B-08,10,staffed
B-08-T11,B-08,11,self-service
B-08-T12,B-08,12,self-service
B-09-T01,B-09,1,kiosk
B-09-T02,B-09,2,staffed
B-09-T03,B-09,3,staffed
B-09-T04,B-09,4,staffed
B-09-T05,B-09,5,staffed
B-09-T06,B-09,6,self-service
B-09-T07,B-09,7,self-service
B-04-T01,B-04,1,kiosk
B-04-T02,B-04,2,staffed
B-04-T03,B-04,3,staffed
B-04-T04,B-04,4,staffed
B-04-T05,B-04,5,staffed
B-04-T06,B-04,6,self-service
B-04-T07,B-04,7,self-service
B-02-T01,B-02,1,kiosk
B-02-T02,B-02,2,self-service
B-02-T03,B-02,3,self-service
B-01-T01,B-01,1,kiosk
B-01-T02,B-01,2,self-service
B-01-T03,B-01,3,self-service
