branch_id,business_date,sku,reason_code,units,cost_value
B-17,2026-05-04,QX-PRO-125,temperature-failure,39,103.13
B-17,2026-05-04,QX-TIN-045,unsold-markdown,27,18.11
B-17,2026-05-04,QX-BAK-732,other,2,5.35
B-17,2026-05-04,QX-BWS-712,damaged,29,292.56
B-17,2026-05-04,QX-HBC-355,temperature-failure,35,270.04
B-17,2026-05-04,QX-PET-970,other,11,55.60
B-17,2026-05-04,QX-BWS-614,unsold-markdown,30,401.84
B-08,2026-05-04,QX-TIN-151,out-of-date,25,30.52
B-08,2026-05-04,QX-CER-001,damaged,32,59.96
B-08,2026-05-04,QX-HHD-246,unsold-markdown,19,56.82
B-08,2026-05-04,QX-PRO-471,other,22,13.29
B-08,2026-05-04,QX-HHD-107,temperature-failure,7,29.17
B-08,2026-05-04,QX-DRK-053,other,39,161.29
B-08,2026-05-04,QX-BWS-397,damaged,29,65.53
B-09,2026-05-04,QX-HHD-257,damaged,11,8.15
B-09,2026-05-04,QX-TIN-918,damaged,35,36.03
B-09,2026-05-04,QX-HHD-929,other,35,110.97
B-09,2026-05-04,QX-DRK-678,damaged,12,17.66
B-04,2026-05-04,QX-PRO-573,other,16,45.16
B-04,2026-05-04,QX-TIN-954,other,17,6.09
B-04,2026-05-04,QX-TIN-436,other,38,28.05
B-04,2026-05-04,QX-FRZ-073,other,2,1.44
B-04,2026-05-04,QX-PRO-652,unsold-markdown,24,43.72
B-04,2026-05-04,QX-DRK-190,unsold-markdown,32,39.45
B-04,2026-05-04,QX-BWS-147,damaged,10,82.78
B-02,2026-05-04,QX-FRZ-252,temperature-failure,14,58.27
B-02,2026-05-04,QX-TIN-468,other,2,2.19
B-02,2026-05-04,QX-HHD-662,other,4,4.60
B-02,2026-05-04,QX-FRZ-900,damaged,29,92.76
B-02,2026-05-04,QX-PET-283,out-of-date,15,28.73
B-02,2026-05-04,QX-PET-579,temperature-failure,9,23.93
B-01,2026-05-04,QX-HBC-307,temperature-failure,28,82.25
B-01,2026-05-04,QX-BWS-386,other,22,304.12
B-01,2026-05-04,QX-FRZ-704,other,5,4.53
B-01,2026-05-04,QX-BWS-317,out-of-date,32,237.38
B-01,2026-05-04,QX-PET-831,unsold-markdown,40,73.88
B-01,2026-05-04,QX-PRO-913,unsold-markdown,22,33.12
B-01,2026-05-04,QX-TIN-486,damaged,26,30.93
B-20,2026-05-04,QX-BWS-037,damaged,20,267.01
B-20,2026-05-04,QX-BWS-371,damaged,38,379.34
B-20,2026-05-04,QX-CER-473,temperature-failure,27,53.76
B-20,2026-05-04,QX-BAK-490,damaged,3,3.87
B-20,2026-05-04,QX-BAK-240,other,32,140.80
B-20,2026-05-04,QX-BAK-076,out-of-date,23,40.15
B-20,2026-05-04,QX-FRZ-362,other,17,81.90
B-21,2026-05-04,QX-DRY-394,other,5,2.93
B-21,2026-05-04,QX-FRZ-176,unsold-markdown,32,102.45
B-21,2026-05-04,QX-HHD-798,out-of-date,16,114.17
B-21,2026-05-04,QX-BAK-422,out-of-date,14,57.57
B-21,2026-05-04,QX-HHD-776,damaged,23,19.15
B-21,2026-05-04,QX-FRZ-308,other,36,76.55
B-21,2026-05-04,QX-CER-830,temperature-failure,23,56.19
B-22,2026-05-04,QX-DRY-121,unsold-markdown,18,68.41
B-22,2026-05-04,QX-DRY-906,other,38,127.12
B-22,2026-05-04,QX-HBC-618,unsold-markdown,13,80.77
B-22,2026-05-04,QX-CHL-336,other,17,76.46
B-22,2026-05-04,QX-CER-324,out-of-date,30,45.11
B-23,2026-05-04,QX-HBC-219,unsold-markdown,10,14.75
B-23,2026-05-04,QX-PET-418,other,16,84.47
B-23,2026-05-04,QX-DRK-814,other,3,6.52
B-23,2026-05-04,QX-BWS-347,unsold-markdown,18,272.57
B-24,2026-05-04,QX-BWS-864,out-of-date,40,157.07
B-24,2026-05-04,QX-BWS-821,unsold-markdown,18,410.58
B-24,2026-05-04,QX-CER-085,other,15,16.64
B-24,2026-05-04,QX-CHL-330,temperature-failure,31,169.42
B-25,2026-05-04,QX-BWS-415,temperature-failure,7,75.64
B-25,2026-05-04,QX-BAK-436,out-of-date,33,118.70
B-25,2026-05-04,QX-CER-843,out-of-date,35,24.05
B-25,2026-05-04,QX-PET-925,unsold-markdown,23,13.61
B-25,2026-05-04,QX-BAK-208,damaged,25,71.70
B-25,2026-05-04,QX-BAK-195,out-of-date,29,108.83
B-25,2026-05-04,QX-DRK-713,unsold-markdown,4,7.62
B-26,2026-05-04,QX-HHD-898,unsold-markdown,34,198.13
B-26,2026-05-04,QX-CHL-165,other,33,161.44
B-26,2026-05-04,QX-CER-241,temperature-failure,1,1.62
B-26,2026-05-04,QX-TIN-045,unsold-markdown,10,5.94
B-26,2026-05-04,QX-PET-831,other,35,48.73
B-26,2026-05-04,QX-DRK-390,temperature-failure,27,17.71
B-27,2026-05-04,QX-BAK-344,out-of-date,34,169.18
B-27,2026-05-04,QX-PRO-919,out-of-date,28,64.31
B-27,2026-05-04,QX-PRO-943,other,15,15.31
B-27,2026-05-04,QX-BAK-552,other,13,53.13
B-27,2026-05-04,QX-BAK-286,temperature-failure,13,51.20
B-27,2026-05-04,QX-HBC-314,temperature-failure,8,68.92
B-27,2026-05-04,QX-BWS-377,other,34,104.68
B-28,2026-05-04,QX-TIN-944,damaged,14,10.68
B-28,2026-05-04,QX-HHD-159,unsold-markdown,9,13.24
B-28,2026-05-04,QX-HHD-293,other,24,32.62
B-28,2026-05-04,QX-DRY-922,temperature-failure,6,5.24
B-28,2026-05-04,QX-TIN-510,temperature-failure,16,3.92
B-29,2026-05-04,QX-PRO-544,out-of-date,36,35.49
B-29,2026-05-04,QX-BAK-650,unsold-markdown,22,51.52
B-29,2026-05-04,QX-PET-422,other,17,24.40
B-29,2026-05-04,QX-PRO-594,other,17,45.55
B-29,2026-05-04,QX-CHL-734,damaged,11,33.70
B-29,2026-05-04,QX-BWS-887,temperature-failure,10,138.75
B-29,2026-05-04,QX-PET-831,temperature-failure,31,51.97
B-30,2026-05-04,QX-TIN-364,out-of-date,23,21.42
B-30,2026-05-04,QX-PET-891,unsold-markdown,20,116.93
B-30,2026-05-04,QX-FRZ-912,other,36,121.00
B-30,2026-05-04,QX-CHL-007,other,7,8.98
B-17,2026-05-05,QX-BWS-220,unsold-markdown,20,124.64
B-17,2026-05-05,QX-PET-052,other,8,28.09
B-17,2026-05-05,QX-BWS-412,other,16,76.73
B-17,2026-05-05,QX-BWS-395,damaged,35,296.74
B-17,2026-05-05,QX-BWS-402,other,20,432.21
B-17,2026-05-05,QX-CHL-493,temperature-failure,39,229.36
B-08,2026-05-05,QX-CER-275,damaged,1,1.63
B-08,2026-05-05,QX-PRO-782,temperature-failure,20,48.05
B-08,2026-05-05,QX-DRY-269,temperature-failure,22,63.76
B-08,2026-05-05,QX-PET-417,other,16,31.87
B-08,2026-05-05,QX-HBC-171,other,38,198.30
B-08,2026-05-05,QX-TIN-761,damaged,12,3.07
B-08,2026-05-05,QX-DRY-542,temperature-failure,5,11.36
B-08,2026-05-05,QX-BAK-139,damaged,32,59.13
B-09,2026-05-05,QX-FRZ-722,temperature-failure,21,63.52
B-09,2026-05-05,QX-CER-020,unsold-markdown,9,21.18
B-09,2026-05-05,QX-CER-231,damaged,30,32.94
B-09,2026-05-05,QX-HBC-161,other,20,143.40
B-09,2026-05-05,QX-PRO-608,other,21,47.59
B-09,2026-05-05,QX-HHD-424,temperature-failure,13,77.84
B-09,2026-05-05,QX-CHL-776,other,3,12.85
B-09,2026-05-05,QX-CER-241,out-of-date,10,13.29
B-04,2026-05-05,QX-CER-815,unsold-markdown,3,6.97
B-04,2026-05-05,QX-FRZ-523,out-of-date,23,22.97
