sku,zone_id,price,effective_from
QX-CER-001,PZ-METRO,3.25,2026-01-18
QX-CER-001,PZ-URBAN,2.96,2026-03-09
QX-CER-001,PZ-CORE,2.85,2026-01-30
QX-CER-001,PZ-VALUE,2.68,2025-10-11
QX-CER-001,PZ-REMOTE,3.11,2025-11-05
QX-CER-002,PZ-METRO,2.39,2025-10-05
QX-CER-002,PZ-URBAN,2.18,2025-10-22
QX-CER-002,PZ-CORE,2.10,2025-09-29
QX-CER-002,PZ-VALUE,1.97,2025-12-10
QX-CER-002,PZ-REMOTE,2.29,2026-03-04
QX-DRK-014,PZ-METRO,2.45,2025-12-10
QX-DRK-014,PZ-URBAN,2.24,2026-01-22
QX-DRK-014,PZ-CORE,2.15,2026-03-15
QX-DRK-014,PZ-VALUE,2.02,2026-03-01
QX-DRK-014,PZ-REMOTE,2.34,2026-02-16
QX-DRK-021,PZ-METRO,0.95,2025-12-01
QX-DRK-021,PZ-URBAN,0.90,2026-03-10
QX-DRK-021,PZ-CORE,0.85,2026-01-03
QX-DRK-021,PZ-VALUE,0.80,2026-02-01
QX-DRK-021,PZ-REMOTE,0.95,2026-02-19
QX-TIN-032,PZ-METRO,1.08,2025-12-23
QX-TIN-032,PZ-URBAN,1.00,2026-01-23
QX-TIN-032,PZ-CORE,0.95,2025-11-03
QX-TIN-032,PZ-VALUE,0.90,2025-12-29
QX-TIN-032,PZ-REMOTE,1.04,2025-11-19
QX-TIN-045,PZ-METRO,1.20,2025-11-25
QX-TIN-045,PZ-URBAN,1.09,2025-09-15
QX-TIN-045,PZ-CORE,1.05,2025-12-14
QX-TIN-045,PZ-VALUE,1.00,2025-10-22
QX-TIN-045,PZ-REMOTE,1.14,2025-12-24
QX-DRY-184,PZ-METRO,2.17,2026-02-27
QX-DRY-184,PZ-URBAN,1.98,2026-02-01
QX-DRY-184,PZ-CORE,1.90,2025-09-20
QX-DRY-184,PZ-VALUE,1.79,2026-03-08
QX-DRY-184,PZ-REMOTE,2.07,2026-02-16
QX-CHL-007,PZ-METRO,2.74,2026-02-01
QX-CHL-007,PZ-URBAN,2.50,2025-11-07
QX-CHL-007,PZ-CORE,2.40,2025-12-15
QX-CHL-007,PZ-VALUE,2.26,2026-03-01
QX-CHL-007,PZ-REMOTE,2.62,2026-02-02
QX-FRZ-112,PZ-METRO,2.00,2025-11-26
QX-FRZ-112,PZ-URBAN,1.82,2026-01-20
QX-FRZ-112,PZ-CORE,1.75,2026-01-17
QX-FRZ-112,PZ-VALUE,1.65,2025-12-10
QX-FRZ-112,PZ-REMOTE,1.91,2025-09-27
QX-CHL-200,PZ-METRO,8.20,2025-10-09
QX-CHL-200,PZ-URBAN,7.48,2026-03-19
QX-CHL-200,PZ-CORE,7.19,2025-10-03
QX-CHL-200,PZ-VALUE,6.76,2026-01-12
QX-CHL-200,PZ-REMOTE,7.84,2026-03-13
QX-DRY-201,PZ-METRO,4.90,2025-10-25
QX-DRY-201,PZ-URBAN,4.47,2025-12-23
QX-DRY-201,PZ-CORE,4.30,2025-12-10
QX-DRY-201,PZ-VALUE,4.04,2026-02-25
QX-DRY-201,PZ-REMOTE,4.69,2025-09-20
QX-BAK-202,PZ-METRO,3.90,2026-01-21
QX-BAK-202,PZ-URBAN,3.56,2026-02-21
QX-BAK-202,PZ-CORE,3.42,2026-03-05
QX-BAK-202,PZ-VALUE,3.21,2025-12-16
QX-BAK-202,PZ-REMOTE,3.73,2026-01-27
QX-TIN-203,PZ-METRO,2.36,2025-10-23
QX-TIN-203,PZ-URBAN,2.15,2026-02-15
QX-TIN-203,PZ-CORE,2.07,2025-10-17
QX-TIN-203,PZ-VALUE,1.95,2025-10-19
QX-TIN-203,PZ-REMOTE,2.26,2025-09-26
QX-BWS-204,PZ-METRO,38.94,2025-12-20
QX-BWS-204,PZ-URBAN,35.53,2026-01-22
QX-BWS-204,PZ-CORE,34.16,2025-11-29
QX-BWS-204,PZ-VALUE,32.11,2026-01-04
QX-BWS-204,PZ-REMOTE,37.23,2025-12-18
QX-BAK-205,PZ-METRO,7.73,2026-02-21
